active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,certified_range_scan_skips,clear_calls,cleared,commands,completion_proxy_weight,configured_angle_schedule,configured_probe_angle_deg,coupled_dispatch_model,coupled_route_plans,cpu_s,discovered_channels,dispatch_implementation,early_optical_success,early_optical_trials,expanded_sensing_candidates,failure,fixed_scan_order,forced_continuations,historical_anchor_mode,historical_cache_evictions,historical_inconsistent_cuts,historical_negative_limit,historical_pair_checks,historical_pair_cuts,historical_pair_updates,inconsistent_updates,inferred_negative_memory_updates,interrupted_channels,joint_route_solves,known_upper_bound_skips,maximum_source_primary_rf,maximum_source_rounds,measurements,method,missed_channels,move_m,optical_fallback_calls,optical_local_move_saved_m,optical_max_cover_radius,optical_position_adjustments,outer_priority_used,packet_fallbacks,per_source_s,policy_cleared_channels,probe_angle_cap_deg,problem,seed,service_entry_weight,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,switches,total_virtual_s,transverse_target_m,transverse_width_rule,uniform_area_ranking_prior,wall_s
7,0,True,0,0,0,0,0,uniform__iid__69,uniform__iid,5,0,16,15,143,1.0,,,base,0,0.03232499999999994,15,,10,11,False,,False,,ends,0,0,8,760,0,0,0,0,,22,0,,,125,history_ends8_area7,[],12833.52283590028,0,49.76008032836796,0.0,5,,,225.5803046,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",,3,69,1.0,28,,7,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,114,3383.704569,,,True,0.032348499982617795
7,0,True,0,0,0,0,0,uniform__iid__69,uniform__iid,5,0,16,15,143,1.0,,,base,0,0.032010000000000094,15,,10,11,False,,False,,ends,0,0,16,835,0,0,0,0,,22,0,,,125,history_ends16_area7,[],12833.52283590028,0,49.76008032836796,0.0,5,,,225.5803046,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",,3,69,1.0,28,,7,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,114,3383.704569,,,True,0.03202574996976182
8,0,True,0,0,0,0,0,uniform__iid__70,uniform__iid,6,3,13,10,138,1.0,,,base,0,0.02036299999999991,10,,4,7,False,,False,,,,,,,,,0,0,,17,0,,,123,range_area7,[],11127.182320072005,0,36.3364416117673,0.0,6,,,301.4436465,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",,3,70,1.0,9,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,115,3014.436465,,,True,0.02036316698649898
8,0,True,0,0,0,0,0,uniform__iid__70,uniform__iid,6,3,13,10,138,1.0,,,base,0,0.021764000000000006,10,,4,7,False,,False,,first,0,0,8,80,0,0,0,0,,17,0,,,123,history_first8_area7,[],11127.182320072005,0,36.3364416117673,0.0,6,,,301.4436465,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",,3,70,1.0,9,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,115,3014.436465,,,True,0.02180608396884054
8,0,True,0,0,0,0,0,uniform__iid__70,uniform__iid,6,3,13,10,138,1.0,,,base,0,0.022475000000000023,10,,4,7,False,,False,,ends,0,0,8,124,0,0,0,0,,17,0,,,123,history_ends8_area7,[],11127.182320072005,0,36.3364416117673,0.0,6,,,301.4436465,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",,3,70,1.0,9,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,115,3014.436465,,,True,0.02251370798330754
8,0,True,0,0,0,0,0,uniform__iid__70,uniform__iid,6,3,13,10,138,1.0,,,base,0,0.022066999999999948,10,,4,7,False,,False,,ends,0,0,16,124,0,0,0,0,,17,0,,,123,history_ends16_area7,[],11127.182320072005,0,36.3364416117673,0.0,6,,,301.4436465,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",,3,70,1.0,9,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,115,3014.436465,,,True,0.02206712495535612
7,0,True,0,0,0,0,0,uniform__iid__71,uniform__iid,7,0,13,12,133,1.0,,,base,0,0.023542000000000063,12,,5,6,False,,False,,,,,,,,,0,0,,19,0,,,118,range_area7,[],12153.650482723764,0,40.99123897655369,0.0,7,,,266.14417483333335,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",,3,71,1.0,22,,4,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,110,3193.730098,,,True,0.023561707988847047
7,0,True,0,0,0,0,0,uniform__iid__71,uniform__iid,7,0,13,12,133,1.0,,,base,0,0.026573999999999987,12,,5,6,False,,False,,first,0,0,8,277,0,0,0,0,,19,0,,,118,history_first8_area7,[],12153.650482723764,0,40.99123897655369,0.0,7,,,266.14417483333335,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",,3,71,1.0,22,,4,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,110,3193.730098,,,True,0.026585499988868833
7,0,True,0,0,0,0,0,uniform__iid__71,uniform__iid,7,0,13,12,133,1.0,,,base,0,0.028464999999999963,12,,5,6,False,,False,,ends,0,0,8,396,0,0,0,0,,19,0,,,118,history_ends8_area7,[],12153.650482723764,0,40.99123897655369,0.0,7,,,266.14417483333335,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",,3,71,1.0,22,,4,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,110,3193.730098,,,True,0.02848904102575034
7,0,True,0,0,0,0,0,uniform__iid__71,uniform__iid,7,0,13,12,133,1.0,,,base,0,0.028789999999999982,12,,5,6,False,,False,,ends,0,0,16,436,0,0,0,0,,19,0,,,118,history_ends16_area7,[],12153.650482723764,0,40.99123897655369,0.0,7,,,266.14417483333335,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",,3,71,1.0,22,,4,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,110,3193.730098,,,True,0.028827999951317906
