active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,certified_range_scan_skips,clear_calls,cleared,commands,completion_proxy_weight,configured_angle_schedule,configured_probe_angle_deg,coupled_dispatch_model,coupled_route_plans,cpu_s,discovered_channels,early_optical_success,early_optical_trials,expanded_sensing_candidates,failure,fixed_scan_order,forced_continuations,inconsistent_updates,inferred_negative_memory_updates,interrupted_channels,joint_route_solves,known_upper_bound_skips,maximum_source_primary_rf,maximum_source_rounds,measurements,method,missed_channels,modeled_known_scan_pairs,move_m,optical_fallback_calls,optical_local_move_saved_m,optical_max_cover_radius,optical_position_adjustments,outer_priority_used,packet_fallbacks,per_source_s,policy_cleared_channels,probe_angle_cap_deg,problem,seed,service_entry_weight,service_order_mode,service_route_plans,service_scan_cost_weight,service_scan_order_cost_s,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,switches,total_virtual_s,transverse_target_m,transverse_width_rule,uniform_area_ranking_prior,wall_s
9,0,True,0,0,0,0,0,uniform__smooth__67,uniform__smooth,7,0,13,10,141,1.0,,,arc,0,0.024383000000000044,10,3,6,False,,False,,0,0,,0,0,,,126,service_locked1_area7,[],120,11526.212484760188,0,89.38185596460559,0.0,7,,,311.3242498,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,3,67,0.5,locked,17,1.0,0.0,10,,1,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,119,3113.242498,,,True,0.024782833002973348
9,0,True,0,0,0,0,0,uniform__smooth__67,uniform__smooth,7,0,13,10,141,1.0,,,arc,0,0.024243000000000015,10,3,6,False,,False,,0,0,,0,0,,,126,vector_service_locked1_area7,[],120,11526.212484760188,0,89.38185596460559,0.0,7,,,311.3242498,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,3,67,0.5,locked,17,1.0,0.0,10,,1,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,119,3113.242498,,,True,0.024289749970193952
4,0,True,0,0,0,0,0,uniform__smooth__68,uniform__smooth,6,6,15,15,127,1.0,,,arc,0,0.030144999999999977,15,9,9,False,,False,,0,0,,0,0,,,110,service_locked1_area7,[],247,11135.957849531067,0,31.45296669651856,0.0,6,,,197.079438,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,3,68,0.5,locked,22,1.0,0.0,18,,9,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,104,2956.19157,,,True,0.030176791944541037
4,0,True,0,0,0,0,0,uniform__smooth__68,uniform__smooth,6,6,15,15,127,1.0,,,arc,0,0.03284900000000002,15,9,9,False,,False,,0,0,,0,0,,,110,vector_service_locked1_area7,[],247,11135.957849531067,0,31.45296669651856,0.0,6,,,197.079438,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,3,68,0.5,locked,22,1.0,0.0,18,,9,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,104,2956.19157,,,True,0.03285766701446846
6,0,True,0,0,0,0,0,uniform__smooth__69,uniform__smooth,6,6,18,15,160,1.0,,,arc,0,0.03438600000000003,15,9,12,False,,False,,0,0,,0,0,,,140,service_locked1_area7,[],312,12163.012276889123,0,39.07166846945438,0.0,6,,,222.90683033333335,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",,3,69,0.5,locked,22,1.0,0.0,35,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,127,3343.602455,,,True,0.034460750001017004
6,0,True,0,0,0,0,0,uniform__smooth__69,uniform__smooth,6,6,18,15,160,1.0,,,arc,0,0.03666499999999995,15,9,12,False,,False,,0,0,,0,0,,,140,vector_service_locked1_area7,[],312,12163.012276889123,0,39.07166846945438,0.0,6,,,222.90683033333335,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",,3,69,0.5,locked,22,1.0,0.0,35,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,127,3343.602455,,,True,0.03669358295155689
4,0,True,0,0,0,0,0,uniform__smooth__70,uniform__smooth,5,2,11,10,138,1.0,,,arc,0,0.021700000000000053,10,5,6,False,,False,,0,0,,0,0,,,125,service_locked1_area7,[],157,10749.21263168744,0,19.73519309679613,0.0,5,,,294.5842523,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",,3,70,0.5,locked,17,1.0,0.0,10,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,118,2945.842523,,,True,0.021762083983048797
4,0,True,0,0,0,0,0,uniform__smooth__70,uniform__smooth,5,2,11,10,138,1.0,,,arc,0,0.022857000000000016,10,5,6,False,,False,,0,0,,0,0,,,125,vector_service_locked1_area7,[],157,10749.21263168744,0,19.73519309679613,0.0,5,,,294.5842523,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",,3,70,0.5,locked,17,1.0,0.0,10,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,118,2945.842523,,,True,0.022877875017002225
7,0,True,0,0,0,0,0,uniform__smooth__71,uniform__smooth,8,6,15,12,137,1.0,,,arc,0,0.02802899999999986,12,4,7,False,,False,,0,0,,0,0,,,120,service_locked1_area7,[],161,11864.82814287642,0,43.14236062056853,0.0,8,,,262.9138021666667,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",,3,71,0.5,locked,19,1.0,0.0,23,,3,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,113,3154.965626,,,True,0.028029832988977432
7,0,True,0,0,0,0,0,uniform__smooth__71,uniform__smooth,8,6,15,12,137,1.0,,,arc,0,0.030200000000000005,12,4,7,False,,False,,0,0,,0,0,,,120,vector_service_locked1_area7,[],161,11864.82814287642,0,43.14236062056853,0.0,8,,,262.9138021666667,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",,3,71,0.5,locked,19,1.0,0.0,23,,3,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,113,3154.965626,,,True,0.030240583000704646
