"elapsed_s","root_pid","session_id","root_working_set_bytes","tree_working_set_bytes","tree_private_bytes","webview_count","listener_count"
"81.867","7884","2","106598400","703209472","481353728","6","2"
"82.462","7884","2","106598400","703184896","481300480","6","2"
"83.053","7884","2","106598400","703184896","481300480","6","2"
"83.653","7884","2","106598400","703184896","481300480","6","2"
"84.231","7884","2","106598400","703184896","481300480","6","2"
"84.811","7884","2","106598400","703184896","481300480","6","2"
"85.371","7884","2","106598400","703184896","481300480","6","2"
"85.93","7884","2","106598400","703184896","481300480","6","2"
"86.495","7884","2","106598400","703279104","481394688","6","2"
"87.047","7884","2","106598400","703303680","481447936","6","2"
"87.667","7884","2","106598400","703201280","481345536","6","2"
"88.272","7884","2","106598400","703209472","481349632","6","2"
"88.889","7884","2","106598400","703209472","481349632","6","2"
"89.47","7884","2","106598400","703209472","481349632","6","2"
