active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,certified_range_scan_skips,clear_calls,cleared,commands,completion_proxy_weight,configured_angle_schedule,configured_probe_angle_deg,coupled_dispatch_model,coupled_route_plans,cpu_s,discovered_channels,early_optical_success,early_optical_trials,expanded_sensing_candidates,failure,fixed_scan_order,forced_continuations,inconsistent_updates,inferred_negative_memory_updates,interrupted_channels,joint_route_solves,known_upper_bound_skips,maximum_source_primary_rf,maximum_source_rounds,measurements,method,missed_channels,move_m,negative_history_limit,negative_hull_inconsistent_cuts,negative_hull_updates,negative_shadow_cuts,optical_fallback_calls,optical_local_move_saved_m,optical_max_cover_radius,optical_position_adjustments,outer_priority_used,packet_fallbacks,per_source_s,policy_cleared_channels,probe_angle_cap_deg,problem,seed,service_entry_weight,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,success_history_limit,switches,total_virtual_s,transverse_target_m,transverse_width_rule,uniform_area_ranking_prior,wall_s
7,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,3,12,10,130,1.0,,,base,0,0.01883599999999999,10,3,5,False,,False,,0,0,,17,0,,,116,range_area7,[],12450.081271938308,,,,,0,49.195608055153805,0.0,7,,,323.8016252,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,3,67,1.0,7,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,,112,3238.016252,,,True,0.020066750003024936
7,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,3,12,10,130,1.0,,,base,0,0.019077999999999984,10,3,5,False,,False,,0,0,,17,0,,,116,negative_range_area7,[],12450.081271938308,12,0,0,0,0,49.195608055153805,0.0,7,,,323.8016252,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,3,67,1.0,7,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,3,112,3238.016252,,,True,0.01907774998107925
6,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,0,12,10,136,1.0,,,locked,17,0.019164999999999988,10,3,5,False,,True,,0,0,,0,0,,,122,range_locked_area7,[],11477.146886982022,,,,,0,53.406136007817565,0.0,7,,,307.8429376,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,3,67,1.0,9,,1,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,,117,3078.429376,,,True,0.01921491598477587
6,0,True,0,0,0,0,0,uniform__iid__67,uniform__iid,7,0,12,10,136,1.0,,,locked,17,0.02041700000000002,10,3,5,False,,True,,0,0,,0,0,,,122,negative_locked_area7,[],11477.146886982022,12,0,0,0,0,53.406136007817565,0.0,7,,,307.8429376,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,3,67,1.0,9,,1,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,3,117,3078.429376,,,True,0.02066545799607411
7,0,True,0,0,0,0,0,uniform__iid__68,uniform__iid,10,0,18,15,149,1.0,,,base,0,0.029032999999999975,15,5,8,False,,False,,0,0,,22,0,,,129,range_area7,[],11258.355683768476,,,,,0,68.94379760295948,0.0,10,,,206.9114092,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,3,68,1.0,33,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,,123,3103.671138,,,True,0.029033292026724666
7,0,True,0,0,0,0,0,uniform__iid__68,uniform__iid,10,0,18,15,149,1.0,,,base,0,0.030903999999999987,15,5,8,False,,False,,0,0,,22,0,,,129,negative_range_area7,[],11258.355683768476,12,0,0,0,0,68.94379760295948,0.0,10,,,206.9114092,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,3,68,1.0,33,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,3,123,3103.671138,,,True,0.03098041599150747
8,0,True,0,0,0,0,0,uniform__iid__68,uniform__iid,11,8,19,15,140,1.0,,,locked,22,0.03675800000000001,15,4,8,False,,True,,0,0,,0,0,,,119,range_locked_area7,[],11126.421130519257,,,,,0,63.65259511219628,0.0,11,,,201.35228173333334,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,3,68,1.0,21,,5,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,,113,3020.284226,,,True,0.03677262499695644
8,0,True,0,0,0,0,0,uniform__iid__68,uniform__iid,11,8,19,15,140,1.0,,,locked,22,0.03926600000000002,15,4,8,False,,True,,0,0,,0,0,,,119,negative_locked_area7,[],11126.421130519257,12,0,0,0,0,63.65259511219628,0.0,11,,,201.35228173333334,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,3,68,1.0,21,,5,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,3,113,3020.284226,,,True,0.03927612496772781
7,0,True,0,0,0,0,0,uniform__iid__69,uniform__iid,5,0,16,15,143,1.0,,,base,0,0.025483000000000033,15,10,11,False,,False,,0,0,,22,0,,,125,range_area7,[],12833.52283590028,,,,,0,49.76008032836796,0.0,5,,,225.5803046,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",,3,69,1.0,28,,7,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,,114,3383.704569,,,True,0.025482458993792534
7,0,True,0,0,0,0,0,uniform__iid__69,uniform__iid,5,0,16,15,143,1.0,,,base,0,0.02683599999999997,15,10,11,False,,False,,0,0,,22,0,,,125,negative_range_area7,[],12833.52283590028,12,0,0,0,0,49.76008032836796,0.0,5,,,225.5803046,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",,3,69,1.0,28,,7,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,3,114,3383.704569,,,True,0.02685462502995506
