candidate,x,y,distance_unknown_m,initial_error,second_error,received,posterior_outer_radius_m,move_measure_s,universally_safe_certificate
naive_perpendicular_500,0.0,500.0,250.0,1.0,0.0,True,13.86134370679616,105.0,False
naive_perpendicular_500,0.0,500.0,250.0,1.0,0.5,True,14.075132906701553,105.0,False
naive_perpendicular_500,0.0,500.0,250.0,1.0,1.0,True,14.294934522034882,105.0,False
naive_perpendicular_500,0.0,500.0,500.0,-1.0,-1.0,True,27.300970290700114,105.0,False
naive_perpendicular_500,0.0,500.0,500.0,-1.0,-0.5,True,27.925267272416065,105.0,False
naive_perpendicular_500,0.0,500.0,500.0,-1.0,0.0,True,28.57101883004232,105.0,False
naive_perpendicular_500,0.0,500.0,500.0,-1.0,0.5,True,29.239197039798608,105.0,False
naive_perpendicular_500,0.0,500.0,500.0,-1.0,1.0,True,29.930830906691924,105.0,False
naive_perpendicular_500,0.0,500.0,500.0,0.0,-1.0,True,26.697209046067613,105.0,False
naive_perpendicular_500,0.0,500.0,500.0,0.0,-0.5,True,27.300970290700114,105.0,False
naive_perpendicular_500,0.0,500.0,500.0,0.0,0.0,True,27.925267272416065,105.0,False
naive_perpendicular_500,0.0,500.0,500.0,0.0,0.5,True,28.57101883004232,105.0,False
naive_perpendicular_500,0.0,500.0,500.0,0.0,1.0,True,29.239197039798608,105.0,False
naive_perpendicular_500,0.0,500.0,500.0,1.0,-1.0,True,26.113114524093916,105.0,False
naive_perpendicular_500,0.0,500.0,500.0,1.0,-0.5,True,26.697209046067613,105.0,False
naive_perpendicular_500,0.0,500.0,500.0,1.0,0.0,True,27.300970290700114,105.0,False
naive_perpendicular_500,0.0,500.0,500.0,1.0,0.5,True,27.925267272416065,105.0,False
naive_perpendicular_500,0.0,500.0,500.0,1.0,1.0,True,28.57101883004232,105.0,False
naive_perpendicular_500,0.0,500.0,750.0,-1.0,-1.0,True,49.4916533081015,105.0,False
naive_perpendicular_500,0.0,500.0,750.0,-1.0,-0.5,True,51.00716029104759,105.0,False
naive_perpendicular_500,0.0,500.0,750.0,-1.0,0.0,True,52.59249865838668,105.0,False
naive_perpendicular_500,0.0,500.0,750.0,-1.0,0.5,True,54.2520203674384,105.0,False
naive_perpendicular_500,0.0,500.0,750.0,-1.0,1.0,True,55.99042297103976,105.0,False
naive_perpendicular_500,0.0,500.0,750.0,0.0,-1.0,True,47.507513772097575,105.0,False
naive_perpendicular_500,0.0,500.0,750.0,0.0,-0.5,True,48.93322125071367,105.0,False
naive_perpendicular_500,0.0,500.0,750.0,0.0,0.0,True,50.42326685553023,105.0,False
naive_perpendicular_500,0.0,500.0,750.0,0.0,0.5,True,51.981574360788265,105.0,False
naive_perpendicular_500,0.0,500.0,750.0,0.0,1.0,True,53.612372452487634,105.0,False
naive_perpendicular_500,0.0,500.0,750.0,1.0,-1.0,True,45.63899512818583,105.0,False
naive_perpendicular_500,0.0,500.0,750.0,1.0,-0.5,True,46.98184774386691,105.0,False
naive_perpendicular_500,0.0,500.0,750.0,1.0,0.0,True,48.38407675053878,105.0,False
naive_perpendicular_500,0.0,500.0,750.0,1.0,0.5,True,49.849227302949046,105.0,False
naive_perpendicular_500,0.0,500.0,750.0,1.0,1.0,True,51.381114271537044,105.0,False
naive_perpendicular_500,0.0,500.0,1000.0,-1.0,-1.0,False,750.2331037494384,105.0,False
naive_perpendicular_500,0.0,500.0,1000.0,-1.0,-0.5,False,750.2331037494384,105.0,False
naive_perpendicular_500,0.0,500.0,1000.0,-1.0,0.0,False,750.2331037494384,105.0,False
naive_perpendicular_500,0.0,500.0,1000.0,-1.0,0.5,False,750.2331037494384,105.0,False
naive_perpendicular_500,0.0,500.0,1000.0,-1.0,1.0,False,750.2331037494384,105.0,False
