time_weight,x,y,guaranteed_omni,mean_reception_prior,predicted_radius_m,max_hypothesis_radius_m,move_measure_s,score
0.0,750.2331031821237,-225.06993112483474,True,1.0,67.29954700205322,125.1492546544847,161.65327101683093,67.29954700205322
0.0,750.2331031821237,-75.02331037494706,True,1.0,159.83947169570916,235.4492836625805,155.79498747768702,159.83947169570916
0.0,750.2331031821237,-3.211653165635653e-12,True,1.0,508.9446078883584,562.4806020459087,155.04662063642473,508.9446078883584
0.0,750.2331031821237,75.02331037494064,True,1.0,159.8394716957194,235.44928366258998,155.7949874776869,159.8394716957194
0.0,750.2331031821237,225.06993112482832,True,1.0,67.29954700205437,125.14925465448691,161.65327101683056,67.29954700205437
0.0,690.2331031821237,-3.211653165635653e-12,True,1.0,525.3366508213138,607.4578158224373,143.04662063642473,525.3366508213138
0.0,810.2331031821237,-3.211653165635653e-12,True,1.0,481.10654903889423,517.5078868426258,167.04662063642473,481.10654903889423
0.0,600.2331031821237,-3.211653165635653e-12,True,1.0,549.9686377284081,674.9301053123655,125.04662063642475,549.9686377284081
0.0,900.2331031821237,-3.211653165635653e-12,True,1.0,451.4781761275859,525.1270949167316,185.04662063642473,451.4781761275859
0.08,750.2331031821237,-225.06993112483474,True,1.0,67.29954700205322,125.1492546544847,161.65327101683093,80.23180868339969
0.08,750.2331031821237,-75.02331037494706,True,1.0,159.83947169570916,235.4492836625805,155.79498747768702,172.30307069392413
0.08,750.2331031821237,-3.211653165635653e-12,True,1.0,508.9446078883584,562.4806020459087,155.04662063642473,521.3483375392724
0.08,750.2331031821237,75.02331037494064,True,1.0,159.8394716957194,235.44928366258998,155.7949874776869,172.30307069393436
0.08,750.2331031821237,225.06993112482832,True,1.0,67.29954700205437,125.14925465448691,161.65327101683056,80.23180868340081
0.08,690.2331031821237,-3.211653165635653e-12,True,1.0,525.3366508213138,607.4578158224373,143.04662063642473,536.7803804722278
0.08,810.2331031821237,-3.211653165635653e-12,True,1.0,481.10654903889423,517.5078868426258,167.04662063642473,494.4702786898082
0.08,600.2331031821237,-3.211653165635653e-12,True,1.0,549.9686377284081,674.9301053123655,125.04662063642475,559.9723673793221
0.08,900.2331031821237,-3.211653165635653e-12,True,1.0,451.4781761275859,525.1270949167316,185.04662063642473,466.2819057784999
0.4,750.2331031821237,-225.06993112483474,True,1.0,67.29954700205322,125.1492546544847,161.65327101683093,131.9608554087856
0.4,750.2331031821237,-75.02331037494706,True,1.0,159.83947169570916,235.4492836625805,155.79498747768702,222.15746668678398
0.4,750.2331031821237,-3.211653165635653e-12,True,1.0,508.9446078883584,562.4806020459087,155.04662063642473,570.9632561429283
0.4,750.2331031821237,75.02331037494064,True,1.0,159.8394716957194,235.44928366258998,155.7949874776869,222.15746668679415
0.4,750.2331031821237,225.06993112482832,True,1.0,67.29954700205437,125.14925465448691,161.65327101683056,131.96085540878659
0.4,690.2331031821237,-3.211653165635653e-12,True,1.0,525.3366508213138,607.4578158224373,143.04662063642473,582.5552990758837
0.4,810.2331031821237,-3.211653165635653e-12,True,1.0,481.10654903889423,517.5078868426258,167.04662063642473,547.9251972934642
0.4,600.2331031821237,-3.211653165635653e-12,True,1.0,549.9686377284081,674.9301053123655,125.04662063642475,599.987285982978
0.4,900.2331031821237,-3.211653165635653e-12,True,1.0,451.4781761275859,525.1270949167316,185.04662063642473,525.4968243821559
1.6,750.2331031821237,-225.06993112483474,True,1.0,67.29954700205322,125.1492546544847,161.65327101683093,325.9447806289827
1.6,750.2331031821237,-75.02331037494706,True,1.0,159.83947169570916,235.4492836625805,155.79498747768702,409.1114516600084
1.6,750.2331031821237,-3.211653165635653e-12,True,1.0,508.9446078883584,562.4806020459087,155.04662063642473,757.0192009066379
1.6,750.2331031821237,75.02331037494064,True,1.0,159.8394716957194,235.44928366258998,155.7949874776869,409.1114516600185
1.6,750.2331031821237,225.06993112482832,True,1.0,67.29954700205437,125.14925465448691,161.65327101683056,325.94478062898327
1.6,690.2331031821237,-3.211653165635653e-12,True,1.0,525.3366508213138,607.4578158224373,143.04662063642473,754.2112438395934
1.6,810.2331031821237,-3.211653165635653e-12,True,1.0,481.10654903889423,517.5078868426258,167.04662063642473,748.3811420571737
1.6,600.2331031821237,-3.211653165635653e-12,True,1.0,549.9686377284081,674.9301053123655,125.04662063642475,750.0432307466878
1.6,900.2331031821237,-3.211653165635653e-12,True,1.0,451.4781761275859,525.1270949167316,185.04662063642473,747.5527691458656
