problem,strategy,runs,all_cleared_rate,min_clear_fraction,mean_total_s,p95_total_s,max_total_s,mean_per_source_s,max_per_source_s,mean_commands,max_commands,mean_move_m,mean_measurements,mean_clear_calls,mean_switches,mean_wall_s,max_wall_s,cpu_s_sum,exception_count
3,active_2opt,61,1.0,1.0,9752.087266524592,10496.875027,11106.223136,767.3823823959494,982.2840679000001,233.5737704918033,298,41985.19043017758,218.54098360655738,13.032786885245901,197.18032786885246,0.1591774296381923,0.21729170804610476,9.695607999999996,0
3,active_genetic,61,1.0,1.0,9752.087266524592,10496.875027,11106.223136,767.3823823959494,982.2840679000001,233.5737704918033,298,41985.19043017758,218.54098360655738,13.032786885245901,197.18032786885246,0.16076268585108708,0.20661749999271706,9.765276000000014,0
3,square_cropped_2opt,61,1.0,1.0,11231.75063880328,12209.809149,12630.896773,885.2333268474047,1263.0896773,566.6065573770492,684,39501.86794483936,551.5737704918033,13.032786885245901,508.344262295082,0.032502124952457724,0.047864917025435716,1.9764590000000104,0
3,square_greedy,61,1.0,1.0,11844.885038852455,12651.560341,13076.040897,935.0644359462691,1267.2049157,585.9344262295082,742,41776.55634138988,570.9016393442623,13.032786885245901,569.9016393442623,0.03516874378489819,0.09463937499094754,2.1205450000000017,0
3,triangle_2opt,61,1.0,1.0,15551.845190885248,18830.207963,21604.118552,1210.1423046102648,1532.3544664545452,583.9016393442623,1005,63322.42270192659,378.1967213114754,203.70491803278688,359.1967213114754,0.024218265723902732,0.033728959038853645,1.4741459999999906,0
3,triangle_genetic,61,1.0,1.0,15551.845190885248,18830.207963,21604.118552,1210.1423046102648,1532.3544664545452,583.9016393442623,1005,63322.42270192659,378.1967213114754,203.70491803278688,359.1967213114754,0.024294035603696876,0.03375312499701977,1.4796610000000072,0
4,active_2opt,61,1.0,1.0,11285.499374885241,13050.576023,13871.194466,861.3422617026658,1190.7747477,416.0655737704918,594,45288.07063458214,330.88524590163934,83.18032786885246,296.9672131147541,0.29364545023084054,0.5622304159915075,17.774610999999997,0
4,active_genetic,61,1.0,1.0,11285.499374885241,13050.576023,13871.194466,861.3422617026658,1190.7747477,416.0655737704918,594,45288.07063458214,330.88524590163934,83.18032786885246,296.9672131147541,0.2900056045552044,0.4221346669946797,17.633271999999977,0
4,square_cropped_2opt,61,1.0,1.0,11694.113851409837,12592.910086,13357.592386,891.1845012999249,1184.3958341,596.7377049180328,723,40919.25777722905,580.9180327868852,13.819672131147541,537.2622950819672,0.034618712473111074,0.07469974999548867,2.0827319999999823,0
4,square_greedy,61,1.0,1.0,12147.426950868852,13299.371177,13686.337796,929.948176117553,1278.7947568,620.1803278688525,787,42264.347868689714,604.688524590164,13.491803278688524,603.688524590164,0.036664718590279824,0.09910458402009681,2.1599050000000055,0
4,triangle_2opt,61,1.0,1.0,11907.544876622951,13745.598186,15133.697505,902.6795984474894,1290.7113941,484.5245901639344,632,45610.26534979262,447.11475409836066,35.40983606557377,416.73770491803276,0.028083883740244526,0.03990979102673009,1.7089889999999563,0
4,triangle_genetic,61,1.0,1.0,11907.544876622951,13745.598186,15133.697505,902.6795984474894,1290.7113941,484.5245901639344,632,45610.26534979262,447.11475409836066,35.40983606557377,416.73770491803276,0.02957442757143013,0.10535520897246897,1.729095999999977,0
