problem,strategy,reference,paired_mean_relative_time_saving,paired_min_relative_time_saving,paired_max_relative_time_saving,faster_case_fraction
3,active_2opt,square_greedy,0.17573343237527767,0.07937327328565913,0.25783438464913344,1.0
3,active_genetic,square_greedy,0.17573343237527767,0.07937327328565913,0.25783438464913344,1.0
3,square_cropped_2opt,square_greedy,0.0495211005407623,-0.13605900751390654,0.1393682824088467,0.8688524590163934
3,triangle_2opt,square_greedy,-0.3243368480062328,-1.076841114470036,-0.05773429242148409,0.0
3,triangle_genetic,square_greedy,-0.3243368480062328,-1.076841114470036,-0.05773429242148409,0.0
4,active_2opt,square_greedy,0.06828744379373633,-0.17431787522930908,0.29453547773157196,0.7868852459016393
4,active_genetic,square_greedy,0.06828744379373633,-0.17431787522930908,0.29453547773157196,0.7868852459016393
4,square_cropped_2opt,square_greedy,0.03242302593703337,-0.22017563213375557,0.23789990502892777,0.7868852459016393
4,triangle_2opt,square_greedy,0.011687072127326443,-0.38710400493043573,0.18994444450726455,0.7049180327868853
4,triangle_genetic,square_greedy,0.011687072127326443,-0.38710400493043573,0.18994444450726455,0.7049180327868853
