problem,category,strategy,runs,all_cleared_rate,min_clear_fraction,mean_total_s,p95_total_s,max_total_s,mean_per_source_s,max_per_source_s,mean_commands,max_commands,mean_move_m,mean_measurements,mean_clear_calls,mean_switches,mean_wall_s,max_wall_s,cpu_s_sum,exception_count
3,minimum_radius,active_2opt,7,1.0,1.0,9978.962337714287,10536.197504,10571.071517,813.4800796598973,982.2840679000001,248.85714285714286,286,42649.81169300555,234.42857142857142,12.428571428571429,214.71428571428572,0.14016413684501977,0.19685529096750543,0.9802939999999971,0
3,near_collinear,active_2opt,6,1.0,1.0,9420.832009166666,10275.05097275,10472.445943,717.7573796655755,938.9566671,196.16666666666666,256,41470.8267105952,180.66666666666666,13.5,155.83333333333334,0.1758270486704229,0.20405891694827005,1.053917000000002,0
3,outward_boundary,active_2opt,6,1.0,1.0,9566.758017166665,9947.15839175,9960.818145,752.1147800989844,844.2091741818182,281.6666666666667,298,39602.95674921632,266.8333333333333,12.833333333333334,247.83333333333334,0.16375480567997633,0.19139175000600517,0.981500999999998,0
3,random,active_2opt,20,1.0,1.0,9940.0795296,10645.039040149999,11106.223136,792.7446093915806,979.1520439,227.75,274,43105.14764668826,212.9,12.85,190.3,0.16427396655199117,0.21729170804610476,3.278256999999999,0
3,smooth_noise,active_2opt,3,1.0,1.0,10226.120857666667,10442.6809286,10451.742005,739.3032307388888,863.4276034166666,218.66666666666666,243,44807.2709465377,202.66666666666666,14.0,181.33333333333334,0.16104040298766145,0.17601150000700727,0.48251599999999684,0
3,truncated_bearing,active_2opt,3,1.0,1.0,10169.266777666668,10430.6039372,10471.296511,710.4010067015873,747.9497507857143,198.33333333333334,203,45144.66722240794,182.0,14.333333333333334,158.66666666666666,0.18399770833396664,0.19797262497013435,0.5512200000000007,0
3,unknown_count,active_2opt,7,1.0,1.0,9576.989101,10297.1229749,10336.446908,757.8591517361002,938.4062593000001,231.57142857142858,273,41174.23122064716,216.57142857142858,13.0,194.28571428571428,0.16242448213909352,0.20487104199128225,1.1355369999999958,0
3,worst_alternating,active_2opt,3,1.0,1.0,9369.992992333335,10131.0890364,10190.72701,719.7076904597221,959.4347273999999,247.66666666666666,260,39643.29829047791,232.0,13.666666666666666,213.0,0.1461647079947094,0.175852540996857,0.438048000000002,0
3,worst_minus,active_2opt,3,1.0,1.0,9045.157433,9513.2160425,9523.725855,773.5604632234848,952.3725855,247.0,277,38020.78716880292,232.66666666666666,12.333333333333334,216.0,0.12907937531902766,0.15680695796618238,0.3868369999999999,0
3,worst_plus,active_2opt,3,1.0,1.0,9608.972751666666,10445.6802543,10496.875027,769.3027955303031,954.2613660909091,242.66666666666666,278,40978.19708931674,227.66666666666666,13.0,210.0,0.1359619446642076,0.1811859579756856,0.4074810000000042,0
3,minimum_radius,active_genetic,7,1.0,1.0,9978.962337714287,10536.197504,10571.071517,813.4800796598973,982.2840679000001,248.85714285714286,286,42649.81169300555,234.42857142857142,12.428571428571429,214.71428571428572,0.14279473213745014,0.20394425000995398,0.9958090000000013,0
3,near_collinear,active_genetic,6,1.0,1.0,9420.832009166666,10275.05097275,10472.445943,717.7573796655755,938.9566671,196.16666666666666,256,41470.8267105952,180.66666666666666,13.5,155.83333333333334,0.17839786134815463,0.20269075001124293,1.0642570000000031,0
3,outward_boundary,active_genetic,6,1.0,1.0,9566.758017166665,9947.15839175,9960.818145,752.1147800989844,844.2091741818182,281.6666666666667,298,39602.95674921632,266.8333333333333,12.833333333333334,247.83333333333334,0.16372905584285036,0.1917650000541471,0.9814980000000002,0
3,random,active_genetic,20,1.0,1.0,9940.0795296,10645.039040149999,11106.223136,792.7446093915806,979.1520439,227.75,274,43105.14764668826,212.9,12.85,190.3,0.16717991254408843,0.20661749999271706,3.3179450000000026,0
3,smooth_noise,active_genetic,3,1.0,1.0,10226.120857666667,10442.6809286,10451.742005,739.3032307388888,863.4276034166666,218.66666666666666,243,44807.2709465377,202.66666666666666,14.0,181.33333333333334,0.16091834699424604,0.17464891698909923,0.4823080000000033,0
3,truncated_bearing,active_genetic,3,1.0,1.0,10169.266777666668,10430.6039372,10471.296511,710.4010067015873,747.9497507857143,198.33333333333334,203,45144.66722240794,182.0,14.333333333333334,158.66666666666666,0.18056698601382473,0.19664725003531203,0.5411350000000006,0
3,unknown_count,active_genetic,7,1.0,1.0,9576.989101,10297.1229749,10336.446908,757.8591517361002,938.4062593000001,231.57142857142858,273,41174.23122064716,216.57142857142858,13.0,194.28571428571428,0.1638139405570525,0.20387666596798226,1.1444520000000011,0
3,worst_alternating,active_genetic,3,1.0,1.0,9369.992992333335,10131.0890364,10190.72701,719.7076904597221,959.4347273999999,247.66666666666666,260,39643.29829047791,232.0,13.666666666666666,213.0,0.14618154199949154,0.17579570901580155,0.4381230000000045,0
3,worst_minus,active_genetic,3,1.0,1.0,9045.157433,9513.2160425,9523.725855,773.5604632234848,952.3725855,247.0,277,38020.78716880292,232.66666666666666,12.333333333333334,216.0,0.1292303610049809,0.1578558330074884,0.38731899999999797,0
3,worst_plus,active_genetic,3,1.0,1.0,9608.972751666666,10445.6802543,10496.875027,769.3027955303031,954.2613660909091,242.66666666666666,278,40978.19708931674,227.66666666666666,13.0,210.0,0.13773722199645513,0.1816936659743078,0.4124300000000005,0
3,minimum_radius,square_cropped_2opt,7,1.0,1.0,10998.604075142855,11566.119944,11624.54282,898.486089765908,1119.8049298,584.2857142857143,677,37808.02037100998,569.8571428571429,12.428571428571429,525.5714285714286,0.028817392711061984,0.03239408298395574,0.20153400000000232,0
3,near_collinear,square_cropped_2opt,6,1.0,1.0,10935.914283999999,11641.4799345,11805.782936,834.8230283885913,1180.5782936,490.5,644,40310.40475022484,475.0,13.5,431.3333333333333,0.031798993004485965,0.038029000046662986,0.19057200000000662,0
3,outward_boundary,square_cropped_2opt,6,1.0,1.0,11349.698016333334,11797.5457535,11924.299617,895.7400854911756,1084.027237909091,615.8333333333334,659,38618.49007891532,601.0,12.833333333333334,556.8333333333334,0.025214361182103556,0.02791512501426041,0.1511099999999974,0
3,random,square_cropped_2opt,20,1.0,1.0,11372.03857315,12247.21587355,12630.896773,908.5509725211417,1263.0896773,562.35,662,40329.44286188256,547.5,12.85,504.4,0.03521581670211162,0.047864917025435716,0.6994660000000005,0
3,smooth_noise,square_cropped_2opt,3,1.0,1.0,11526.342392666667,12138.1118528,12229.479079,836.3643766166668,1019.1232565833334,549.3333333333334,642,41503.378628283936,533.3333333333334,14.0,489.0,0.040578805337039135,0.04362700000638142,0.12160100000000185,0
3,truncated_bearing,square_cropped_2opt,3,1.0,1.0,11379.525258666667,11567.5367297,11570.740656,794.456977752381,824.1929566428571,513.6666666666666,557,41837.62629130367,497.3333333333333,14.333333333333334,453.6666666666667,0.03578345799663415,0.037845458020456135,0.10725099999999799,0
3,unknown_count,square_cropped_2opt,7,1.0,1.0,11510.889163999998,12148.0057113,12209.809149,912.1172047243739,1190.2862983999999,582.4285714285714,684,40424.44581263935,567.4285714285714,13.0,523.8571428571429,0.035099148858405115,0.04062912496738136,0.24537500000000279,0
3,worst_alternating,square_cropped_2opt,3,1.0,1.0,11071.147846666667,11457.5228002,11485.915822,851.0790015305556,1148.5915822000002,607.3333333333334,658,37474.07256812668,591.6666666666666,13.666666666666666,549.6666666666666,0.030807763667932402,0.03632395900785923,0.09234200000000214,0
3,worst_minus,square_cropped_2opt,3,1.0,1.0,10862.554090333333,11705.7130791,11826.389751,927.3041145787879,1182.6389751000002,599.6666666666666,675,36652.770452801225,585.3333333333334,12.333333333333334,543.6666666666666,0.02821644430514425,0.03386770799988881,0.0845950000000002,0
3,worst_plus,square_cropped_2opt,3,1.0,1.0,10632.394087666667,11361.5110594,11424.644195,847.6661103743687,1038.6040177272728,567.0,615,36473.63710520557,552.0,13.0,512.6666666666666,0.02755265267721067,0.032674500020220876,0.0826129999999985,0
3,minimum_radius,square_greedy,7,1.0,1.0,11744.684645428571,12313.834046400001,12361.488477,960.4057554034514,1209.7370939,594.2857142857143,742,41021.99465281534,579.8571428571429,12.428571428571429,578.8571428571429,0.029115619004837105,0.032709124963730574,0.2035399999999985,0
3,near_collinear,square_greedy,6,1.0,1.0,11606.438880166666,12319.5166525,12388.908282,888.5410074265873,1238.8908282,535.0,654,42114.694402474306,519.5,13.5,518.5,0.03665181249380112,0.04205516696674749,0.21960099999999905,0
3,outward_boundary,square_greedy,6,1.0,1.0,12190.104330666667,12433.9528605,12448.547143,961.9642800585249,1126.3790920909091,650.6666666666666,707,41559.68832142764,635.8333333333334,12.833333333333334,634.8333333333334,0.02639715266802038,0.02810358296846971,0.15815499999999894,0
3,random,square_greedy,20,1.0,1.0,11959.41534125,12652.5847818,12672.049157,957.2159703041134,1267.2049157,583.2,693,42430.32670564776,568.35,12.85,567.35,0.040553333252319135,0.09463937499094754,0.7880830000000001,0
3,smooth_noise,square_greedy,3,1.0,1.0,12290.557616999999,12756.5541015,12820.514346,887.0422405833333,1015.07599175,564.3333333333334,646,44657.788084617954,548.3333333333334,14.0,547.3333333333334,0.043015958314451076,0.045973500004038215,0.1288940000000025,0
3,truncated_bearing,square_greedy,3,1.0,1.0,11866.310652,12244.9510541,12284.104993,829.4630444142857,877.4360709285714,523.0,568,43778.21992541337,506.6666666666667,14.333333333333334,505.6666666666667,0.03885366633767262,0.04371354100294411,0.11634200000000305,0
3,unknown_count,square_greedy,7,1.0,1.0,11875.401445142857,12871.8666051,13076.040897,944.4515723972878,1222.5003672999999,591.2857142857143,717,41768.43579771148,576.2857142857143,13.0,575.2857142857143,0.034804237848480364,0.040646250010468066,0.24344899999999825,0
3,worst_alternating,square_greedy,3,1.0,1.0,11509.861051,11922.4055485,11940.463487,884.955281638889,1194.0463487000002,583.6666666666666,644,40172.638581756706,568.0,13.666666666666666,567.0,0.027903346985112876,0.03363345796242356,0.08360199999999907,0
3,worst_minus,square_greedy,3,1.0,1.0,11553.961163666667,12226.0726739,12284.593053,986.4696569333333,1228.4593053,620.0,703,39296.47248323006,605.6666666666666,12.333333333333334,604.6666666666666,0.029680041984344523,0.036980833974666893,0.08896000000000015,0
3,worst_plus,square_greedy,3,1.0,1.0,11189.249065000002,12277.567994399998,12332.718318,897.9291654715909,1121.1562107272728,597.3333333333334,672,38156.245329891426,582.3333333333334,13.0,581.3333333333334,0.030044958674504112,0.032444417010992765,0.08991900000000186,0
3,minimum_radius,triangle_2opt,7,1.0,1.0,16140.242153999998,18012.361603999998,18186.726506,1305.9396259900648,1399.0105908,657.1428571428571,860,65144.782191031365,380.0,275.14285714285717,361.0,0.02229266070727525,0.026058374962303787,0.1559709999999992,0
3,near_collinear,triangle_2opt,6,1.0,1.0,14679.604742833335,15395.797622,15461.878171,1112.0677155440476,1513.0937758,538.6666666666666,724,59683.02378548621,375.0,161.66666666666666,356.0,0.026736270840046927,0.030301666993182153,0.16024099999999208,0
3,outward_boundary,triangle_2opt,6,1.0,1.0,16620.459226833333,17892.6224525,17955.15826,1301.4886396573427,1450.469982,498.0,582,69928.96280405989,380.0,116.0,361.0,0.01699058333178982,0.018724749970715493,0.10179799999999872,0
3,random,triangle_2opt,20,1.0,1.0,14581.822404150002,15993.142693700001,16604.950288,1154.7313876115545,1473.1911804,526.8,629,59349.36201269318,376.95,147.85,357.95,0.025402125014807098,0.033728959038853645,0.5070039999999969,0
3,smooth_noise,triangle_2opt,3,1.0,1.0,15998.928356333332,17549.3766865,17682.409431,1144.1635218222223,1178.8272954,608.0,690,65159.64179967206,380.0,226.0,361.0,0.027035708325759817,0.030167374992743134,0.08100200000000157,0
3,truncated_bearing,triangle_2opt,3,1.0,1.0,15829.242956,16486.4275143,16601.998045,1104.307833293651,1106.7998696666666,575.0,585,64842.8815606277,377.3333333333333,195.66666666666666,358.3333333333333,0.028392402998482186,0.030812916986178607,0.08505799999999653,0
3,unknown_count,triangle_2opt,7,1.0,1.0,14470.432246142856,15623.182214600001,15755.657327,1129.542093519198,1302.4567422,489.0,528,59335.73268275575,378.42857142857144,108.57142857142857,359.42857142857144,0.02368491070644398,0.028537167003378272,0.16562899999999914,0
3,worst_alternating,triangle_2opt,3,1.0,1.0,17495.426532333335,19342.1474417,19399.029606,1297.8302502361112,1425.7042028,799.6666666666666,934,69770.46594266884,380.0,417.6666666666667,361.0,0.02468458334139238,0.028309166023973376,0.0728140000000046,0
3,worst_minus,triangle_2opt,3,1.0,1.0,17875.248691666668,21129.2966099,21604.118552,1466.394905051515,1532.3544664545452,844.0,1005,71017.9103386416,380.0,462.0,361.0,0.02422547198754425,0.029783374979160726,0.07260600000000039,0
3,worst_plus,triangle_2opt,3,1.0,1.0,17784.821444333335,19470.7022019,19634.069178,1385.417710003788,1500.0332847500001,786.3333333333334,938,71424.10732834712,380.0,404.3333333333333,361.0,0.024017694658444572,0.029152542003430426,0.0720230000000015,0
3,minimum_radius,triangle_genetic,7,1.0,1.0,16140.242153999998,18012.361603999998,18186.726506,1305.9396259900648,1399.0105908,657.1428571428571,860,65144.782191031365,380.0,275.14285714285717,361.0,0.02223506543253149,0.025966084038373083,0.15552699999999753,0
