seconds_to_radius_weight,candidate,x,y,trials,reception_fraction,mean_radius_m,worst_radius_m,move_measure_s,universal_certificate
0.0,safe_grid_750_550,750.0,550.0,135,1.0,24.960071626265442,62.228981046526094,191.01075237738274,True
0.1,safe_grid_750_550,750.0,550.0,135,1.0,24.960071626265442,62.228981046526094,191.01075237738274,True
0.5,safe_grid_750_550,750.0,550.0,135,1.0,24.960071626265442,62.228981046526094,191.01075237738274,True
1.0,safe_grid_750_400,750.0,400.0,135,1.0,27.31775682077376,74.065225317955,175.0,True
2.0,robust_lens_750_350,750.0,350.0,135,1.0,28.963221671029714,80.44273703252647,170.5294535724685,True
5.0,safe_grid_750_250,750.0,250.0,135,1.0,35.0531169968438,100.40192010083025,163.11388300841898,True
10.0,active_weight_0,750.2331031821237,-225.06993112483474,135,1.0,37.62627739697807,107.73358985440562,161.65327101683093,True
