phase,problem,setting,block,order,case_code,official_row_id,practice_run_no,parameters,sources,omni_sources,directional_sources,completed,cleared,misses,virtual_time_us,total_s,seconds_per_source,distance_m,movement_s,measurements,switches,measurement_s,switch_s,failed_clear_s,successful_clear_s,retries,duplicate_responses,max_action_ledger_error_s,wall_s,round_counters_recorded,sources_at_round_budget,maximum_rounds,end_reason,evidence,shared_known_measurements,shared_negative_cooldown_skips,source_interruptions,optical_fallback_calls,bracket_pair_cuts,active_measurements,certified_clears,omni_negative_cuts,packet_fallbacks,forced_continuations
screen,4,trial_radius=80,4,184,FPVD-8VFJ-C2PM-4WRD,363,8825245887469888640,"{""fraction"": 0.15, ""pause_limit"": 16, ""share_cooldown"": 150.0, ""share_limit"": 6, ""steps"": 10, ""transverse_m"": 40.0, ""trial_radius"": 80}",13,8,5,1,13,1,6397518901,6397.518901,492.1168385384616,23832.594506302616,4766.518901260523,264,243,1320,243,3,65,0,0,4.940703774991562e-07,45.383625292015495,True,0,2,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-061020-71daa0d3,16,7,2,0,0,8,9,,0,0
screen,4,share_cooldown=0,4,185,7R37-D3F6-3DS3-Y5TT,364,4852877572864584876,"{""fraction"": 0.15, ""pause_limit"": 16, ""share_cooldown"": 0, ""share_limit"": 6, ""steps"": 10, ""transverse_m"": 40.0, ""trial_radius"": 35.0}",14,1,13,1,14,0,6446984066,6446.984066,460.49886185714286,22739.920341119418,4547.984068223884,309,284,1545,284,0,70,0,0,4.987078625617869e-07,44.8134729169833,True,0,3,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-061106-f8e9593a,23,0,4,0,1,26,9,,0,0
screen,3,localization_weight=0.32,4,186,APRF-KV84-SS7X-PWHK,365,8392417907122419962,"{""localization_weight"": 0.32, ""max_active"": 3, ""remainder_weight"": 1.5, ""share_limit"": 6, ""trial_radius"": 50.0}",12,12,0,1,12,0,3393809864,3393.809864,282.81748866666663,13514.049319385931,2702.809863877186,106,101,530,101,0,60,0,0,4.926691588025278e-07,38.12568349999492,False,,,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-061151-c111b8ac,9,,,0,0,6,6,0,,
screen,4,fraction=0.3,4,187,QX32-56Z5-THEU-QVKX,366,8497643539867049496,"{""fraction"": 0.3, ""pause_limit"": 16, ""share_cooldown"": 150.0, ""share_limit"": 6, ""steps"": 10, ""transverse_m"": 40.0, ""trial_radius"": 35.0}",15,1,14,1,15,0,6415763712,6415.763712,427.7175808,23813.818553622466,4762.763710724494,266,248,1330,248,0,75,0,0,4.890167275561907e-07,42.895324874989456,True,0,2,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-061229-b637bd19,14,2,3,0,0,13,9,,0,0
screen,3,share_limit=0,4,188,P6UE-BUHY-PKD7-Q8CJ,367,6859362703801624207,"{""localization_weight"": 0.08, ""max_active"": 3, ""remainder_weight"": 1.5, ""share_limit"": 0, ""trial_radius"": 50.0}",14,14,0,1,14,0,3525971555,3525.971555,251.85511107142858,14174.85777484503,2834.971554969006,104,101,520,101,0,70,0,0,4.6568032985305763e-07,37.319136667007115,False,,,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-061312-7f7bacfb,0,,,0,0,11,6,0,,
screen,4,share_limit=2,4,189,D4TY-JEFG-AN5T-T567,368,7583429553338381066,"{""fraction"": 0.15, ""pause_limit"": 16, ""share_cooldown"": 150.0, ""share_limit"": 2, ""steps"": 10, ""transverse_m"": 40.0, ""trial_radius"": 35.0}",13,9,4,1,13,0,6195352220,6195.35222,476.5655553846154,22666.761098719035,4533.352219743807,270,247,1350,247,0,65,0,0,4.93491867814555e-07,43.73310949999723,True,0,2,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-061350-18fca9ba,12,14,2,0,0,10,8,,0,0
screen,3,share_limit=12,4,190,PQM8-JFCC-Q48X-7PUE,369,44410314721321239,"{""localization_weight"": 0.08, ""max_active"": 3, ""remainder_weight"": 1.5, ""share_limit"": 12, ""trial_radius"": 50.0}",14,14,0,1,14,0,3441594120,3441.59412,245.82815142857143,13412.970595069442,2682.5941190138883,116,109,580,109,0,70,0,0,4.925371257513689e-07,37.71947250000085,False,,,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-061434-8bc90567,16,,,0,0,7,8,0,,
screen,4,share_cooldown=800,4,191,PDDQ-P69N-F432-RUK6,370,8158913523865858523,"{""fraction"": 0.15, ""pause_limit"": 16, ""share_cooldown"": 800, ""share_limit"": 6, ""steps"": 10, ""transverse_m"": 40.0, ""trial_radius"": 35.0}",11,1,10,1,11,0,6292886269,6292.886269,572.0805699090909,22669.431363075575,4533.886272615115,287,269,1435,269,0,55,0,0,4.998154707891445e-07,44.238606708007865,True,0,3,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-061511-c88ef1e9,5,57,3,0,0,8,6,,0,0
screen,3,max_active=5,4,192,S8QV-XNHE-XHPV-FTPB,371,178654766248744188,"{""localization_weight"": 0.08, ""max_active"": 5, ""remainder_weight"": 1.5, ""share_limit"": 6, ""trial_radius"": 50.0}",12,12,0,1,12,0,3178315100,3178.3151,264.85959166666663,12006.575513666245,2401.3151027332488,121,112,605,112,0,60,0,0,4.3890537426705123e-07,37.22888229100499,False,,,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-061556-07b9b584,18,,,0,0,2,3,0,,
screen,4,pause_limit=0,4,193,3AD4-WHEP-8VER-EU3R,372,8333424080347566025,"{""fraction"": 0.15, ""pause_limit"": 0, ""share_cooldown"": 150.0, ""share_limit"": 6, ""steps"": 10, ""transverse_m"": 40.0, ""trial_radius"": 35.0}",13,4,9,1,13,0,6789013384,6789.013384,522.2317987692307,25215.066921209087,5043.013384241817,284,261,1420,261,0,65,0,0,4.841208252059914e-07,44.7461827500083,True,0,3,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-061633-6d4e3c97,7,0,0,0,0,15,9,,0,14
screen,3,max_active=4,4,194,ZKZ5-PACM-WJSK-4C3N,373,6605270240983832298,"{""localization_weight"": 0.08, ""max_active"": 4, ""remainder_weight"": 1.5, ""share_limit"": 6, ""trial_radius"": 50.0}",16,16,0,1,16,0,3234631911,3234.631911,202.1644944375,12358.159552806905,2471.631910561381,116,103,580,103,0,80,0,0,4.995975473320868e-07,37.31696462500258,False,,,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-061718-dd676c13,27,,,0,0,6,7,2,,
screen,4,transverse_m=100,4,195,TWBQ-Q5JY-DBBE-3MQU,374,4231537633330279997,"{""fraction"": 0.15, ""pause_limit"": 16, ""share_cooldown"": 150.0, ""share_limit"": 6, ""steps"": 10, ""transverse_m"": 100, ""trial_radius"": 35.0}",12,11,1,1,12,0,5562159483,5562.159483,463.51329025,20350.79741018776,4070.1594820375517,242,222,1210,222,0,60,0,0,4.985054431472236e-07,42.41365366699756,True,0,2,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-061756-283fbab6,24,2,1,0,0,4,10,,0,0
screen,4,steps=4,4,196,DNSG-NYZ7-J4GG-6HUM,375,699250710470067117,"{""fraction"": 0.15, ""pause_limit"": 16, ""share_cooldown"": 150.0, ""share_limit"": 6, ""steps"": 4, ""transverse_m"": 40.0, ""trial_radius"": 35.0}",14,0,14,1,14,0,6783916604,6783.916604,484.5654717142857,25489.583037022087,5097.916607404417,273,251,1365,251,0,70,0,0,4.912447266747222e-07,44.228241000004346,True,0,3,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-061838-3b8a6122,7,1,0,0,0,14,8,,0,0
screen,4,pause_limit=8,4,197,Q55U-SZJ6-HC4R-5VE7,376,8362482919607800483,"{""fraction"": 0.15, ""pause_limit"": 8, ""share_cooldown"": 150.0, ""share_limit"": 6, ""steps"": 10, ""transverse_m"": 40.0, ""trial_radius"": 35.0}",16,3,13,1,16,0,6019336053,6019.336053,376.2085033125,21781.680261637335,4356.336052327467,267,248,1335,248,0,80,0,0,4.820261665372527e-07,43.68542595801409,True,0,3,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-061923-b5e1fe37,24,2,4,0,0,17,10,,0,0
screen,3,localization_weight=0,4,198,DHAY-AXSB-XB35-GHA6,377,2930042761024708140,"{""localization_weight"": 0, ""max_active"": 3, ""remainder_weight"": 1.5, ""share_limit"": 6, ""trial_radius"": 50.0}",15,15,0,1,15,0,3247281037,3247.281037,216.48540246666667,12741.405170761334,2548.281034152267,106,94,530,94,0,75,0,0,4.988769575220431e-07,37.70405812500394,False,,,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-062007-7e4334b3,20,,,0,0,5,10,1,,
screen,4,baseline,4,199,BWPB-S8UU-4TSC-DFMP,378,8325802296427823601,"{""fraction"": 0.15, ""pause_limit"": 16, ""share_cooldown"": 150.0, ""share_limit"": 6, ""steps"": 10, ""transverse_m"": 40.0, ""trial_radius"": 35.0}",15,10,5,1,15,0,5948806837,5948.806837,396.5871224666667,22459.034187192017,4491.806837438404,234,212,1170,212,0,75,0,0,4.2771311825617886e-07,42.8879267500015,True,0,2,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-062045-caa9e0d0,9,5,1,0,0,5,10,,0,0
screen,3,localization_weight=1.28,4,200,G6KM-VWYG-9DYT-QJCB,379,2886459870592022905,"{""localization_weight"": 1.28, ""max_active"": 3, ""remainder_weight"": 1.5, ""share_limit"": 6, ""trial_radius"": 50.0}",12,12,0,1,12,0,3058644978,3058.644978,254.8870815,11268.224893794537,2253.644978758907,126,115,630,115,0,60,0,0,4.5437541018600314e-07,38.44736625000951,False,,,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-062128-a4fae506,22,,,0,0,5,7,0,,
screen,4,share_cooldown=50,4,201,QJZH-UZV2-9TVH-K9E7,380,5683719914429610173,"{""fraction"": 0.15, ""pause_limit"": 16, ""share_cooldown"": 50, ""share_limit"": 6, ""steps"": 10, ""transverse_m"": 40.0, ""trial_radius"": 35.0}",10,6,4,1,10,0,5897151144,5897.151144,589.7151144000001,20700.755725194875,4140.151145038975,288,267,1440,267,0,50,0,0,4.2132671751460293e-07,44.49388516700128,True,0,1,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-062206-a1dafd70,13,2,2,0,0,7,7,,0,0
screen,4,share_cooldown=400,4,202,AR9R-N6HT-TVYE-W5NT,381,3386528513160387366,"{""fraction"": 0.15, ""pause_limit"": 16, ""share_cooldown"": 400, ""share_limit"": 6, ""steps"": 10, ""transverse_m"": 40.0, ""trial_radius"": 35.0}",16,14,2,1,16,0,5574239222,5574.239222,348.389951375,21046.196115275998,4209.2392230552,217,200,1085,200,0,80,0,0,4.899790582157948e-07,42.05433141600224,True,0,2,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-062251-ad1f916d,14,11,3,0,0,9,12,,0,0
screen,3,trial_radius=35,5,203,9CQQ-EQ2V-NBMT-RYYT,382,3285989712737313648,"{""localization_weight"": 0.08, ""max_active"": 3, ""remainder_weight"": 1.5, ""share_limit"": 6, ""trial_radius"": 35}",10,10,0,1,10,0,3055189409,3055.189409,305.5189409,11340.947036324971,2268.1894072649943,124,117,620,117,0,50,0,0,4.871390899552352e-07,38.134850834001554,False,,,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-062333-f8f3535b,12,,,0,0,6,5,1,,
screen,3,localization_weight=1.28,5,204,6228-M4YV-JJ8U-8EHA,383,1514553327335183906,"{""localization_weight"": 1.28, ""max_active"": 3, ""remainder_weight"": 1.5, ""share_limit"": 6, ""trial_radius"": 50.0}",11,11,0,1,11,0,2773174864,2773.174864,252.1068058181818,9870.874321799824,1974.1748643599647,125,119,625,119,0,55,0,0,4.694424831086508e-07,37.69997045799391,False,,,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-062411-3bf8bc36,20,,,0,0,4,9,0,,
screen,4,steps=3,5,205,3N3K-HTFQ-6DJW-HJ89,384,3717833201487248688,"{""fraction"": 0.15, ""pause_limit"": 16, ""share_cooldown"": 150.0, ""share_limit"": 6, ""steps"": 3, ""transverse_m"": 40.0, ""trial_radius"": 35.0}",13,7,6,1,13,0,6023688158,6023.688158,463.36062753846153,22158.440797189003,4431.688159437801,258,237,1290,237,0,65,0,0,4.93515869948169e-07,44.15264233300695,True,0,2,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-062449-086d35ad,10,2,0,0,0,6,10,,0,0
screen,3,trial_radius=80,5,206,EN9G-ZW2W-T24N-HH3R,385,8503560550687381925,"{""localization_weight"": 0.08, ""max_active"": 3, ""remainder_weight"": 1.5, ""share_limit"": 6, ""trial_radius"": 80}",13,13,0,1,13,1,3035574399,3035.574399,233.50572300000002,11117.871995124995,2223.574399024999,126,114,630,114,3,65,0,0,4.89772197909133e-07,38.47339816699969,False,,,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-062534-893bdc00,20,,,0,0,4,5,1,,
screen,4,trial_radius=65,5,207,3VBE-QGYR-Y27K-GBW9,386,7885526957249132030,"{""fraction"": 0.15, ""pause_limit"": 16, ""share_cooldown"": 150.0, ""share_limit"": 6, ""steps"": 10, ""transverse_m"": 40.0, ""trial_radius"": 65}",14,0,14,1,14,1,6896434155,6896.434155,492.6024396428571,25882.17077933351,5176.434155866702,279,252,1395,252,3,70,0,0,4.989662159005093e-07,44.88190191600006,True,0,3,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-062612-27a93164,17,5,2,0,0,19,8,,0,0
screen,4,pause_limit=4,5,208,2X8W-2E7P-EPEW-GV6Q,387,8322576193735478686,"{""fraction"": 0.15, ""pause_limit"": 4, ""share_cooldown"": 150.0, ""share_limit"": 6, ""steps"": 10, ""transverse_m"": 40.0, ""trial_radius"": 35.0}",11,9,2,1,11,0,5681380380,5681.38038,516.4891254545454,20016.90189999149,4003.3803799982984,274,253,1370,253,0,55,0,0,4.7477971065745805e-07,44.448874207999324,True,0,3,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-062657-7f30432c,18,10,3,0,0,7,9,,0,0
screen,4,baseline,5,209,M39M-WDN8-FPVH-CNW4,388,9167908754360804281,"{""fraction"": 0.15, ""pause_limit"": 16, ""share_cooldown"": 150.0, ""share_limit"": 6, ""steps"": 10, ""transverse_m"": 40.0, ""trial_radius"": 35.0}",16,15,1,1,16,0,4698726859,4698.726859,293.6704286875,18158.634319324578,3631.7268638649157,167,152,835,152,0,80,0,0,4.869699274934192e-07,40.94617287500296,True,0,2,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-062742-df93473e,26,5,2,0,0,8,12,,0,0
screen,3,max_active=1,5,210,AJGQ-JFV7-7BVX-MPGE,389,254240024842934693,"{""localization_weight"": 0.08, ""max_active"": 1, ""remainder_weight"": 1.5, ""share_limit"": 6, ""trial_radius"": 50.0}",14,14,0,1,14,0,3269253172,3269.253172,233.51808371428572,12521.265860794412,2504.2531721588825,117,110,585,110,0,70,0,0,4.974030360926918e-07,38.01596854199306,False,,,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-062823-579d347f,23,,,0,0,5,5,5,,
screen,3,remainder_weight=2,5,211,UVHP-JY7T-45F6-A2DF,390,1292723248631342037,"{""localization_weight"": 0.08, ""max_active"": 3, ""remainder_weight"": 2, ""share_limit"": 6, ""trial_radius"": 50.0}",15,15,0,1,15,0,2972735012,2972.735012,198.18233413333334,11663.675063284456,2332.7350126568913,95,90,475,90,0,75,0,0,4.388766399188171e-07,37.22306074999506,False,,,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-062901-caf40494,23,,,0,0,4,6,0,,
screen,4,fraction=0.05,5,212,ZFRT-SNVU-9UPF-G5XS,391,2798306785569294412,"{""fraction"": 0.05, ""pause_limit"": 16, ""share_cooldown"": 150.0, ""share_limit"": 6, ""steps"": 10, ""transverse_m"": 40.0, ""trial_radius"": 35.0}",13,2,11,1,13,0,6684762920,6684.76292,514.2125323076923,23568.814602449685,4713.762920489937,322,296,1610,296,0,65,0,0,4.7177834971989796e-07,47.74908762500854,True,0,3,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-062939-7b920828,13,8,7,0,0,15,13,,0,0
screen,3,localization_weight=0.32,5,213,QSSC-PK2Y-5BDG-27RQ,392,5244913973457697411,"{""localization_weight"": 0.32, ""max_active"": 3, ""remainder_weight"": 1.5, ""share_limit"": 6, ""trial_radius"": 50.0}",13,13,0,1,13,0,3399033122,3399.033122,261.4640863076923,13110.165606678645,2622.033121335729,120,112,600,112,0,65,0,0,4.420516148684328e-07,37.22366512499866,False,,,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-063027-be4a89d2,12,,,0,0,8,6,0,,
screen,4,share_cooldown=50,5,214,FHKG-BAKD-F7VW-S534,393,4505742264591333058,"{""fraction"": 0.15, ""pause_limit"": 16, ""share_cooldown"": 50, ""share_limit"": 6, ""steps"": 10, ""transverse_m"": 40.0, ""trial_radius"": 35.0}",14,1,13,1,14,0,6022816634,6022.816634,430.2011881428571,22374.083170299902,4474.81663405998,250,228,1250,228,0,70,0,0,4.933271924301152e-07,44.26878949999809,True,0,3,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-063104-0bdb4628,38,4,4,0,0,15,12,,0,0
screen,4,share_cooldown=800,5,215,42BE-H8Y9-EFSK-F6XP,394,3684766742934517628,"{""fraction"": 0.15, ""pause_limit"": 16, ""share_cooldown"": 800, ""share_limit"": 6, ""steps"": 10, ""transverse_m"": 40.0, ""trial_radius"": 35.0}",10,3,7,1,10,0,6084744205,6084.744205,608.4744205,20738.721041595425,4147.744208319085,319,292,1595,292,0,50,0,0,4.948190213127646e-07,46.71799645799911,True,0,3,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-063149-276f3206,7,10,2,0,1,17,7,,0,0
screen,3,localization_weight=0,5,216,BEV5-FRNH-ZSCS-DMD6,395,1520881015372915858,"{""localization_weight"": 0, ""max_active"": 3, ""remainder_weight"": 1.5, ""share_limit"": 6, ""trial_radius"": 50.0}",16,16,0,1,16,0,3046567818,3046.567818,190.410488625,11732.839081968614,2346.5678163937228,105,95,525,95,0,80,0,0,4.963904700616695e-07,37.244893125025555,False,,,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-063235-7de9c1d3,21,,,0,0,6,8,0,,
screen,3,localization_weight=0.02,5,217,Z63D-AREG-3RM6-E59R,396,5955554189891227809,"{""localization_weight"": 0.02, ""max_active"": 3, ""remainder_weight"": 1.5, ""share_limit"": 6, ""trial_radius"": 50.0}",13,13,0,1,13,0,3168699996,3168.699996,243.74615353846153,12073.49998220887,2414.699996441774,116,109,580,109,0,65,0,0,4.847449162070916e-07,38.085497375024715,False,,,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-063313-8df08659,15,,,0,0,6,9,0,,
screen,4,share_limit=2,5,218,JK6Z-DMS6-2HW4-V2HR,397,6210831404506351606,"{""fraction"": 0.15, ""pause_limit"": 16, ""share_cooldown"": 150.0, ""share_limit"": 2, ""steps"": 10, ""transverse_m"": 40.0, ""trial_radius"": 35.0}",16,4,12,1,16,0,5926808754,5926.808754,370.425547125,22574.0437603998,4514.80875207996,226,202,1130,202,0,80,0,0,4.979432048912713e-07,43.701456540991785,True,0,3,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-063351-a06602a4,15,1,2,0,0,9,11,,0,0
screen,4,fraction=0.1,5,219,HD98-JFFW-2ZZ8-U3QE,398,4372469245057391242,"{""fraction"": 0.1, ""pause_limit"": 16, ""share_cooldown"": 150.0, ""share_limit"": 6, ""steps"": 10, ""transverse_m"": 40.0, ""trial_radius"": 35.0}",13,6,7,1,13,0,6246946101,6246.946101,480.5343154615385,21264.73051229267,4252.946102458534,325,304,1625,304,0,65,0,0,4.79325620972304e-07,45.66495558299357,True,0,3,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-063435-6c0cdf43,19,10,5,0,0,11,8,,0,0
screen,3,remainder_weight=0,5,220,KKZS-J9FC-YCGD-BF5Y,399,2682815324386386368,"{""localization_weight"": 0.08, ""max_active"": 3, ""remainder_weight"": 0, ""share_limit"": 6, ""trial_radius"": 50.0}",13,13,0,1,13,1,3091540845,3091.540845,237.81083423076922,11492.7042187789,2298.54084375578,123,110,615,110,3,65,0,0,4.5956554117765336e-07,39.385237084003165,False,,,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-063521-62aa7e4f,26,,,0,0,7,8,0,,
screen,4,share_cooldown=0,5,221,JU9Q-4NU4-P5P7-RXSH,400,8943928754035869261,"{""fraction"": 0.15, ""pause_limit"": 16, ""share_cooldown"": 0, ""share_limit"": 6, ""steps"": 10, ""transverse_m"": 40.0, ""trial_radius"": 35.0}",13,10,3,1,13,0,6190778031,6190.778031,476.2136946923077,22163.89015322814,4432.778030645628,286,263,1430,263,0,65,0,0,4.96269890959411e-07,44.57638000001316,True,0,2,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-063600-2bfd29bf,12,0,4,0,0,13,11,,0,0
screen,4,trial_radius=80,5,222,NT89-WMZ4-TU33-D4AY,401,3119098364924135166,"{""fraction"": 0.15, ""pause_limit"": 16, ""share_cooldown"": 150.0, ""share_limit"": 6, ""steps"": 10, ""transverse_m"": 40.0, ""trial_radius"": 80}",13,8,5,1,13,1,6154620336,6154.620336,473.43233353846153,23503.1016854792,4700.62033709584,235,211,1175,211,3,65,0,0,4.88599667392009e-07,43.3651642499899,True,0,3,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-063645-98014e17,19,4,1,0,0,6,11,,0,0
screen,4,share_limit=0,5,223,RKQC-J9S9-ASRN-J8ZX,402,1121689773115448720,"{""fraction"": 0.15, ""pause_limit"": 16, ""share_cooldown"": 150.0, ""share_limit"": 0, ""steps"": 10, ""transverse_m"": 40.0, ""trial_radius"": 35.0}",15,4,11,1,15,0,6741091429,6741.091429,449.4060952666667,26330.457146371817,5266.091429274364,237,215,1185,215,0,75,0,0,4.958225758855406e-07,43.21237254200969,True,0,3,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-063729-5860d692,0,10,8,0,0,22,9,,0,0
screen,3,share_limit=20,5,224,YKV6-TUKP-KHAN-26CE,403,5744571636154347478,"{""localization_weight"": 0.08, ""max_active"": 3, ""remainder_weight"": 1.5, ""share_limit"": 20, ""trial_radius"": 50.0}",12,12,0,1,12,0,2814859172,2814.859172,234.57159766666666,10534.295844456781,2106.859168891356,109,103,545,103,0,60,0,0,4.93428899517312e-07,38.45465304100071,False,,,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-063812-293f45c6,15,,,0,0,4,8,0,,
screen,4,steps=1,5,225,PM74-2Z95-3S5B-BUZK,404,1831802945945617184,"{""fraction"": 0.15, ""pause_limit"": 16, ""share_cooldown"": 150.0, ""share_limit"": 6, ""steps"": 1, ""transverse_m"": 40.0, ""trial_radius"": 35.0}",15,14,1,1,15,56,6356392234,6356.392234,423.7594822666667,24151.961229034056,4830.392245806811,217,198,1085,198,168,75,0,0,4.845142740350639e-07,44.56172929200693,True,4,1,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-063851-faf3aec9,14,0,0,56,0,4,9,,4,0
screen,4,share_limit=12,5,226,5ZRZ-N4XY-T5X7-9MMW,405,2947912110422191459,"{""fraction"": 0.15, ""pause_limit"": 16, ""share_cooldown"": 150.0, ""share_limit"": 12, ""steps"": 10, ""transverse_m"": 40.0, ""trial_radius"": 35.0}",13,2,11,1,13,0,6335788366,6335.788366,487.36833584615385,23273.94186203194,4654.788372406389,273,251,1365,251,0,65,0,0,4.98738941701049e-07,44.43009208398871,True,0,3,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-063935-aa19cdea,14,3,3,0,0,14,9,,0,0
screen,4,pause_limit=8,5,227,KT6A-H85C-R84B-GATZ,406,1856841014010711956,"{""fraction"": 0.15, ""pause_limit"": 8, ""share_cooldown"": 150.0, ""share_limit"": 6, ""steps"": 10, ""transverse_m"": 40.0, ""trial_radius"": 35.0}",16,6,10,1,16,0,6577718383,6577.718383,411.1073989375,24898.59191493921,4979.718382987842,257,233,1285,233,0,80,0,0,4.845290533239677e-07,43.37894149997737,True,0,2,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-064020-eaec6f1b,18,4,4,0,0,8,9,,0,0
screen,4,steps=2,5,228,5C2V-YG7M-YMJX-X8HR,407,254491827799988501,"{""fraction"": 0.15, ""pause_limit"": 16, ""share_cooldown"": 150.0, ""share_limit"": 6, ""steps"": 2, ""transverse_m"": 40.0, ""trial_radius"": 35.0}",11,3,8,1,11,0,6522064629,6522.064629,592.9149662727273,24100.323169638992,4820.064633927798,278,257,1390,257,0,55,0,0,4.6978796319763205e-07,47.320140832976904,True,1,2,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-064104-1aa16d7a,14,0,2,0,0,4,7,,1,0
