phase,problem,setting,block,order,case_code,official_row_id,practice_run_no,parameters,sources,omni_sources,directional_sources,completed,cleared,misses,virtual_time_us,total_s,seconds_per_source,distance_m,movement_s,measurements,switches,measurement_s,switch_s,failed_clear_s,successful_clear_s,retries,duplicate_responses,max_action_ledger_error_s,wall_s,round_counters_recorded,sources_at_round_budget,maximum_rounds,end_reason,evidence,shared_known_measurements,shared_negative_cooldown_skips,source_interruptions,optical_fallback_calls,bracket_pair_cuts,active_measurements,certified_clears,omni_negative_cuts,packet_fallbacks,forced_continuations
screen,4,steps=3,1,11,EV3B-CENY-YQCW-GVCQ,190,3339758414658766380,"{""fraction"": 0.15, ""pause_limit"": 16, ""share_cooldown"": 150.0, ""share_limit"": 6, ""steps"": 3, ""transverse_m"": 40.0, ""trial_radius"": 35.0}",15,10,5,1,15,0,5827817332,5827.817332,388.52115546666664,22324.08666797841,4464.817333595682,218,198,1090,198,0,75,0,0,4.935446469289673e-07,36.87090891698608,True,0,2,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-042013-7e289c58,21,6,1,0,0,5,10,,0,0
screen,4,steps=1,1,12,GSN6-6MV4-984S-JGM6,191,7192820116109240723,"{""fraction"": 0.15, ""pause_limit"": 16, ""share_cooldown"": 150.0, ""share_limit"": 6, ""steps"": 1, ""transverse_m"": 40.0, ""trial_radius"": 35.0}",12,10,2,1,12,11,5731410844,5731.410844,477.61757033333333,20687.054224955722,4137.410844991145,254,231,1270,231,33,60,0,0,4.88211611582301e-07,37.641771541995695,True,1,1,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-042050-287f7350,13,5,0,11,0,1,8,,1,0
screen,4,share_cooldown=800,1,13,V7N4-ZRWU-RPTF-W7K5,192,3565268433055135651,"{""fraction"": 0.15, ""pause_limit"": 16, ""share_cooldown"": 800, ""share_limit"": 6, ""steps"": 10, ""transverse_m"": 40.0, ""trial_radius"": 35.0}",13,0,13,1,13,0,6224017741,6224.017741,478.77059546153845,22420.088713346857,4484.017742669372,283,260,1415,260,0,65,0,0,4.248041278742676e-07,38.65364408298046,True,0,3,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-042128-b060816f,4,47,4,0,0,17,9,,0,0
screen,3,localization_weight=0.02,1,14,FQA3-KG6T-58YN-8JSK,193,8959809989348045029,"{""localization_weight"": 0.02, ""max_active"": 3, ""remainder_weight"": 1.5, ""share_limit"": 6, ""trial_radius"": 50.0}",11,11,0,1,11,0,2857827846,2857.827846,259.8025314545455,10254.139227712836,2050.827845542567,127,117,635,117,0,55,0,0,4.887111515472498e-07,32.92833962501027,False,,,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-042207-9ba337da,22,,,0,0,5,8,0,,
screen,4,fraction=0.5,1,15,ZBVT-QDVG-UUVU-VDUD,194,9204100272960049161,"{""fraction"": 0.5, ""pause_limit"": 16, ""share_cooldown"": 150.0, ""share_limit"": 6, ""steps"": 10, ""transverse_m"": 40.0, ""trial_radius"": 35.0}",16,7,9,1,16,0,4391055100,4391.0551,274.44094375,16485.27551508665,3297.05510301733,172,154,860,154,0,80,0,0,4.992870650255554e-07,33.671891500009224,True,0,3,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-042240-4131683c,27,4,1,0,3,17,10,,0,0
screen,3,trial_radius=35,1,16,VRHJ-HGWN-6YRF-BPJU,195,7315780355767412771,"{""localization_weight"": 0.08, ""max_active"": 3, ""remainder_weight"": 1.5, ""share_limit"": 6, ""trial_radius"": 35}",12,12,0,1,12,0,3388576499,3388.576499,282.38137491666663,13132.882496665588,2626.5764993331177,118,112,590,112,0,60,0,0,4.770607233695046e-07,32.62436354201054,False,,,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-042314-63dfa83b,16,,,0,0,4,5,1,,
screen,4,share_limit=0,1,17,WHZY-KF46-B2WU-YMG7,196,7505288762891821552,"{""fraction"": 0.15, ""pause_limit"": 16, ""share_cooldown"": 150.0, ""share_limit"": 0, ""steps"": 10, ""transverse_m"": 40.0, ""trial_radius"": 35.0}",15,14,1,1,15,0,5635274421,5635.274421,375.6849614,20306.372104940583,4061.2744209881166,253,234,1265,234,0,75,0,0,4.841110836650842e-07,37.91864600000554,True,0,1,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-042347-2351c23f,0,0,3,0,0,4,13,,0,0
screen,3,max_active=2,1,18,EH4H-FW27-CVG8-4GEP,197,4133816430231573147,"{""localization_weight"": 0.08, ""max_active"": 2, ""remainder_weight"": 1.5, ""share_limit"": 6, ""trial_radius"": 50.0}",11,11,0,1,11,0,2802352374,2802.352374,254.75930672727273,10166.761848400802,2033.3523696801603,121,109,605,109,0,55,0,0,4.944509726101387e-07,32.572167083999375,False,,,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-042425-fa3ddb8b,22,,,0,0,3,5,1,,
screen,4,trial_radius=65,1,19,JMGN-EAGR-UTRY-PND6,198,9044613858247928373,"{""fraction"": 0.15, ""pause_limit"": 16, ""share_cooldown"": 150.0, ""share_limit"": 6, ""steps"": 10, ""transverse_m"": 40.0, ""trial_radius"": 65}",14,8,6,1,14,1,6144946851,6144.946851,438.92477507142854,22764.73425413099,4552.946850826198,257,234,1285,234,3,70,0,0,4.852350343753642e-07,37.90398549998645,True,0,3,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-042458-95b02c43,15,0,3,0,1,11,9,,0,0
screen,4,share_cooldown=50,1,20,EVD8-478H-3Y6C-B8K4,199,5325739711380525417,"{""fraction"": 0.15, ""pause_limit"": 16, ""share_cooldown"": 50, ""share_limit"": 6, ""steps"": 10, ""transverse_m"": 40.0, ""trial_radius"": 35.0}",12,5,7,1,12,1,5914361162,5914.361162,492.86343016666666,21741.805821007212,4348.361164201442,254,233,1270,233,3,60,0,0,4.955375771942272e-07,36.99390487500932,True,0,2,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-042536-d0648c95,19,0,3,0,0,6,9,,0,0
