active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,certified_range_scan_skips,clear_calls,cleared,commands,completion_proxy_weight,configured_angle_schedule,configured_probe_angle_deg,coupled_dispatch_model,coupled_route_plans,cpu_s,discovered_channels,dispatch_implementation,early_optical_success,early_optical_trials,expanded_sensing_candidates,failure,fixed_scan_order,forced_continuations,inconsistent_updates,inferred_negative_memory_updates,interrupted_channels,joint_route_solves,known_upper_bound_skips,maximum_source_primary_rf,maximum_source_rounds,measurements,method,missed_channels,move_m,negative_history_limit,negative_hull_inconsistent_cuts,negative_hull_updates,negative_shadow_cuts,optical_fallback_calls,optical_local_move_saved_m,optical_max_cover_radius,optical_position_adjustments,outer_priority_used,packet_fallbacks,per_source_s,policy_cleared_channels,probe_angle_cap_deg,problem,seed,service_entry_weight,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,success_history_limit,switches,total_virtual_s,transverse_target_m,transverse_width_rule,uniform_area_ranking_prior,wall_s
9,0,True,0,0,0,0,0,uniform__smooth__67,uniform__smooth,7,0,13,10,141,1.0,,,locked,17,0.023050000000000015,10,,3,6,False,,True,,0,0,,0,0,,,126,range_locked_area7,[],11526.212484760188,,,,,0,89.38185596460559,0.0,7,,,311.3242498,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,3,67,1.0,10,,1,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,,119,3113.242498,,,True,0.02401654201094061
9,0,True,0,0,0,0,0,uniform__smooth__67,uniform__smooth,7,0,13,10,141,1.0,,,locked,17,0.021069999999999922,10,cached_distance_prefix_sum,3,6,False,,True,,0,0,,0,0,,,126,fast_locked_area7,[],11526.212484760188,,,,,0,89.38185596460559,0.0,7,,,311.3242498,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,3,67,1.0,10,,1,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,,119,3113.242498,,,True,0.021070624992717057
4,0,True,0,0,0,0,0,uniform__smooth__68,uniform__smooth,6,6,15,15,127,1.0,,,locked,22,0.03469700000000009,15,,9,9,False,,True,,0,0,,0,0,,,110,range_locked_area7,[],11135.957849531067,,,,,0,31.45296669651856,0.0,6,,,197.079438,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,3,68,1.0,18,,9,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,,104,2956.19157,,,True,0.03472058300394565
4,0,True,0,0,0,0,0,uniform__smooth__68,uniform__smooth,6,6,15,15,127,1.0,,,locked,22,0.027079999999999993,15,cached_distance_prefix_sum,9,9,False,,True,,0,0,,0,0,,,110,fast_locked_area7,[],11135.957849531067,,,,,0,31.45296669651856,0.0,6,,,197.079438,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,3,68,1.0,18,,9,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,,104,2956.19157,,,True,0.027085332956630737
6,0,True,0,0,0,0,0,uniform__smooth__69,uniform__smooth,6,6,18,15,160,1.0,,,locked,22,0.03829499999999997,15,,9,12,False,,True,,0,0,,0,0,,,140,range_locked_area7,[],12163.012276889123,,,,,0,39.07166846945438,0.0,6,,,222.90683033333335,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",,3,69,1.0,35,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,,127,3343.602455,,,True,0.03838708304101601
6,0,True,0,0,0,0,0,uniform__smooth__69,uniform__smooth,6,6,18,15,160,1.0,,,locked,22,0.030916999999999972,15,cached_distance_prefix_sum,9,12,False,,True,,0,0,,0,0,,,140,fast_locked_area7,[],12163.012276889123,,,,,0,39.07166846945438,0.0,6,,,222.90683033333335,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",,3,69,1.0,35,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,,127,3343.602455,,,True,0.030932541994843632
4,0,True,0,0,0,0,0,uniform__smooth__70,uniform__smooth,5,2,11,10,138,1.0,,,locked,17,0.020785000000000053,10,,5,6,False,,True,,0,0,,0,0,,,125,range_locked_area7,[],10749.21263168744,,,,,0,19.73519309679613,0.0,5,,,294.5842523,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",,3,70,1.0,10,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,,118,2945.842523,,,True,0.020801999955438077
4,0,True,0,0,0,0,0,uniform__smooth__70,uniform__smooth,5,2,11,10,138,1.0,,,locked,17,0.019523999999999986,10,cached_distance_prefix_sum,5,6,False,,True,,0,0,,0,0,,,125,fast_locked_area7,[],10749.21263168744,,,,,0,19.73519309679613,0.0,5,,,294.5842523,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",,3,70,1.0,10,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,,118,2945.842523,,,True,0.019549541000742465
7,0,True,0,0,0,0,0,uniform__smooth__71,uniform__smooth,8,6,14,12,133,1.0,,,locked,19,0.027132000000000045,12,,4,6,False,,True,,0,0,,0,0,,,117,range_locked_area7,[],12537.740395122415,,,,,0,51.85008663110887,0.0,8,,,272.37900625000003,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",,3,71,1.0,19,,2,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,,110,3268.548075,,,True,0.027132874995004386
7,0,True,0,0,0,0,0,uniform__smooth__71,uniform__smooth,8,6,14,12,133,1.0,,,locked,19,0.023761000000000032,12,cached_distance_prefix_sum,4,6,False,,True,,0,0,,0,0,,,117,fast_locked_area7,[],12537.740395122415,,,,,0,51.85008663110887,0.0,8,,,272.37900625000003,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",,3,71,1.0,19,,2,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,,110,3268.548075,,,True,0.02376570802880451
