active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,clear_calls,cleared,commands,completion_proxy_weight,configured_angle_schedule,configured_probe_angle_deg,cpu_s,discovered_channels,early_optical_success,early_optical_trials,expanded_sensing_candidates,failure,forced_continuations,inconsistent_updates,initialization_s,interrupted_channels,joint_route_solves,known_upper_bound_skips,maximum_source_primary_rf,maximum_source_rounds,measurements,method,missed_channels,move_m,optical_fallback_calls,optical_local_move_saved_m,optical_max_cover_radius,optical_position_adjustments,outer_priority_used,packet_fallbacks,per_source_s,policy_cleared_channels,probe_angle_cap_deg,problem,seed,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,switches,total_virtual_s,transverse_target_m,transverse_width_rule,uniform_area_ranking_prior,wall_s
19,0,True,,,,,,uniform__iid__107,uniform__iid,11,11,11,143,,,,0.15834,11,,,,,,0,4.875002196058631e-05,,,,,,130,peer_layout9_proxy,[],19045.70550044166,0,,0.0,,,,420.9219182727273,"[2, 3, 5, 7, 9, 10, 11, 14, 16, 19, 20]",,3,107,,,,,,11,ordinary,9,full_coverage_and_all_discovered_cleared,116,4630.141101,,,,0.16002166602993384
8,0,True,0,0,0,0,0,uniform__iid__107,uniform__iid,8,14,11,146,,,,0.02516999999999997,11,3,6,,,,0,8.349999552592635e-05,,18,0,,,130,clearance7,[],10089.002140124034,0,69.72775043313601,0.0,8,,,259.34549336363636,"[2, 3, 5, 7, 9, 10, 11, 14, 16, 19, 20]",,3,107,16,,0,,,11,ordinary,7,full_coverage_and_all_discovered_cleared,121,2852.800427,,,,0.025189834006596357
8,0,True,0,0,0,0,0,uniform__iid__107,uniform__iid,8,14,11,146,1.0,,,0.024469999999999992,11,3,6,False,,,0,8.045899448916316e-05,,18,0,,,130,area_return1_7,[],10089.002140124034,0,69.72775043313601,0.0,8,,,259.34549336363636,"[2, 3, 5, 7, 9, 10, 11, 14, 16, 19, 20]",,3,107,16,,0,,,11,ordinary,7,full_coverage_and_all_discovered_cleared,121,2852.800427,,,True,0.02451391698559746
6,0,True,0,0,0,0,0,uniform__iid__107,uniform__iid,6,12,11,141,1.0,,,0.027470999999999968,11,5,6,True,,,0,6.9500005338341e-05,,18,0,,,127,expanded_area_return1_7,[],10225.981730880907,0,59.87706768871166,0.0,6,,,259.8360313636363,"[2, 3, 5, 7, 9, 10, 11, 14, 16, 19, 20]",,3,107,15,,0,,,11,ordinary,7,full_coverage_and_all_discovered_cleared,120,2858.196345,,,True,0.02749850001418963
20,0,True,,,,,,uniform__iid__108,uniform__iid,11,11,11,144,,,,0.17207699999999998,11,,,,,,0,7.095804903656244e-05,,,,,,131,peer_layout9_proxy,[],17130.134704750628,0,,0.0,,,,386.72972154545454,"[2, 3, 4, 5, 6, 7, 9, 13, 17, 19, 20]",,3,108,,,,,,11,ordinary,9,full_coverage_and_all_discovered_cleared,118,4254.026937,,,,0.17228483397047967
4,0,True,0,0,0,0,0,uniform__iid__108,uniform__iid,6,11,11,139,,,,0.021334000000000075,11,5,5,,,,0,6.437499541789293e-05,,18,0,,,126,clearance7,[],12054.326812495525,0,33.53101559824009,0.0,6,,,291.9877600909091,"[2, 3, 4, 5, 6, 7, 9, 13, 17, 19, 20]",,3,108,13,,1,,,11,ordinary,7,full_coverage_and_all_discovered_cleared,116,3211.865361,,,,0.021335458965040743
4,0,True,0,0,0,0,0,uniform__iid__108,uniform__iid,6,11,11,139,1.0,,,0.021458000000000088,11,5,5,False,,,0,7.033400470390916e-05,,18,0,,,126,area_return1_7,[],12054.326812495525,0,33.53101559824009,0.0,6,,,291.9877600909091,"[2, 3, 4, 5, 6, 7, 9, 13, 17, 19, 20]",,3,108,13,,1,,,11,ordinary,7,full_coverage_and_all_discovered_cleared,116,3211.865361,,,True,0.02148441696772352
4,0,True,0,0,0,0,0,uniform__iid__108,uniform__iid,5,11,11,139,1.0,,,0.026429999999999954,11,6,6,True,,,0,6.77499920129776e-05,,18,0,,,126,expanded_area_return1_7,[],12085.070211426786,0,34.6959283372446,0.0,5,,,292.5467310909091,"[2, 3, 4, 5, 6, 7, 9, 13, 17, 19, 20]",,3,108,13,,1,,,11,ordinary,7,full_coverage_and_all_discovered_cleared,116,3218.014042,,,True,0.02642987499712035
19,0,True,,,,,,uniform__iid__109,uniform__iid,12,12,12,145,,,,0.14976299999999998,12,,,,,,0,5.916703958064318e-05,,,,,,131,peer_layout9_proxy,[],19969.236783578537,0,,0.0,,,,402.4039465,"[2, 4, 5, 8, 9, 10, 14, 15, 16, 17, 19, 20]",,3,109,,,,,,12,ordinary,9,full_coverage_and_all_discovered_cleared,120,4828.847358,,,,0.14990162500180304
9,0,True,0,0,0,0,0,uniform__iid__109,uniform__iid,6,14,12,151,,,,0.02500200000000008,12,6,8,,,,0,6.512500112876296e-05,,19,0,,,135,clearance7,[],11181.307760174757,0,42.81247319854389,0.0,6,,,258.35512925,"[2, 4, 5, 8, 9, 10, 14, 15, 16, 17, 19, 20]",,3,109,27,,0,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,123,3100.261551,,,,0.025018541025929153
9,0,True,0,0,0,0,0,uniform__iid__109,uniform__iid,6,14,12,151,1.0,,,0.024879999999999902,12,6,8,False,,,0,7.362500764429569e-05,,19,0,,,135,area_return1_7,[],11181.307760174757,0,42.81247319854389,0.0,6,,,258.35512925,"[2, 4, 5, 8, 9, 10, 14, 15, 16, 17, 19, 20]",,3,109,27,,0,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,123,3100.261551,,,True,0.024884000013116747
12,0,True,0,0,0,0,0,uniform__iid__109,uniform__iid,9,17,12,163,1.0,,,0.033275000000000055,12,3,8,True,,,0,6.458302959799767e-05,,19,0,,,144,expanded_area_return1_7,[],11565.34679748048,0,56.5743981385884,0.0,9,,,270.08911333333333,"[2, 4, 5, 8, 9, 10, 14, 15, 16, 17, 19, 20]",,3,109,33,,0,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,133,3241.06936,,,True,0.03328595799393952
21,0,True,,,,,,uniform__iid__110,uniform__iid,13,13,13,130,,,,0.16735199999999995,13,,,,,,0,7.470801938325167e-05,,,,,,115,peer_layout9_proxy,[],21188.191889599304,0,,0.0,,,,383.1260293076923,"[2, 6, 7, 8, 9, 11, 12, 14, 15, 16, 17, 18, 20]",,3,110,,,,,,13,ordinary,9,full_coverage_and_all_discovered_cleared,103,4980.638381,,,,0.16739816695917398
8,0,True,0,0,0,0,0,uniform__iid__110,uniform__iid,10,15,13,164,,,,0.025243000000000126,13,3,5,,,,0,5.8416975662112236e-05,,20,0,,,147,clearance7,[],11863.019918715387,0,61.27515670200731,0.0,10,,,254.96953715384615,"[2, 6, 7, 8, 9, 11, 12, 14, 15, 16, 17, 18, 20]",,3,110,40,,6,,,13,ordinary,7,full_coverage_and_all_discovered_cleared,136,3314.603983,,,,0.025294458959251642
8,0,True,0,0,0,0,0,uniform__iid__110,uniform__iid,10,15,13,164,1.0,,,0.025374999999999925,13,3,5,False,,,0,7.154198829084635e-05,,20,0,,,147,area_return1_7,[],11863.019918715387,0,61.27515670200731,0.0,10,,,254.96953715384615,"[2, 6, 7, 8, 9, 11, 12, 14, 15, 16, 17, 18, 20]",,3,110,40,,6,,,13,ordinary,7,full_coverage_and_all_discovered_cleared,136,3314.603983,,,True,0.025396207987796515
8,0,True,0,0,0,0,0,uniform__iid__110,uniform__iid,10,15,13,159,1.0,,,0.030823000000000045,13,3,5,True,,,0,7.358303992077708e-05,,20,0,,,142,expanded_area_return1_7,[],12232.238572744833,0,60.908626802604076,0.0,10,,,258.3421319230769,"[2, 6, 7, 8, 9, 11, 12, 14, 15, 16, 17, 18, 20]",,3,110,35,,6,,,13,ordinary,7,full_coverage_and_all_discovered_cleared,131,3358.447715,,,True,0.030856791010592133
31,0,True,,,,,,uniform__iid__111,uniform__iid,16,16,16,107,,,,0.2615320000000001,16,,,,,,0,6.633403245359659e-05,,,,,,89,peer_layout9_proxy,[],21538.548669711203,0,,0.0,,,,306.544358375,"[2, 3, 4, 6, 7, 8, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20]",,3,111,,,,,,16,ordinary,6,public_upper_bound_16,72,4904.709734,,,,0.2620939170010388
5,0,True,0,0,0,0,0,uniform__iid__111,uniform__iid,7,17,16,136,,,,0.028020000000000156,16,9,10,,,,0,6.962503539398313e-05,,22,1,,,117,clearance7,[],11765.382763677335,0,51.715053328895806,0.0,7,,,195.7547845625,"[2, 3, 4, 6, 7, 8, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20]",,3,111,21,,5,,,16,ordinary,6,public_upper_bound_16,111,3132.076553,,,,0.028033459035214037
5,0,True,0,0,0,0,0,uniform__iid__111,uniform__iid,7,17,16,136,1.0,,,0.027068000000000092,16,9,10,False,,,0,7.008295506238937e-05,,22,1,,,117,area_return1_7,[],11765.382763677335,0,51.715053328895806,0.0,7,,,195.7547845625,"[2, 3, 4, 6, 7, 8, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20]",,3,111,21,,5,,,16,ordinary,6,public_upper_bound_16,111,3132.076553,,,True,0.027114500000607222
5,0,True,0,0,0,0,0,uniform__iid__111,uniform__iid,8,17,16,137,1.0,,,0.031689999999999996,16,8,9,True,,,0,6.458302959799767e-05,,22,1,,,118,expanded_area_return1_7,[],11785.854454004135,0,68.7552352465713,0.0,8,,,196.3856806875,"[2, 3, 4, 6, 7, 8, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20]",,3,111,21,,4,,,16,ordinary,6,public_upper_bound_16,112,3142.170891,,,True,0.03171345900045708
23,0,True,,,,,,uniform__iid__112,uniform__iid,13,13,13,138,,,,0.1749940000000001,13,,,,,,0,7.037498289719224e-05,,,,,,123,peer_layout9_proxy,[],20685.384667490544,0,,0.0,,,,378.8520717692308,"[1, 4, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 19]",,3,112,,,,,,13,ordinary,9,full_coverage_and_all_discovered_cleared,108,4925.076933,,,,0.17516783298924565
5,0,True,0,0,0,0,0,uniform__iid__112,uniform__iid,7,14,13,138,,,,0.025082999999999966,13,6,7,,,,0,6.791698979213834e-05,,20,0,,,122,clearance7,[],11638.66832071107,0,49.8304568009513,0.0,7,,,240.0564356153846,"[1, 4, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 19]",,3,112,16,,0,,,13,ordinary,7,full_coverage_and_all_discovered_cleared,115,3120.733663,,,,0.025093458010815084
5,0,True,0,0,0,0,0,uniform__iid__112,uniform__iid,7,14,13,138,1.0,,,0.024847000000000063,13,6,7,False,,,0,6.483402103185654e-05,,20,0,,,122,area_return1_7,[],11665.06516372316,0,49.966512487439495,0.0,7,,,240.46254100000002,"[1, 4, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 19]",,3,112,16,,0,,,13,ordinary,7,full_coverage_and_all_discovered_cleared,115,3126.013033,,,True,0.024847042048349977
5,0,True,0,0,0,0,0,uniform__iid__112,uniform__iid,7,14,13,138,1.0,,,0.02836800000000017,13,6,7,True,,,0,6.658403435721993e-05,,20,0,,,122,expanded_area_return1_7,[],11918.094678063231,0,35.573470111866854,0.0,7,,,244.3553026923077,"[1, 4, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 19]",,3,112,16,,0,,,13,ordinary,7,full_coverage_and_all_discovered_cleared,115,3176.618935,,,True,0.028390959021635354
18,0,True,,,,,,uniform__iid__113,uniform__iid,10,10,10,156,,,,0.14452200000000004,10,,,,,,0,6.179098272696137e-05,,,,,,144,peer_layout9_proxy,[],17710.57874624328,0,,0.0,,,,444.51157489999997,"[1, 2, 3, 5, 7, 8, 9, 12, 16, 19]",,3,113,,,,,,10,ordinary,9,full_coverage_and_all_discovered_cleared,133,4445.115749,,,,0.14456916699418798
7,0,True,0,0,0,0,0,uniform__iid__113,uniform__iid,6,12,10,140,,,,0.019341000000000053,10,4,6,,,,0,5.8165984228253365e-05,,17,0,,,126,clearance7,[],11972.416968120187,0,45.95902430050647,0.0,6,,,319.6483394,"[1, 2, 3, 5, 7, 8, 9, 12, 16, 19]",,3,113,10,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,116,3196.483394,,,,0.019346041954122484
7,0,True,0,0,0,0,0,uniform__iid__113,uniform__iid,6,12,10,140,1.0,,,0.019391999999999854,10,4,6,False,,,0,6.441696314141154e-05,,17,0,,,126,area_return1_7,[],11946.424870566872,0,45.39945937925115,0.0,6,,,319.1284974,"[1, 2, 3, 5, 7, 8, 9, 12, 16, 19]",,3,113,10,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,116,3191.284974,,,True,0.019402584002818912
7,0,True,0,0,0,0,0,uniform__iid__113,uniform__iid,6,12,10,139,1.0,,,0.023997999999999742,10,4,6,True,,,0,6.212497828528285e-05,,17,0,,,125,expanded_area_return1_7,[],12041.958217492333,0,48.666204065125214,0.0,6,,,320.33916450000004,"[1, 2, 3, 5, 7, 8, 9, 12, 16, 19]",,3,113,9,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,114,3203.391645,,,True,0.02399812499061227
18,0,True,,,,,,uniform__iid__114,uniform__iid,11,11,11,141,,,,0.1406010000000002,11,,,,,,0,6.154202856123447e-05,,,,,,128,peer_layout9_proxy,[],18299.659771686875,0,,0.0,,,,406.53926872727277,"[2, 3, 4, 5, 8, 9, 11, 13, 14, 18, 19]",,3,114,,,,,,11,ordinary,9,full_coverage_and_all_discovered_cleared,117,4471.931956,,,,0.1406754999770783
8,0,True,0,0,0,0,0,uniform__iid__114,uniform__iid,6,13,11,141,,,,0.023940999999999768,11,5,7,,,,0,4.850002005696297e-05,,18,0,,,126,clearance7,[],12903.70185458806,0,53.07828119126438,0.0,6,,,307.79457918181816,"[2, 3, 4, 5, 8, 9, 11, 13, 14, 18, 19]",,3,114,20,,2,,,11,ordinary,7,full_coverage_and_all_discovered_cleared,114,3385.740371,,,,0.023980250000022352
8,0,True,0,0,0,0,0,uniform__iid__114,uniform__iid,6,13,11,140,1.0,,,0.024038000000000004,11,5,7,False,,,0,6.583298090845346e-05,,18,0,,,125,area_return1_7,[],12873.97025571381,0,46.57378072768212,0.0,6,,,306.7994592727273,"[2, 3, 4, 5, 8, 9, 11, 13, 14, 18, 19]",,3,114,19,,2,,,11,ordinary,7,full_coverage_and_all_discovered_cleared,114,3374.794052,,,True,0.02404633298283443
6,0,True,0,0,0,0,0,uniform__iid__114,uniform__iid,6,12,11,136,1.0,,,0.02724100000000007,11,5,6,True,,,0,7.641699630767107e-05,,18,0,,,122,expanded_area_return1_7,[],12906.956218054305,0,35.63037311341702,0.0,6,,,305.4901132727273,"[2, 3, 4, 5, 8, 9, 11, 13, 14, 18, 19]",,3,114,18,,2,,,11,ordinary,7,full_coverage_and_all_discovered_cleared,111,3360.391246,,,True,0.027270208986010402
21,0,True,,,,,,uniform__iid__115,uniform__iid,12,12,12,137,,,,0.17294900000000002,12,,,,,,0,6.341701373457909e-05,,,,,,123,peer_layout9_proxy,[],20361.491628381627,0,,0.0,,,,404.7748608333333,"[4, 5, 6, 7, 9, 11, 12, 13, 14, 16, 18, 19]",,3,115,,,,,,12,ordinary,9,full_coverage_and_all_discovered_cleared,110,4857.29833,,,,0.173066875024233
7,0,True,0,0,0,0,0,uniform__iid__115,uniform__iid,9,14,12,134,,,,0.024020999999999848,12,3,5,,,,0,5.3916010074317455e-05,,19,0,,,118,clearance7,[],10727.622188046375,0,63.87878988647918,0.0,9,,,243.04370333333335,"[4, 5, 6, 7, 9, 11, 12, 13, 14, 16, 18, 19]",,3,115,13,,5,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,115,2916.52444,,,,0.024046249978709966
7,0,True,0,0,0,0,0,uniform__iid__115,uniform__iid,9,14,12,134,1.0,,,0.023915999999999826,12,3,5,False,,,0,6.78329961374402e-05,,19,0,,,118,area_return1_7,[],10754.153036754315,0,63.36526535710875,0.0,9,,,243.48588400000003,"[4, 5, 6, 7, 9, 11, 12, 13, 14, 16, 18, 19]",,3,115,13,,5,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,115,2921.830608,,,True,0.023922500025946647
7,0,True,0,0,0,0,0,uniform__iid__115,uniform__iid,7,14,12,134,1.0,,,0.02851399999999993,12,5,7,True,,,0,6.754195783287287e-05,,19,0,,,118,expanded_area_return1_7,[],10773.337719129484,0,45.72445532376801,0.0,7,,,243.63896191666666,"[4, 5, 6, 7, 9, 11, 12, 13, 14, 16, 18, 19]",,3,115,12,,4,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,113,2923.667543,,,True,0.028574916999787092
27,0,True,,,,,,uniform__iid__116,uniform__iid,16,16,16,113,,,,0.20843299999999987,16,,,,,,0,6.770901381969452e-05,,,,,,95,peer_layout9_proxy,[],22354.71338857717,0,,0.0,,,,319.1839174375,"[1, 3, 4, 5, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 20]",,3,116,,,,,,16,ordinary,7,public_upper_bound_16,81,5106.942679,,,,0.2085022499668412
8,0,True,0,0,0,0,0,uniform__iid__116,uniform__iid,8,19,16,123,,,,0.026349999999999874,16,8,11,,,,0,4.920799983665347e-05,,21,2,,,102,clearance7,[],13503.22947975385,0,65.4183885953462,0.0,8,,,212.10286875,"[1, 3, 4, 5, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 20]",,3,116,25,,4,,,16,ordinary,5,public_upper_bound_16,94,3393.6459,,,,0.02635724999709055
9,0,True,0,0,0,0,0,uniform__iid__116,uniform__iid,9,20,16,125,1.0,,,0.026858999999999966,16,7,11,False,,,0,6.258301436901093e-05,,21,2,,,103,area_return1_7,[],13361.187417405354,0,73.38316639000526,0.0,9,,,210.8273429375,"[1, 3, 4, 5, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 20]",,3,116,25,,4,,,16,ordinary,5,public_upper_bound_16,94,3373.237487,,,True,0.026879207987803966
7,0,True,0,0,0,0,0,uniform__iid__116,uniform__iid,11,18,16,120,1.0,,,0.031130999999999798,16,5,7,True,,,0,6.833299994468689e-05,,21,2,,,100,expanded_area_return1_7,[],13465.037713468439,0,73.90412152101632,0.0,11,,,210.750471375,"[1, 3, 4, 5, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 20]",,3,116,24,,4,,,16,ordinary,5,public_upper_bound_16,93,3372.007542,,,True,0.031146458990406245
19,0,True,,,,,,uniform__smooth__107,uniform__smooth,11,11,11,143,,,,0.15472900000000012,11,,,,,,0,6.224995013326406e-05,,,,,,130,peer_layout9_proxy,[],19100.81954560606,0,,0.0,,,,421.92399181818183,"[2, 3, 5, 7, 9, 10, 11, 14, 16, 19, 20]",,3,107,,,,,,11,ordinary,9,full_coverage_and_all_discovered_cleared,116,4641.16391,,,,0.15517154097324237
9,0,True,0,0,0,0,0,uniform__smooth__107,uniform__smooth,9,15,11,150,,,,0.02512200000000009,11,2,6,,,,0,5.6124990805983543e-05,,18,0,,,133,clearance7,[],10067.051172526852,0,79.80607032327065,0.0,9,,,260.7645667272727,"[2, 3, 5, 7, 9, 10, 11, 14, 16, 19, 20]",,3,107,18,,0,,,11,ordinary,7,full_coverage_and_all_discovered_cleared,123,2868.410234,,,,0.0251628749538213
9,0,True,0,0,0,0,0,uniform__smooth__107,uniform__smooth,9,15,11,150,1.0,,,0.025224000000000135,11,2,6,False,,,0,6.870803190395236e-05,,18,0,,,133,area_return1_7,[],10067.051172526852,0,79.80607032327065,0.0,9,,,260.7645667272727,"[2, 3, 5, 7, 9, 10, 11, 14, 16, 19, 20]",,3,107,18,,0,,,11,ordinary,7,full_coverage_and_all_discovered_cleared,123,2868.410234,,,True,0.0252414169954136
9,0,True,0,0,0,0,0,uniform__smooth__107,uniform__smooth,10,15,11,150,1.0,,,0.03041500000000008,11,1,5,True,,,0,7.200002437457442e-05,,18,0,,,133,expanded_area_return1_7,[],10246.231245558089,0,80.77595662959551,0.0,10,,,264.0223863636364,"[2, 3, 5, 7, 9, 10, 11, 14, 16, 19, 20]",,3,107,18,,0,,,11,ordinary,7,full_coverage_and_all_discovered_cleared,123,2904.24625,,,True,0.030417874979320914
20,0,True,,,,,,uniform__smooth__108,uniform__smooth,11,11,11,144,,,,0.16894800000000032,11,,,,,,0,6.52919989079237e-05,,,,,,131,peer_layout9_proxy,[],17144.15916193087,0,,0.0,,,,386.9847120909091,"[2, 3, 4, 5, 6, 7, 9, 13, 17, 19, 20]",,3,108,,,,,,11,ordinary,9,full_coverage_and_all_discovered_cleared,118,4256.831833,,,,0.16909208399010822
11,0,True,0,0,0,0,0,uniform__smooth__108,uniform__smooth,8,15,11,146,,,,0.025744999999999685,11,3,7,,,,0,7.716601248830557e-05,,18,0,,,129,clearance7,[],13535.87740288392,0,62.992006329833124,0.0,8,,,321.65231627272726,"[2, 3, 4, 5, 6, 7, 9, 13, 17, 19, 20]",,3,108,14,,0,,,11,ordinary,7,full_coverage_and_all_discovered_cleared,119,3538.175479,,,,0.025757124996744096
11,0,True,0,0,0,0,0,uniform__smooth__108,uniform__smooth,8,15,11,146,1.0,,,0.024786999999999892,11,3,7,False,,,0,7.9666031524539e-05,,18,0,,,129,area_return1_7,[],13535.87740288392,0,62.992006329833124,0.0,8,,,321.65231627272726,"[2, 3, 4, 5, 6, 7, 9, 13, 17, 19, 20]",,3,108,14,,0,,,11,ordinary,7,full_coverage_and_all_discovered_cleared,119,3538.175479,,,True,0.024865625018719584
9,0,True,0,0,0,0,0,uniform__smooth__108,uniform__smooth,6,13,11,140,1.0,,,0.029495999999999967,11,5,7,True,,,0,6.95830094628036e-05,,18,0,,,125,expanded_area_return1_7,[],13733.941854262843,0,48.95106516206876,0.0,6,,,322.52621563636364,"[2, 3, 4, 5, 6, 7, 9, 13, 17, 19, 20]",,3,108,12,,0,,,11,ordinary,7,full_coverage_and_all_discovered_cleared,115,3547.788372,,,True,0.029506541963201016
19,0,True,,,,,,uniform__smooth__109,uniform__smooth,12,12,12,145,,,,0.1591849999999999,12,,,,,,0,0.00015066599007695913,,,,,,131,peer_layout9_proxy,[],19357.39571200435,0,,0.0,,,,392.20659516666666,"[2, 4, 5, 8, 9, 10, 14, 15, 16, 17, 19, 20]",,3,109,,,,,,12,ordinary,9,full_coverage_and_all_discovered_cleared,120,4706.479142,,,,0.15936666599009186
4,0,True,0,0,0,0,0,uniform__smooth__109,uniform__smooth,6,13,12,138,,,,0.022631000000000068,12,6,7,,,,0,6.224995013326406e-05,,19,0,,,123,clearance7,[],11000.416296493473,0,34.47437319852212,0.0,6,,,249.34027158333333,"[2, 4, 5, 8, 9, 10, 14, 15, 16, 17, 19, 20]",,3,109,20,,0,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,114,2992.083259,,,,0.02264404098968953
4,0,True,0,0,0,0,0,uniform__smooth__109,uniform__smooth,6,13,12,138,1.0,,,0.022570000000000423,12,6,7,False,,,0,6.799999391660094e-05,,19,0,,,123,area_return1_7,[],11000.416296493473,0,34.47437319852212,0.0,6,,,249.34027158333333,"[2, 4, 5, 8, 9, 10, 14, 15, 16, 17, 19, 20]",,3,109,20,,0,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,114,2992.083259,,,True,0.022573666996322572
6,0,True,0,0,0,0,0,uniform__smooth__109,uniform__smooth,6,15,12,140,1.0,,,0.025803999999999938,12,6,9,True,,,0,7.250002818182111e-05,,19,0,,,123,expanded_area_return1_7,[],11051.635444603591,0,35.462870122756755,0.0,6,,,250.77725741666666,"[2, 4, 5, 8, 9, 10, 14, 15, 16, 17, 19, 20]",,3,109,18,,0,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,115,3009.327089,,,True,0.025818083027843386
21,0,True,,,,,,uniform__smooth__110,uniform__smooth,13,13,13,130,,,,0.16970799999999997,13,,,,,,0,6.662501255050302e-05,,,,,,115,peer_layout9_proxy,[],20898.646648379596,0,,0.0,,,,378.6714868461538,"[2, 6, 7, 8, 9, 11, 12, 14, 15, 16, 17, 18, 20]",,3,110,,,,,,13,ordinary,9,full_coverage_and_all_discovered_cleared,103,4922.729329,,,,0.16982075001578778
9,0,True,0,0,0,0,0,uniform__smooth__110,uniform__smooth,10,16,13,132,,,,0.026768000000000125,13,3,6,,,,0,7.837498560547829e-05,,20,0,,,114,clearance7,[],12215.271372416117,0,65.49610156430819,0.0,10,,,245.61955953846154,"[2, 6, 7, 8, 9, 11, 12, 14, 15, 16, 17, 18, 20]",,3,110,14,,1,,,13,ordinary,7,full_coverage_and_all_discovered_cleared,106,3193.054274,,,,0.026833417010493577
9,0,True,0,0,0,0,0,uniform__smooth__110,uniform__smooth,10,16,13,132,1.0,,,0.026070999999999955,13,3,6,False,,,0,7.766700582578778e-05,,20,0,,,114,area_return1_7,[],12226.657472602152,0,65.10465948275365,0.0,10,,,245.7947303076923,"[2, 6, 7, 8, 9, 11, 12, 14, 15, 16, 17, 18, 20]",,3,110,14,,1,,,13,ordinary,7,full_coverage_and_all_discovered_cleared,106,3195.331494,,,True,0.02608470799168572
8,0,True,0,0,0,0,0,uniform__smooth__110,uniform__smooth,7,15,13,130,1.0,,,0.031479000000000035,13,6,8,True,,,0,7.300003198906779e-05,,20,0,,,113,expanded_area_return1_7,[],12750.072485556308,0,57.74790158776756,0.0,7,,,253.15496146153845,"[2, 6, 7, 8, 9, 11, 12, 14, 15, 16, 17, 18, 20]",,3,110,14,,1,,,13,ordinary,7,full_coverage_and_all_discovered_cleared,105,3291.014499,,,True,0.03148462501121685
32,0,True,,,,,,uniform__smooth__111,uniform__smooth,16,16,16,108,,,,0.2647219999999999,16,,,,,,0,6.670801667496562e-05,,,,,,90,peer_layout9_proxy,[],21673.87265415341,0,,0.0,,,,308.5484084375,"[2, 3, 4, 6, 7, 8, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20]",,3,111,,,,,,16,ordinary,6,public_upper_bound_16,72,4936.774535,,,,0.26524249999783933
6,0,True,0,0,0,0,0,uniform__smooth__111,uniform__smooth,9,17,16,140,,,,0.029424999999999812,16,7,8,,,,0,6.787502206861973e-05,,22,1,,,121,clearance7,[],11782.521679311685,0,89.13653361309031,0.0,9,,,197.469020875,"[2, 3, 4, 6, 7, 8, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20]",,3,111,23,,4,,,16,ordinary,6,public_upper_bound_16,115,3159.504334,,,,0.029423666012007743
6,0,True,0,0,0,0,0,uniform__smooth__111,uniform__smooth,9,17,16,139,1.0,,,0.02940200000000015,16,7,8,False,,,0,7.89589830674231e-05,,22,1,,,120,area_return1_7,[],11749.599897319,0,78.2361047966132,0.0,9,,,196.7449985625,"[2, 3, 4, 6, 7, 8, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20]",,3,111,22,,4,,,16,ordinary,6,public_upper_bound_16,115,3147.919977,,,True,0.029417541984003037
4,0,True,0,0,0,0,0,uniform__smooth__111,uniform__smooth,7,16,16,134,1.0,,,0.03157300000000074,16,9,9,True,,,0,7.020903285592794e-05,,22,1,,,116,expanded_area_return1_7,[],11788.392519213883,0,66.96872827848127,0.0,7,,,195.5424065,"[2, 3, 4, 6, 7, 8, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20]",,3,111,20,,4,,,16,ordinary,6,public_upper_bound_16,111,3128.678504,,,True,0.031585499993525445
