active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,clear_calls,cleared,commands,completion_proxy_weight,configured_angle_schedule,configured_probe_angle_deg,cpu_s,discovered_channels,early_optical_success,early_optical_trials,expanded_sensing_candidates,failure,forced_continuations,inconsistent_updates,initialization_s,interrupted_channels,joint_route_solves,known_upper_bound_skips,maximum_source_primary_rf,maximum_source_rounds,measurements,method,missed_channels,move_m,optical_fallback_calls,optical_local_move_saved_m,optical_max_cover_radius,optical_position_adjustments,outer_priority_used,packet_fallbacks,per_source_s,policy_cleared_channels,probe_angle_cap_deg,problem,seed,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,switches,total_virtual_s,transverse_target_m,transverse_width_rule,uniform_area_ranking_prior,wall_s
8,0,True,0,0,0,0,0,clustered__adversarial-negative__109,clustered__adversarial-negative,10,18,12,121,,,,0.021030000000003213,12,2,8,,,,0,5.966599564999342e-05,,19,0,,,101,clearance7,[],9600.630845998434,0,70.0727363083622,0.0,10,,,216.59384758333331,"[2, 4, 5, 8, 9, 10, 14, 15, 16, 17, 19, 20]",,3,109,11,,3,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,96,2599.126171,,,,0.021032500022556633
8,0,True,0,0,0,0,0,clustered__adversarial-negative__109,clustered__adversarial-negative,10,18,12,121,1.0,,,0.021112999999999715,12,2,8,False,,,0,6.262504030019045e-05,,19,0,,,101,area_return1_7,[],9600.630845998434,0,70.0727363083622,0.0,10,,,216.59384758333331,"[2, 4, 5, 8, 9, 10, 14, 15, 16, 17, 19, 20]",,3,109,11,,3,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,96,2599.126171,,,True,0.02112454199232161
7,0,True,0,0,0,0,0,clustered__adversarial-negative__109,clustered__adversarial-negative,11,17,12,119,1.0,,,0.022500999999998328,12,1,6,True,,,0,6.17500045336783e-05,,19,0,,,100,expanded_area_return1_7,[],9632.885818476983,0,85.64783477240549,0.0,11,,,216.38143016666666,"[2, 4, 5, 8, 9, 10, 14, 15, 16, 17, 19, 20]",,3,109,11,,3,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,95,2596.577162,,,True,0.02251599996816367
22,0,True,,,,,,clustered__adversarial-negative__110,clustered__adversarial-negative,13,13,13,123,,,,0.18412399999999707,13,,,,,,0,5.795905599370599e-05,,,,,,108,peer_layout9_proxy,[],18986.54748955406,0,,0.0,,,,345.7161152307692,"[2, 6, 7, 8, 9, 11, 12, 14, 15, 16, 17, 18, 20]",,3,110,,,,,,13,ordinary,9,full_coverage_and_all_discovered_cleared,92,4494.309498,,,,0.1842136249761097
4,0,True,0,0,0,0,0,clustered__adversarial-negative__110,clustered__adversarial-negative,5,15,13,126,,,,0.029578999999998246,13,8,10,,,,0,5.483301356434822e-05,,20,0,,,109,clearance7,[],10385.429390378724,0,49.18095623792598,0.0,5,,,214.92968276923077,"[2, 6, 7, 8, 9, 11, 12, 14, 15, 16, 17, 18, 20]",,3,110,30,,0,,,13,ordinary,7,full_coverage_and_all_discovered_cleared,101,2794.085876,,,,0.029588542005512863
4,0,True,0,0,0,0,0,clustered__adversarial-negative__110,clustered__adversarial-negative,5,15,13,126,1.0,,,0.02950400000000286,13,8,10,False,,,0,6.741599645465612e-05,,20,0,,,109,area_return1_7,[],10385.429390378724,0,49.18095623792598,0.0,5,,,214.92968276923077,"[2, 6, 7, 8, 9, 11, 12, 14, 15, 16, 17, 18, 20]",,3,110,30,,0,,,13,ordinary,7,full_coverage_and_all_discovered_cleared,101,2794.085876,,,True,0.02954675001092255
4,0,True,0,0,0,0,0,clustered__adversarial-negative__110,clustered__adversarial-negative,5,15,13,124,1.0,,,0.030147999999996955,13,8,10,True,,,0,6.587500683963299e-05,,20,0,,,107,expanded_area_return1_7,[],10454.044047135025,0,41.57259961056208,0.0,5,,,215.06221584615383,"[2, 6, 7, 8, 9, 11, 12, 14, 15, 16, 17, 18, 20]",,3,110,29,,1,,,13,ordinary,7,full_coverage_and_all_discovered_cleared,99,2795.808806,,,True,0.030159791989717633
30,0,True,,,,,,clustered__adversarial-negative__111,clustered__adversarial-negative,16,16,16,116,,,,0.2601970000000051,16,,,,,,0,6.066600326448679e-05,,,,,,98,peer_layout9_proxy,[],23101.31919097377,0,,0.0,,,,329.26649,"[2, 3, 4, 6, 7, 8, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20]",,3,111,,,,,,16,ordinary,9,full_coverage_and_all_discovered_cleared,78,5268.26384,,,,0.2603018750087358
6,0,True,0,0,0,0,0,clustered__adversarial-negative__111,clustered__adversarial-negative,12,22,16,165,,,,0.035473000000003196,16,4,10,,,,0,0.00016783399041742086,,22,1,,,141,clearance7,[],8238.136237945419,0,102.779186946166,0.0,12,,,161.5392028125,"[2, 3, 4, 6, 7, 8, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20]",,3,111,39,,0,,,16,ordinary,6,public_upper_bound_16,134,2584.627245,,,,0.035532667010556906
6,0,True,0,0,0,0,0,clustered__adversarial-negative__111,clustered__adversarial-negative,12,22,16,165,1.0,,,0.035293000000002905,16,4,10,False,,,0,7.983401883393526e-05,,22,1,,,141,area_return1_7,[],8238.136237945419,0,102.779186946166,0.0,12,,,161.5392028125,"[2, 3, 4, 6, 7, 8, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20]",,3,111,39,,0,,,16,ordinary,6,public_upper_bound_16,134,2584.627245,,,True,0.0353025000076741
6,0,True,0,0,0,0,0,clustered__adversarial-negative__111,clustered__adversarial-negative,12,22,16,165,1.0,,,0.03543700000000172,16,4,10,True,,,0,7.616699440404773e-05,,22,1,,,141,expanded_area_return1_7,[],8238.136237945419,0,102.779186946166,0.0,12,,,161.5392028125,"[2, 3, 4, 6, 7, 8, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20]",,3,111,39,,0,,,16,ordinary,6,public_upper_bound_16,134,2584.627245,,,True,0.035457834019325674
22,0,True,,,,,,clustered__adversarial-negative__112,clustered__adversarial-negative,13,13,13,133,,,,0.1836449999999985,13,,,,,,0,8.066603913903236e-05,,,,,,118,peer_layout9_proxy,[],18672.667605347695,0,,0.0,,,,345.65642484615387,"[1, 4, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 19]",,3,112,,,,,,13,ordinary,9,full_coverage_and_all_discovered_cleared,104,4493.533523,,,,0.1837961669662036
8,0,True,0,0,0,0,0,clustered__adversarial-negative__112,clustered__adversarial-negative,10,19,13,145,,,,0.02327600000000274,13,3,9,,,,0,6.624998059123755e-05,,20,0,,,124,clearance7,[],10351.412296296632,0,87.81145201781689,0.0,10,,,222.25249699999998,"[1, 4, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 19]",,3,112,18,,1,,,13,ordinary,7,full_coverage_and_all_discovered_cleared,116,2889.282461,,,,0.02328733296599239
8,0,True,0,0,0,0,0,clustered__adversarial-negative__112,clustered__adversarial-negative,10,19,13,145,1.0,,,0.023076000000003205,13,3,9,False,,,0,6.791698979213834e-05,,20,0,,,124,area_return1_7,[],10351.412296296632,0,87.81145201781689,0.0,10,,,222.25249699999998,"[1, 4, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 19]",,3,112,18,,1,,,13,ordinary,7,full_coverage_and_all_discovered_cleared,116,2889.282461,,,True,0.02307820797432214
7,0,True,0,0,0,0,0,clustered__adversarial-negative__112,clustered__adversarial-negative,10,18,13,141,1.0,,,0.024002000000002965,13,3,8,True,,,0,6.920902524143457e-05,,20,0,,,121,expanded_area_return1_7,[],10324.18512322968,0,91.68404419911721,0.0,10,,,220.1413096153846,"[1, 4, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 19]",,3,112,16,,1,,,13,ordinary,7,full_coverage_and_all_discovered_cleared,112,2861.837025,,,True,0.024007875006645918
21,0,True,,,,,,clustered__adversarial-negative__113,clustered__adversarial-negative,10,10,10,142,,,,0.1727990000000048,10,,,,,,0,0.0001663750153966248,,,,,,130,peer_layout9_proxy,[],18810.261963708457,0,,0.0,,,,457.50523910000004,"[1, 2, 3, 5, 7, 8, 9, 12, 16, 19]",,3,113,,,,,,10,ordinary,9,full_coverage_and_all_discovered_cleared,113,4575.052391,,,,0.17290404200321063
5,0,True,0,0,0,0,0,clustered__adversarial-negative__113,clustered__adversarial-negative,7,14,10,164,,,,0.02540700000000129,10,3,7,,,,0,6.0541031416505575e-05,,17,0,,,148,clearance7,[],8707.432390920678,0,68.99181025098666,0.0,7,,,268.3486478,"[1, 2, 3, 5, 7, 8, 9, 12, 16, 19]",,3,113,14,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,140,2683.486478,,,,0.025426207983400673
5,0,True,0,0,0,0,0,clustered__adversarial-negative__113,clustered__adversarial-negative,7,14,10,164,1.0,,,0.025343999999996925,10,3,7,False,,,0,7.35839712433517e-05,,17,0,,,148,area_return1_7,[],8707.432390920678,0,68.99181025098666,0.0,7,,,268.3486478,"[1, 2, 3, 5, 7, 8, 9, 12, 16, 19]",,3,113,14,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,140,2683.486478,,,True,0.02534549997653812
5,0,True,0,0,0,0,0,clustered__adversarial-negative__113,clustered__adversarial-negative,7,14,10,164,1.0,,,0.026226999999998668,10,3,7,True,,,0,7.79579859226942e-05,,17,0,,,148,expanded_area_return1_7,[],8725.710143775428,0,70.855355663817,0.0,7,,,268.71420290000003,"[1, 2, 3, 5, 7, 8, 9, 12, 16, 19]",,3,113,14,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,140,2687.142029,,,True,0.02626020897878334
22,0,True,,,,,,clustered__adversarial-negative__114,clustered__adversarial-negative,11,11,11,162,,,,0.20175199999999904,11,,,,,,0,6.987503729760647e-05,,,,,,149,peer_layout9_proxy,[],18685.31309628482,0,,0.0,,,,424.5511471818182,"[2, 3, 4, 5, 8, 9, 11, 13, 14, 18, 19]",,3,114,,,,,,11,ordinary,9,full_coverage_and_all_discovered_cleared,133,4670.062619,,,,0.20192641695030034
6,0,True,0,0,0,0,0,clustered__adversarial-negative__114,clustered__adversarial-negative,9,14,11,157,,,,0.019894000000000744,11,2,5,,,,0,7.050001295283437e-05,,18,0,,,141,clearance7,[],9282.259759116965,0,61.8238359883229,0.0,9,,,250.49563190909092,"[2, 3, 4, 5, 8, 9, 11, 13, 14, 18, 19]",,3,114,17,,0,,,11,ordinary,7,full_coverage_and_all_discovered_cleared,130,2755.451951,,,,0.019902792002540082
6,0,True,0,0,0,0,0,clustered__adversarial-negative__114,clustered__adversarial-negative,9,14,11,157,1.0,,,0.01965699999999515,11,2,5,False,,,0,6.90409797243774e-05,,18,0,,,141,area_return1_7,[],9282.259759116965,0,61.8238359883229,0.0,9,,,250.49563190909092,"[2, 3, 4, 5, 8, 9, 11, 13, 14, 18, 19]",,3,114,17,,0,,,11,ordinary,7,full_coverage_and_all_discovered_cleared,130,2755.451951,,,True,0.019663583021610975
5,0,True,0,0,0,0,0,clustered__adversarial-negative__114,clustered__adversarial-negative,10,13,11,154,1.0,,,0.022159999999999513,11,1,3,True,,,0,7.00420350767672e-05,,18,0,,,139,expanded_area_return1_7,[],9326.278272136307,0,88.23794498973217,0.0,10,,,249.9323321818182,"[2, 3, 4, 5, 8, 9, 11, 13, 14, 18, 19]",,3,114,16,,0,,,11,ordinary,7,full_coverage_and_all_discovered_cleared,128,2749.255654,,,True,0.022163666028063744
19,0,True,,,,,,clustered__adversarial-negative__115,clustered__adversarial-negative,12,12,12,169,,,,0.15724699999999814,12,,,,,,0,6.975000724196434e-05,,,,,,155,peer_layout9_proxy,[],17337.34295957283,0,,0.0,,,,370.4557160833333,"[4, 5, 6, 7, 9, 11, 12, 13, 14, 16, 18, 19]",,3,115,,,,,,12,ordinary,9,full_coverage_and_all_discovered_cleared,143,4445.468593,,,,0.15739599999506027
9,0,True,0,0,0,0,0,clustered__adversarial-negative__115,clustered__adversarial-negative,10,18,12,152,,,,0.02336500000000541,12,2,8,,,,0,7.36669753678143e-05,,19,0,,,132,clearance7,[],10335.12542206658,0,81.55874022537643,0.0,10,,,244.2520905,"[4, 5, 6, 7, 9, 11, 12, 13, 14, 16, 18, 19]",,3,115,24,,0,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,126,2931.025086,,,,0.023376917000859976
