active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,certified_range_scan_skips,clear_calls,cleared,commands,configured_angle_schedule,configured_probe_angle_deg,coupled_dispatch_model,coupled_route_plans,cpu_s,discovered_channels,dispatch_implementation,early_optical_success,early_optical_trials,failure,fixed_scan_order,forced_continuations,historical_anchor_mode,historical_batch_screens,historical_cache_evictions,historical_exact_clip_calls,historical_inconsistent_cuts,historical_negative_limit,historical_pair_checks,historical_pair_cuts,historical_pair_updates,inconsistent_updates,inferred_negative_memory_updates,interrupted_channels,joint_route_solves,known_upper_bound_skips,maximum_source_primary_rf,maximum_source_rounds,measurements,method,missed_channels,move_m,optical_fallback_calls,optical_max_cover_radius,outer_priority_used,packet_fallbacks,per_source_s,policy_cleared_channels,probe_angle_cap_deg,problem,seed,service_entry_weight,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,switches,total_virtual_s,transverse_target_m,transverse_width_rule,wall_s
19,2,True,0,19,1,1,0,edge__iid__68,edge__iid,14,3,15,15,298,bounded_transverse_width,,base,0,0.05616100000000124,15,,0,0,,False,0,first,,0,,0,8,1046,0,0,0,3,6,54,0,3,2,281,history_first8_width015,[],24721.394031211723,0,0.0,False,0,445.55192040000003,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",30.0,4,68,1.0,13,3,0,6,32,15,ordinary,22,full_coverage_and_all_discovered_cleared,259,6683.278806,40.0,constant,0.05617791699478403
19,2,True,0,19,1,1,0,edge__iid__68,edge__iid,14,3,15,15,298,bounded_transverse_width,,base,0,0.05620200000000075,15,,0,0,,False,0,recent,,0,,0,8,1046,0,0,0,3,6,54,0,3,2,281,history_recent8_width015,[],24721.394031211723,0,0.0,False,0,445.55192040000003,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",30.0,4,68,1.0,13,3,0,6,32,15,ordinary,22,full_coverage_and_all_discovered_cleared,259,6683.278806,40.0,constant,0.05627241695765406
19,2,True,0,19,1,1,0,edge__iid__68,edge__iid,14,3,15,15,298,bounded_transverse_width,,base,0,0.0762710000000002,15,,0,0,,False,0,ends,,0,,0,16,3508,2,1,0,3,6,54,0,3,2,281,history_ends16_width015,[],24713.755851839025,0,0.0,False,0,445.4500779333333,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",30.0,4,68,1.0,13,3,0,6,32,15,ordinary,22,full_coverage_and_all_discovered_cleared,259,6681.751169,40.0,constant,0.07630729203810915
15,1,True,0,15,4,5,0,edge__iid__68,edge__iid,11,4,16,15,302,bounded_transverse_width,,arc,51,0.06307200000000002,15,cached_distance_prefix_sum,0,0,,False,0,ends,,0,,0,8,1747,4,1,0,4,5,0,0,2,2,284,history_arc8_width015,[],22232.426659650457,0,0.0,False,0,413.6323554666667,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",30.0,4,68,0.5,17,2,3,5,29,15,ordinary,22,full_coverage_and_all_discovered_cleared,260,6204.485332,40.0,constant,0.06309212499763817
17,4,True,0,17,3,3,1,edge__iid__68,edge__iid,12,41,15,15,284,bounded_transverse_width,,locked,51,0.06489499999999992,15,cached_distance_prefix_sum,0,0,,True,0,ends,,0,,0,8,1455,5,3,0,41,5,0,0,5,4,267,history_locked8_width015,[],21186.316657312076,0,0.0,False,0,392.6175555333333,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",30.0,4,68,1.0,11,19,10,6,29,15,ordinary,22,full_coverage_and_all_discovered_cleared,242,5889.263333,40.0,constant,0.06495883397292346
19,2,True,0,19,1,1,0,edge__iid__68,edge__iid,14,3,15,15,298,bounded_transverse_width,,base,0,0.04847000000000001,15,,0,0,,False,0,first,1019,0,14,0,8,1046,0,0,0,3,6,54,0,3,2,281,batch_history_first8_width015,[],24721.394031211723,0,0.0,False,0,445.55192040000003,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",30.0,4,68,1.0,13,3,0,6,32,15,ordinary,22,full_coverage_and_all_discovered_cleared,259,6683.278806,40.0,constant,0.04856024996843189
19,2,True,0,19,1,1,0,edge__iid__68,edge__iid,14,3,15,15,298,bounded_transverse_width,,base,0,0.052045999999998926,15,,0,0,,False,0,recent,1019,0,20,0,8,1046,0,0,0,3,6,54,0,3,2,281,batch_history_recent8_width015,[],24721.394031211723,0,0.0,False,0,445.55192040000003,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",30.0,4,68,1.0,13,3,0,6,32,15,ordinary,22,full_coverage_and_all_discovered_cleared,259,6683.278806,40.0,constant,0.05206316598923877
19,2,True,0,19,1,1,0,edge__iid__68,edge__iid,14,3,15,15,298,bounded_transverse_width,,base,0,0.06336899999999979,15,,0,0,,False,0,ends,3518,0,11,0,16,3508,2,1,0,3,6,54,0,3,2,281,batch_history_ends16_width015,[],24713.755851839025,0,0.0,False,0,445.4500779333333,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",30.0,4,68,1.0,13,3,0,6,32,15,ordinary,22,full_coverage_and_all_discovered_cleared,259,6681.751169,40.0,constant,0.06342249998124316
15,1,True,0,15,4,5,0,edge__iid__68,edge__iid,11,4,16,15,302,bounded_transverse_width,,arc,51,0.05695700000000059,15,cached_distance_prefix_sum,0,0,,False,0,ends,1755,0,15,0,8,1747,4,1,0,4,5,0,0,2,2,284,batch_history_arc8_width015,[],22232.426659650457,0,0.0,False,0,413.6323554666667,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",30.0,4,68,0.5,17,2,3,5,29,15,ordinary,22,full_coverage_and_all_discovered_cleared,260,6204.485332,40.0,constant,0.05703666596673429
17,4,True,0,17,3,3,1,edge__iid__68,edge__iid,12,41,15,15,284,bounded_transverse_width,,locked,51,0.06006600000000084,15,cached_distance_prefix_sum,0,0,,True,0,ends,1432,0,36,0,8,1455,5,3,0,41,5,0,0,5,4,267,batch_history_locked8_width015,[],21186.316657312076,0,0.0,False,0,392.6175555333333,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",30.0,4,68,1.0,11,19,10,6,29,15,ordinary,22,full_coverage_and_all_discovered_cleared,242,5889.263333,40.0,constant,0.06014041701564565
13,1,True,0,13,4,4,0,edge__iid__69,edge__iid,11,21,15,15,294,bounded_transverse_width,,base,0,0.0538299999999996,15,,0,0,,False,0,first,,0,,0,8,1219,0,0,0,21,4,49,0,3,3,277,history_first8_width015,[],23610.332054407605,0,0.0,False,0,428.87109373333334,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",30.0,4,69,1.0,15,3,5,5,27,15,ordinary,22,full_coverage_and_all_discovered_cleared,251,6433.066406,40.0,constant,0.05389424995519221
13,1,True,0,13,4,4,0,edge__iid__69,edge__iid,11,21,15,15,294,bounded_transverse_width,,base,0,0.05805300000000102,15,,0,0,,False,0,recent,,0,,0,8,1219,0,0,0,21,4,49,0,3,3,277,history_recent8_width015,[],23610.332054407605,0,0.0,False,0,428.87109373333334,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",30.0,4,69,1.0,15,3,5,5,27,15,ordinary,22,full_coverage_and_all_discovered_cleared,251,6433.066406,40.0,constant,0.058089208032470196
13,1,True,0,13,4,4,0,edge__iid__69,edge__iid,11,21,15,15,294,bounded_transverse_width,,base,0,0.08091500000000096,15,,0,0,,False,0,ends,,0,,0,16,4064,0,0,0,21,4,49,0,3,3,277,history_ends16_width015,[],23610.332054407605,0,0.0,False,0,428.87109373333334,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",30.0,4,69,1.0,15,3,5,5,27,15,ordinary,22,full_coverage_and_all_discovered_cleared,251,6433.066406,40.0,constant,0.08099229203071445
25,3,True,0,25,4,5,1,edge__iid__69,edge__iid,11,3,16,15,305,bounded_transverse_width,,arc,60,0.0759609999999995,15,cached_distance_prefix_sum,0,0,,False,0,ends,,0,,0,8,1813,2,2,0,3,9,0,0,4,3,287,history_arc8_width015,[],24057.731588688537,0,0.0,False,0,439.0364212,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",30.0,4,69,0.5,11,2,13,9,38,15,ordinary,22,full_coverage_and_all_discovered_cleared,261,6585.546318,40.0,constant,0.07603195804404095
10,2,True,0,10,2,2,0,edge__iid__69,edge__iid,13,57,15,15,254,bounded_transverse_width,,locked,45,0.056572000000000955,15,cached_distance_prefix_sum,0,0,,True,0,ends,,0,,0,8,1181,0,0,0,57,3,0,0,3,2,237,history_locked8_width015,[],20519.863382280826,0,0.0,False,0,371.79817833333334,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",30.0,4,69,1.0,16,7,39,3,23,15,ordinary,22,full_coverage_and_all_discovered_cleared,213,5576.972675,40.0,constant,0.056615499954205006
13,1,True,0,13,4,4,0,edge__iid__69,edge__iid,11,21,15,15,294,bounded_transverse_width,,base,0,0.04928599999999861,15,,0,0,,False,0,first,1190,0,29,0,8,1219,0,0,0,21,4,49,0,3,3,277,batch_history_first8_width015,[],23610.332054407605,0,0.0,False,0,428.87109373333334,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",30.0,4,69,1.0,15,3,5,5,27,15,ordinary,22,full_coverage_and_all_discovered_cleared,251,6433.066406,40.0,constant,0.0493606660165824
13,1,True,0,13,4,4,0,edge__iid__69,edge__iid,11,21,15,15,294,bounded_transverse_width,,base,0,0.05352599999999974,15,,0,0,,False,0,recent,1190,0,29,0,8,1219,0,0,0,21,4,49,0,3,3,277,batch_history_recent8_width015,[],23610.332054407605,0,0.0,False,0,428.87109373333334,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",30.0,4,69,1.0,15,3,5,5,27,15,ordinary,22,full_coverage_and_all_discovered_cleared,251,6433.066406,40.0,constant,0.05354187497869134
13,1,True,0,13,4,4,0,edge__iid__69,edge__iid,11,21,15,15,294,bounded_transverse_width,,base,0,0.06603400000000015,15,,0,0,,False,0,ends,4017,0,23,0,16,4064,0,0,0,21,4,49,0,3,3,277,batch_history_ends16_width015,[],23610.332054407605,0,0.0,False,0,428.87109373333334,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",30.0,4,69,1.0,15,3,5,5,27,15,ordinary,22,full_coverage_and_all_discovered_cleared,251,6433.066406,40.0,constant,0.06611500005237758
25,3,True,0,25,4,5,1,edge__iid__69,edge__iid,11,3,16,15,305,bounded_transverse_width,,arc,60,0.06889099999999893,15,cached_distance_prefix_sum,0,0,,False,0,ends,1807,0,31,0,8,1813,2,2,0,3,9,0,0,4,3,287,batch_history_arc8_width015,[],24057.731588688537,0,0.0,False,0,439.0364212,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",30.0,4,69,0.5,11,2,13,9,38,15,ordinary,22,full_coverage_and_all_discovered_cleared,261,6585.546318,40.0,constant,0.0689074580441229
10,2,True,0,10,2,2,0,edge__iid__69,edge__iid,13,57,15,15,254,bounded_transverse_width,,locked,45,0.05195900000000009,15,cached_distance_prefix_sum,0,0,,True,0,ends,1149,0,26,0,8,1181,0,0,0,57,3,0,0,3,2,237,batch_history_locked8_width015,[],20519.863382280826,0,0.0,False,0,371.79817833333334,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",30.0,4,69,1.0,16,7,39,3,23,15,ordinary,22,full_coverage_and_all_discovered_cleared,213,5576.972675,40.0,constant,0.05200345901539549
11,2,True,0,11,2,3,0,edge__iid__70,edge__iid,8,0,11,10,336,bounded_transverse_width,,base,0,0.0369969999999995,10,,0,0,,False,0,first,,0,,0,8,732,3,2,0,0,2,41,0,3,3,323,history_first8_width015,[],20078.672262852782,0,0.0,False,0,598.2734452,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",30.0,4,70,1.0,11,2,4,2,19,10,ordinary,22,full_coverage_and_all_discovered_cleared,299,5982.734452,40.0,constant,0.03701224998803809
11,2,True,0,11,2,3,0,edge__iid__70,edge__iid,8,0,11,10,336,bounded_transverse_width,,base,0,0.04034599999999955,10,,0,0,,False,0,recent,,0,,0,8,732,3,2,0,0,2,41,0,3,3,323,history_recent8_width015,[],20078.672262852782,0,0.0,False,0,598.2734452,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",30.0,4,70,1.0,11,2,4,2,19,10,ordinary,22,full_coverage_and_all_discovered_cleared,299,5982.734452,40.0,constant,0.04035154200391844
11,2,True,0,11,2,3,0,edge__iid__70,edge__iid,8,0,11,10,336,bounded_transverse_width,,base,0,0.045996999999999844,10,,0,0,,False,0,ends,,0,,0,16,1467,3,2,0,0,2,41,0,3,3,323,history_ends16_width015,[],20078.672262852782,0,0.0,False,0,598.2734452,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",30.0,4,70,1.0,11,2,4,2,19,10,ordinary,22,full_coverage_and_all_discovered_cleared,299,5982.734452,40.0,constant,0.04605491703841835
14,2,True,0,14,3,3,0,edge__iid__70,edge__iid,7,0,10,10,334,bounded_transverse_width,,arc,44,0.044748999999999484,10,cached_distance_prefix_sum,0,0,,False,0,ends,,0,,0,8,1182,3,2,0,0,4,0,0,3,3,322,history_arc8_width015,[],19165.581839514034,0,0.0,False,0,579.2116368,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",30.0,4,70,0.5,7,2,0,4,22,10,ordinary,22,full_coverage_and_all_discovered_cleared,299,5792.116368,40.0,constant,0.04477879201294854
7,0,True,0,7,1,1,0,edge__iid__70,edge__iid,9,52,10,10,341,bounded_transverse_width,,locked,39,0.044302000000000064,10,cached_distance_prefix_sum,0,0,,True,0,ends,,0,,0,8,829,0,0,0,52,2,0,0,3,3,329,history_locked8_width015,[],19010.83662954438,0,0.0,False,0,580.4167325999999,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",30.0,4,70,1.0,6,9,2,2,17,10,ordinary,22,full_coverage_and_all_discovered_cleared,307,5804.167326,40.0,constant,0.04431504098465666
11,2,True,0,11,2,3,0,edge__iid__70,edge__iid,8,0,11,10,336,bounded_transverse_width,,base,0,0.03513900000000092,10,,0,0,,False,0,first,782,0,6,0,8,732,3,2,0,0,2,41,0,3,3,323,batch_history_first8_width015,[],20078.672262852782,0,0.0,False,0,598.2734452,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",30.0,4,70,1.0,11,2,4,2,19,10,ordinary,22,full_coverage_and_all_discovered_cleared,299,5982.734452,40.0,constant,0.03519337502075359
11,2,True,0,11,2,3,0,edge__iid__70,edge__iid,8,0,11,10,336,bounded_transverse_width,,base,0,0.037644999999999484,10,,0,0,,False,0,recent,782,0,5,0,8,732,3,2,0,0,2,41,0,3,3,323,batch_history_recent8_width015,[],20078.672262852782,0,0.0,False,0,598.2734452,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",30.0,4,70,1.0,11,2,4,2,19,10,ordinary,22,full_coverage_and_all_discovered_cleared,299,5982.734452,40.0,constant,0.0376572500099428
11,2,True,0,11,2,3,0,edge__iid__70,edge__iid,8,0,11,10,336,bounded_transverse_width,,base,0,0.0423940000000016,10,,0,0,,False,0,ends,1503,0,6,0,16,1467,3,2,0,0,2,41,0,3,3,323,batch_history_ends16_width015,[],20078.672262852782,0,0.0,False,0,598.2734452,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",30.0,4,70,1.0,11,2,4,2,19,10,ordinary,22,full_coverage_and_all_discovered_cleared,299,5982.734452,40.0,constant,0.04241383302723989
14,2,True,0,14,3,3,0,edge__iid__70,edge__iid,7,0,10,10,334,bounded_transverse_width,,arc,44,0.04098300000000066,10,cached_distance_prefix_sum,0,0,,False,0,ends,1229,0,8,0,8,1182,3,2,0,0,4,0,0,3,3,322,batch_history_arc8_width015,[],19165.581839514034,0,0.0,False,0,579.2116368,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",30.0,4,70,0.5,7,2,0,4,22,10,ordinary,22,full_coverage_and_all_discovered_cleared,299,5792.116368,40.0,constant,0.04099249996943399
7,0,True,0,7,1,1,0,edge__iid__70,edge__iid,9,52,10,10,341,bounded_transverse_width,,locked,39,0.04162700000000008,10,cached_distance_prefix_sum,0,0,,True,0,ends,808,0,19,0,8,829,0,0,0,52,2,0,0,3,3,329,batch_history_locked8_width015,[],19010.83662954438,0,0.0,False,0,580.4167325999999,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",30.0,4,70,1.0,6,9,2,2,17,10,ordinary,22,full_coverage_and_all_discovered_cleared,307,5804.167326,40.0,constant,0.0416736250044778
13,0,True,0,13,1,1,0,edge__iid__71,edge__iid,11,17,12,12,334,bounded_transverse_width,,base,0,0.044296000000001,12,,0,0,,False,0,first,,0,,0,8,1041,4,2,0,17,0,47,0,3,3,320,history_first8_width015,[],21702.570025012163,0,0.0,False,0,524.626167,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",30.0,4,71,1.0,9,3,0,0,25,12,ordinary,22,full_coverage_and_all_discovered_cleared,295,6295.514004,40.0,constant,0.04431875003501773
13,0,True,0,13,1,1,0,edge__iid__71,edge__iid,11,17,12,12,334,bounded_transverse_width,,base,0,0.04815100000000072,12,,0,0,,False,0,recent,,0,,0,8,1041,4,2,0,17,0,47,0,3,3,320,history_recent8_width015,[],21702.570025012163,0,0.0,False,0,524.626167,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",30.0,4,71,1.0,9,3,0,0,25,12,ordinary,22,full_coverage_and_all_discovered_cleared,295,6295.514004,40.0,constant,0.0481667080312036
13,0,True,0,13,1,1,0,edge__iid__71,edge__iid,11,17,12,12,334,bounded_transverse_width,,base,0,0.06718500000000027,12,,0,0,,False,0,ends,,0,,0,16,3444,8,6,0,17,0,47,0,3,3,320,history_ends16_width015,[],21702.570025012163,0,0.0,False,0,524.626167,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",30.0,4,71,1.0,9,3,0,0,25,12,ordinary,22,full_coverage_and_all_discovered_cleared,295,6295.514004,40.0,constant,0.06725416705012321
13,0,True,0,13,1,1,0,edge__iid__71,edge__iid,11,17,12,12,334,bounded_transverse_width,,arc,47,0.054179999999998785,12,cached_distance_prefix_sum,0,0,,False,0,ends,,0,,0,8,1607,4,2,0,17,0,0,0,3,3,320,history_arc8_width015,[],21702.570025012163,0,0.0,False,0,524.626167,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",30.0,4,71,0.5,9,3,0,0,25,12,ordinary,22,full_coverage_and_all_discovered_cleared,295,6295.514004,40.0,constant,0.054236542026046664
17,4,True,0,17,0,0,1,edge__iid__71,edge__iid,12,40,12,12,309,bounded_transverse_width,,locked,48,0.05000000000000071,12,cached_distance_prefix_sum,0,0,,True,0,ends,,0,,0,8,937,5,3,0,40,4,0,0,4,3,295,history_locked8_width015,[],20957.278290003873,0,0.0,False,0,499.78797149999997,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",30.0,4,71,1.0,5,11,12,4,26,12,ordinary,22,full_coverage_and_all_discovered_cleared,271,5997.455658,40.0,constant,0.05004666600143537
13,0,True,0,13,1,1,0,edge__iid__71,edge__iid,11,17,12,12,334,bounded_transverse_width,,base,0,0.03995300000000057,12,,0,0,,False,0,first,1033,0,16,0,8,1041,4,2,0,17,0,47,0,3,3,320,batch_history_first8_width015,[],21702.570025012163,0,0.0,False,0,524.626167,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",30.0,4,71,1.0,9,3,0,0,25,12,ordinary,22,full_coverage_and_all_discovered_cleared,295,6295.514004,40.0,constant,0.03998654102906585
13,0,True,0,13,1,1,0,edge__iid__71,edge__iid,11,17,12,12,334,bounded_transverse_width,,base,0,0.04419799999999974,12,,0,0,,False,0,recent,1041,0,16,0,8,1041,4,2,0,17,0,47,0,3,3,320,batch_history_recent8_width015,[],21702.570025012163,0,0.0,False,0,524.626167,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",30.0,4,71,1.0,9,3,0,0,25,12,ordinary,22,full_coverage_and_all_discovered_cleared,295,6295.514004,40.0,constant,0.04425550001906231
13,0,True,0,13,1,1,0,edge__iid__71,edge__iid,11,17,12,12,334,bounded_transverse_width,,base,0,0.054409000000001484,12,,0,0,,False,0,ends,3581,0,24,0,16,3444,8,6,0,17,0,47,0,3,3,320,batch_history_ends16_width015,[],21702.570025012163,0,0.0,False,0,524.626167,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",30.0,4,71,1.0,9,3,0,0,25,12,ordinary,22,full_coverage_and_all_discovered_cleared,295,6295.514004,40.0,constant,0.05443974997615442
13,0,True,0,13,1,1,0,edge__iid__71,edge__iid,11,17,12,12,334,bounded_transverse_width,,arc,47,0.048263000000002165,12,cached_distance_prefix_sum,0,0,,False,0,ends,1598,0,16,0,8,1607,4,2,0,17,0,0,0,3,3,320,batch_history_arc8_width015,[],21702.570025012163,0,0.0,False,0,524.626167,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",30.0,4,71,0.5,9,3,0,0,25,12,ordinary,22,full_coverage_and_all_discovered_cleared,295,6295.514004,40.0,constant,0.04829533403972164
17,4,True,0,17,0,0,1,edge__iid__71,edge__iid,12,40,12,12,309,bounded_transverse_width,,locked,48,0.04691299999999998,12,cached_distance_prefix_sum,0,0,,True,0,ends,955,0,26,0,8,937,5,3,0,40,4,0,0,4,3,295,batch_history_locked8_width015,[],20957.278290003873,0,0.0,False,0,499.78797149999997,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",30.0,4,71,1.0,5,11,12,4,26,12,ordinary,22,full_coverage_and_all_discovered_cleared,271,5997.455658,40.0,constant,0.04694079200271517
8,1,True,0,8,2,2,0,edge__smooth__67,edge__smooth,8,5,10,10,358,bounded_transverse_width,,base,0,0.039468000000002945,10,,0,0,,False,0,first,,0,,0,8,780,0,0,0,5,3,39,0,4,3,346,history_first8_width015,[],21532.34585750192,0,0.0,False,0,641.0469168,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",30.0,4,67,1.0,7,0,15,3,17,10,ordinary,22,full_coverage_and_all_discovered_cleared,324,6410.469168,40.0,constant,0.03947370796231553
8,1,True,0,8,2,2,0,edge__smooth__67,edge__smooth,8,5,10,10,358,bounded_transverse_width,,base,0,0.042483000000000715,10,,0,0,,False,0,recent,,0,,0,8,780,0,0,0,5,3,39,0,4,3,346,history_recent8_width015,[],21532.34585750192,0,0.0,False,0,641.0469168,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",30.0,4,67,1.0,7,0,15,3,17,10,ordinary,22,full_coverage_and_all_discovered_cleared,324,6410.469168,40.0,constant,0.04252720798831433
14,1,True,0,14,3,3,0,edge__smooth__67,edge__smooth,7,1,10,10,356,bounded_transverse_width,,base,0,0.06293699999999802,10,,0,0,,False,0,ends,,0,,0,16,2766,4,2,0,1,3,45,0,4,3,344,history_ends16_width015,[],20748.028660442633,0,0.0,False,0,624.060573,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",30.0,4,67,1.0,4,0,15,3,23,10,ordinary,22,full_coverage_and_all_discovered_cleared,321,6240.60573,40.0,constant,0.06297841697232798
15,1,True,0,15,3,3,0,edge__smooth__67,edge__smooth,7,1,10,10,356,bounded_transverse_width,,arc,46,0.04642499999999927,10,cached_distance_prefix_sum,0,0,,False,0,ends,,0,,0,8,942,0,0,0,1,4,0,0,4,3,344,history_arc8_width015,[],20777.691122495296,0,0.0,False,0,624.6538223,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",30.0,4,67,0.5,3,0,15,4,24,10,ordinary,22,full_coverage_and_all_discovered_cleared,321,6246.538223,40.0,constant,0.04646120802499354
11,1,True,0,11,2,3,0,edge__smooth__67,edge__smooth,8,39,11,10,331,bounded_transverse_width,,locked,42,0.043796999999997865,10,cached_distance_prefix_sum,0,0,,True,0,ends,,0,,0,8,1033,0,0,0,39,4,0,0,4,3,318,history_locked8_width015,[],20455.142709660395,0,0.0,False,0,602.902854,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",30.0,4,67,1.0,9,3,29,4,20,10,ordinary,22,full_coverage_and_all_discovered_cleared,295,6029.02854,40.0,constant,0.04382320796139538
8,1,True,0,8,2,2,0,edge__smooth__67,edge__smooth,8,5,10,10,358,bounded_transverse_width,,base,0,0.036578999999999695,10,,0,0,,False,0,first,763,0,12,0,8,780,0,0,0,5,3,39,0,4,3,346,batch_history_first8_width015,[],21532.34585750192,0,0.0,False,0,641.0469168,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",30.0,4,67,1.0,7,0,15,3,17,10,ordinary,22,full_coverage_and_all_discovered_cleared,324,6410.469168,40.0,constant,0.036604999972041696
8,1,True,0,8,2,2,0,edge__smooth__67,edge__smooth,8,5,10,10,358,bounded_transverse_width,,base,0,0.039429000000001935,10,,0,0,,False,0,recent,766,0,12,0,8,780,0,0,0,5,3,39,0,4,3,346,batch_history_recent8_width015,[],21532.34585750192,0,0.0,False,0,641.0469168,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",30.0,4,67,1.0,7,0,15,3,17,10,ordinary,22,full_coverage_and_all_discovered_cleared,324,6410.469168,40.0,constant,0.039437124971300364
14,1,True,0,14,3,3,0,edge__smooth__67,edge__smooth,7,1,10,10,356,bounded_transverse_width,,base,0,0.0522279999999995,10,,0,0,,False,0,ends,2950,0,15,0,16,2766,4,2,0,1,3,45,0,4,3,344,batch_history_ends16_width015,[],20748.028660442633,0,0.0,False,0,624.060573,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",30.0,4,67,1.0,4,0,15,3,23,10,ordinary,22,full_coverage_and_all_discovered_cleared,321,6240.60573,40.0,constant,0.0522603330318816
15,1,True,0,15,3,3,0,edge__smooth__67,edge__smooth,7,1,10,10,356,bounded_transverse_width,,arc,46,0.042856999999997925,10,cached_distance_prefix_sum,0,0,,False,0,ends,932,0,10,0,8,942,0,0,0,1,4,0,0,4,3,344,batch_history_arc8_width015,[],20777.691122495296,0,0.0,False,0,624.6538223,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",30.0,4,67,0.5,3,0,15,4,24,10,ordinary,22,full_coverage_and_all_discovered_cleared,321,6246.538223,40.0,constant,0.04287233401555568
11,1,True,0,11,2,3,0,edge__smooth__67,edge__smooth,8,39,11,10,331,bounded_transverse_width,,locked,42,0.039982999999999436,10,cached_distance_prefix_sum,0,0,,True,0,ends,1018,0,15,0,8,1033,0,0,0,39,4,0,0,4,3,318,batch_history_locked8_width015,[],20455.142709660395,0,0.0,False,0,602.902854,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",30.0,4,67,1.0,9,3,29,4,20,10,ordinary,22,full_coverage_and_all_discovered_cleared,295,6029.02854,40.0,constant,0.04000295797595754
