active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,certified_range_scan_skips,clear_calls,cleared,commands,configured_angle_schedule,configured_probe_angle_deg,coupled_dispatch_model,coupled_route_plans,cpu_s,discovered_channels,dispatch_implementation,early_optical_success,early_optical_trials,failure,fixed_scan_order,forced_continuations,historical_anchor_mode,historical_batch_screens,historical_cache_evictions,historical_exact_clip_calls,historical_inconsistent_cuts,historical_negative_limit,historical_pair_checks,historical_pair_cuts,historical_pair_updates,inconsistent_updates,inferred_negative_memory_updates,interrupted_channels,joint_route_solves,known_upper_bound_skips,maximum_source_primary_rf,maximum_source_rounds,measurements,method,missed_channels,move_m,optical_fallback_calls,optical_max_cover_radius,outer_priority_used,packet_fallbacks,per_source_s,policy_cleared_channels,probe_angle_cap_deg,problem,seed,service_entry_weight,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,switches,total_virtual_s,transverse_target_m,transverse_width_rule,wall_s
18,3,True,0,18,3,3,0,uniform__iid__68,uniform__iid,12,25,15,15,264,bounded_transverse_width,,base,0,0.05678099999999997,15,,0,0,,False,0,first,,0,,0,8,1134,5,4,0,25,3,52,0,4,3,247,history_first8_width015,[],24869.606192908475,0,0.0,False,0,433.86141573333333,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",30.0,4,68,1.0,21,20,9,3,30,15,ordinary,22,full_coverage_and_all_discovered_cleared,224,6507.921236,40.0,constant,0.0567990830168128
18,3,True,0,18,3,3,0,uniform__iid__68,uniform__iid,12,25,15,15,264,bounded_transverse_width,,base,0,0.06009000000000009,15,,0,0,,False,0,recent,,0,,0,8,1134,5,4,0,25,3,52,0,4,3,247,history_recent8_width015,[],24869.606192908475,0,0.0,False,0,433.86141573333333,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",30.0,4,68,1.0,21,20,9,3,30,15,ordinary,22,full_coverage_and_all_discovered_cleared,224,6507.921236,40.0,constant,0.06015966704580933
18,3,True,0,18,3,3,0,uniform__iid__68,uniform__iid,12,25,15,15,264,bounded_transverse_width,,base,0,0.07672999999999996,15,,0,0,,False,0,ends,,0,,0,16,3347,5,4,0,25,3,52,0,4,3,247,history_ends16_width015,[],24869.606192908475,0,0.0,False,0,433.86141573333333,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",30.0,4,68,1.0,21,20,9,3,30,15,ordinary,22,full_coverage_and_all_discovered_cleared,224,6507.921236,40.0,constant,0.07682891696458682
19,2,True,0,19,3,3,0,uniform__iid__68,uniform__iid,12,22,15,15,272,bounded_transverse_width,,arc,54,0.06696900000000006,15,cached_distance_prefix_sum,0,0,,False,0,ends,,0,,0,8,1603,2,2,0,22,5,0,0,3,3,255,history_arc8_width015,[],22777.57780455468,0,0.0,False,0,409.167704,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",30.0,4,68,0.5,21,2,20,5,32,15,ordinary,22,full_coverage_and_all_discovered_cleared,232,6137.51556,40.0,constant,0.06704904104117304
7,1,True,0,7,5,5,0,uniform__iid__68,uniform__iid,10,24,15,15,239,bounded_transverse_width,,locked,43,0.04916000000000009,15,cached_distance_prefix_sum,0,0,,True,0,ends,,0,,0,8,989,4,2,0,24,4,0,0,2,1,222,history_locked8_width015,[],21716.799985001067,0,0.0,False,0,381.82399960000004,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",30.0,4,68,1.0,28,1,3,4,21,15,ordinary,22,full_coverage_and_all_discovered_cleared,199,5727.359994,40.0,constant,0.04923966701608151
18,3,True,0,18,3,3,0,uniform__iid__68,uniform__iid,12,25,15,15,264,bounded_transverse_width,,base,0,0.05419800000000008,15,,0,0,,False,0,first,1089,0,54,0,8,1134,5,4,0,25,3,52,0,4,3,247,batch_history_first8_width015,[],24869.606192908475,0,0.0,False,0,433.86141573333333,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",30.0,4,68,1.0,21,20,9,3,30,15,ordinary,22,full_coverage_and_all_discovered_cleared,224,6507.921236,40.0,constant,0.05423704197164625
18,3,True,0,18,3,3,0,uniform__iid__68,uniform__iid,12,25,15,15,264,bounded_transverse_width,,base,0,0.05622400000000005,15,,0,0,,False,0,recent,1094,0,54,0,8,1134,5,4,0,25,3,52,0,4,3,247,batch_history_recent8_width015,[],24869.606192908475,0,0.0,False,0,433.86141573333333,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",30.0,4,68,1.0,21,20,9,3,30,15,ordinary,22,full_coverage_and_all_discovered_cleared,224,6507.921236,40.0,constant,0.05625937500735745
18,3,True,0,18,3,3,0,uniform__iid__68,uniform__iid,12,25,15,15,264,bounded_transverse_width,,base,0,0.06472599999999984,15,,0,0,,False,0,ends,3370,0,35,0,16,3347,5,4,0,25,3,52,0,4,3,247,batch_history_ends16_width015,[],24869.606192908475,0,0.0,False,0,433.86141573333333,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",30.0,4,68,1.0,21,20,9,3,30,15,ordinary,22,full_coverage_and_all_discovered_cleared,224,6507.921236,40.0,constant,0.06479058403056115
19,2,True,0,19,3,3,0,uniform__iid__68,uniform__iid,12,22,15,15,272,bounded_transverse_width,,arc,54,0.05980399999999997,15,cached_distance_prefix_sum,0,0,,False,0,ends,1566,0,33,0,8,1603,2,2,0,22,5,0,0,3,3,255,batch_history_arc8_width015,[],22777.57780455468,0,0.0,False,0,409.167704,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",30.0,4,68,0.5,21,2,20,5,32,15,ordinary,22,full_coverage_and_all_discovered_cleared,232,6137.51556,40.0,constant,0.05983725003898144
7,1,True,0,7,5,5,0,uniform__iid__68,uniform__iid,10,24,15,15,239,bounded_transverse_width,,locked,43,0.0461609999999999,15,cached_distance_prefix_sum,0,0,,True,0,ends,987,0,22,0,8,989,4,2,0,24,4,0,0,2,1,222,batch_history_locked8_width015,[],21716.799985001067,0,0.0,False,0,381.82399960000004,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",30.0,4,68,1.0,28,1,3,4,21,15,ordinary,22,full_coverage_and_all_discovered_cleared,199,5727.359994,40.0,constant,0.046262582996860147
