problem,variant,label,gate_m,runs,completed,sources,mean_sources,directional_fraction,seconds_per_source,ci_low,ci_high,mean_case_seconds_per_source,misses,movement_s_per_source,measurement_s_per_source,switch_s_per_source,failed_clear_s_per_source,successful_clear_s_per_source,measurements_per_source,shared_measurements_per_source
3,full__g50,完整策略,50.0,10,10,134,13.4,0.0,245.47385288059704,233.87144392005277,258.79868022537124,247.499769315994,7,187.2126588923378,44.776119402985074,8.328358208955224,0.15671641791044777,5.0,8.955223880597014,1.455223880597015
3,no_share__g50,关闭顺路补测,50.0,10,10,125,12.5,0.0,259.022089392,238.95725037365278,281.1648516876888,263.8551701355765,6,202.61408941002844,43.0,8.264,0.144,5.0,8.6,0.0
3,scan_then_service__g50,扫描与服务分阶段,50.0,10,10,127,12.7,0.0,307.6193618503937,278.7135573615303,338.7919759776855,315.2212711398077,0,247.5169996825923,46.37795275590551,8.724409448818898,0.0,5.0,9.275590551181102,0.2440944881889764
3,no_negative__g50,关闭负反馈位置裁剪,50.0,10,10,122,12.2,0.0,256.98016436885246,242.63804047983388,272.5719347772123,260.0072417285315,3,193.79163972816198,48.9344262295082,9.180327868852459,0.07377049180327869,5.0,9.78688524590164,1.2049180327868851
3,online_nearest__g50,在线路线改为最近邻,50.0,10,10,141,14.1,0.0,235.48779975177305,218.59100729624308,254.66892328892663,238.9018287398747,1,183.38141672721042,39.751773049645394,7.333333333333333,0.02127659574468085,5.0,7.950354609929078,1.5177304964539007
3,nearest_sensing__g50,测向选点改为保收最近邻,50.0,10,10,124,12.4,0.0,294.3837634112903,273.1921319234148,317.54382786101957,297.9036931011988,301,215.55311816032076,56.25,10.298387096774194,7.282258064516129,5.0,11.25,2.064516129032258
3,full__g20,完整策略,20.0,10,10,125,12.5,0.0,252.246200568,237.2198660607511,271.9182336552217,256.6196208467857,0,187.04620061554328,50.72,9.48,0.0,5.0,10.144,1.704
3,full__g80,完整策略,80.0,10,10,119,11.9,0.0,255.02730815126048,234.15104576269925,277.8600834061211,260.50120852961584,3,190.94327456114425,49.705882352941174,9.302521008403362,0.07563025210084033,5.0,9.941176470588236,1.5714285714285714
4,full__g35,完整策略,35.0,10,10,124,12.4,0.6290322580645161,503.7519241693549,470.38947228230825,538.1356325032081,509.250034178763,0,360.43740807952315,116.7741935483871,21.54032258064516,0.0,5.0,23.35483870967742,1.1693548387096775
4,no_share__g35,关闭顺路补测,35.0,10,10,128,12.8,0.40625,475.5176222421875,435.1119609297834,520.0562887152187,484.4592676077622,2,348.48637226139397,103.0859375,18.8984375,0.046875,5.0,20.6171875,0.0
4,scan_then_service__g35,扫描与服务分阶段,35.0,10,10,138,13.8,0.5362318840579711,489.58057481884055,456.8980336326531,523.6223944623351,493.84151759232145,0,378.45738645841664,89.67391304347827,16.44927536231884,0.0,5.0,17.934782608695652,0.21739130434782608
4,no_negative__g35,关闭负反馈位置裁剪,35.0,10,10,132,13.2,0.5075757575757576,460.09293951515156,417.26201268954077,513.4153761037658,472.90005871431276,0,337.63081839410734,99.28030303030303,18.181818181818183,0.0,5.0,19.856060606060606,1.3257575757575757
4,online_nearest__g35,在线路线改为最近邻,35.0,10,10,136,13.6,0.5073529411764706,456.7806284117647,412.77881286932245,500.8546415656038,463.8121750790339,0,339.1997460195519,95.18382352941177,17.397058823529413,0.0,5.0,19.03676470588235,1.3088235294117647
4,full__g20,完整策略,20.0,10,10,129,12.9,0.5581395348837209,482.83863567441864,449.3162612441871,515.1262831088624,487.797650263976,0,349.8618915434724,108.13953488372093,19.837209302325583,0.0,5.0,21.627906976744185,1.1550387596899225
4,full__g40,完整策略,40.0,10,10,129,12.9,0.5348837209302325,472.9091080155039,425.57748826445254,525.0983354295386,482.83739332451296,1,345.69205387252543,103.17829457364341,19.015503875968992,0.023255813953488372,5.0,20.635658914728683,1.248062015503876
4,full__g80,完整策略,80.0,10,10,127,12.7,0.4409448818897638,479.22642322047244,436.84960962835464,529.4671909484432,489.3659544497269,5,346.4390217203627,107.83464566929133,19.834645669291337,0.11811023622047244,5.0,21.566929133858267,1.5196850393700787
