problem,variant,baseline,runs,baseline_runs,delta_seconds_per_source,relative_pct,ci_low,ci_high,efficiency_valid,p_randomization,p_holm_14
3,no_share__g50,full__g50,10,10,13.548236511402962,5.519217771023894,-10.690267545068231,38.978032819533084,True,0.3828125,1.0
3,scan_then_service__g50,full__g50,10,10,62.14550896979668,25.316549294570038,30.53721813558746,95.97788090490404,True,0.013671875,0.177734375
3,no_negative__g50,full__g50,10,10,11.50631148825542,4.6873878228702015,-7.409969369647644,31.195828628061534,True,0.359375,1.0
3,online_nearest__g50,full__g50,10,10,-9.986053128823983,-4.068072021373854,-31.702272047331842,12.99035501031648,True,0.369140625,1.0
3,nearest_sensing__g50,full__g50,10,10,48.90991053069328,19.924692571833283,24.05011741933937,74.4841210395665,True,0.009765625,0.13671875
3,full__g20,full__g50,10,10,6.77234768740297,2.758887599608079,-13.705651857971288,29.6823021510286,True,0.619140625,1.0
3,full__g80,full__g50,10,10,9.553455270663449,3.891842311739175,-15.046778820291852,35.079518855807635,True,0.482421875,1.0
4,no_share__g35,full__g35,10,10,-28.234301927167394,-5.604802795289252,-81.16827508613694,25.516015400815004,True,0.396484375,1.0
4,scan_then_service__g35,full__g35,10,10,-14.171349350514333,-2.813160341547422,-61.848963913626136,33.23799593827558,True,0.646484375,1.0
4,no_negative__g35,full__g35,10,10,-43.65898465420332,-8.666762856775856,-98.71151264099993,18.035445631339183,True,0.234375,1.0
4,online_nearest__g35,full__g35,10,10,-46.971295757590156,-9.3242910853476,-102.47563782371795,7.828654184136774,True,0.19921875,1.0
4,full__g20,full__g35,10,10,-20.91328849493624,-4.151505431849321,-68.48498109508982,25.571901620453357,True,0.501953125,1.0
4,full__g40,full__g35,10,10,-30.842816153851004,-6.122620018714221,-90.20050999990713,31.57751863183084,True,0.41796875,1.0
4,full__g80,full__g35,10,10,-24.52550094888244,-4.868567199881758,-79.94410981083374,35.175855417395105,True,0.478515625,1.0
