best_m,bound_kind,certified_optimal,comparison_budget,comparisons,delta_scores,full_scores,generated_candidates,initial_2opt_m,local_polishes,lower_bound_m,method,point_set,polish_enabled,raw_proposal_best_m,seed,shared_setup_s,stations,wall_s
31200.0,"square checkerboard: colors 25/24, at least 0 same-color edges",True,100000,1,0,1,0,31200.0,0,31200.0,iterated_search,square650,True,31200.0,42,0.01085462496848777,49,0.011020832986105233
31200.0,"square checkerboard: colors 25/24, at least 0 same-color edges",True,100000,1,0,1,0,31200.0,0,31200.0,iterated_search,square650,True,31200.0,43,0.01039800001308322,49,0.010454167029820383
31200.0,"square checkerboard: colors 25/24, at least 0 same-color edges",True,100000,1,0,1,0,31200.0,0,31200.0,iterated_search,square650,True,31200.0,44,0.01039870799286291,49,0.010442790982779115
31200.0,"square checkerboard: colors 25/24, at least 0 same-color edges",True,100000,1,0,1,0,31200.0,0,31200.0,iterated_search,square650,True,31200.0,45,0.010281499999109656,49,0.010316374944522977
31200.0,"square checkerboard: colors 25/24, at least 0 same-color edges",True,100000,1,0,1,0,31200.0,0,31200.0,iterated_search,square650,True,31200.0,46,0.010507000028155744,49,0.010560000024270266
32079.898987322333,"square checkerboard: colors 21/24, at least 3 same-color edges",False,100000,1,0,1,0,31669.8484809835,0,31669.8484809835,greedy,square700,True,31669.8484809835,42,0.008764416968915612,45,0.008807541977148503
34274.79302720035,"square checkerboard: colors 21/24, at least 3 same-color edges",False,100000,15181,15180,1,0,31669.8484809835,0,31669.8484809835,insertion_greedy,square700,True,31669.8484809835,42,0.008613332989625633,45,0.012844957993365824
31669.8484809835,"square checkerboard: colors 21/24, at least 3 same-color edges",True,100000,1,0,1,0,31669.8484809835,0,31669.8484809835,two_opt,square700,True,31669.8484809835,42,0.008919792016968131,45,0.008970708004198968
31669.8484809835,"square checkerboard: colors 21/24, at least 3 same-color edges",True,100000,1,0,1,0,31669.8484809835,0,31669.8484809835,genetic,square700,True,31669.8484809835,42,0.008752666995860636,45,0.008823707990814
31669.8484809835,"square checkerboard: colors 21/24, at least 3 same-color edges",True,100000,1,0,1,0,31669.8484809835,0,31669.8484809835,genetic,square700,True,31669.8484809835,43,0.008744250051677227,45,0.008799542032647878
31669.8484809835,"square checkerboard: colors 21/24, at least 3 same-color edges",True,100000,1,0,1,0,31669.8484809835,0,31669.8484809835,genetic,square700,True,31669.8484809835,44,0.008876000007148832,45,0.008919999992940575
31669.8484809835,"square checkerboard: colors 21/24, at least 3 same-color edges",True,100000,1,0,1,0,31669.8484809835,0,31669.8484809835,genetic,square700,True,31669.8484809835,45,0.008994999981950969,45,0.009055041999090463
31669.8484809835,"square checkerboard: colors 21/24, at least 3 same-color edges",True,100000,1,0,1,0,31669.8484809835,0,31669.8484809835,genetic,square700,True,31669.8484809835,46,0.008898917003534734,45,0.008939291990827769
31669.8484809835,"square checkerboard: colors 21/24, at least 3 same-color edges",True,100000,1,0,1,0,31669.8484809835,0,31669.8484809835,immune,square700,True,31669.8484809835,42,0.00858462497126311,45,0.00861624995013699
31669.8484809835,"square checkerboard: colors 21/24, at least 3 same-color edges",True,100000,1,0,1,0,31669.8484809835,0,31669.8484809835,immune,square700,True,31669.8484809835,43,0.008861500013154,45,0.008902083965949714
31669.8484809835,"square checkerboard: colors 21/24, at least 3 same-color edges",True,100000,1,0,1,0,31669.8484809835,0,31669.8484809835,immune,square700,True,31669.8484809835,44,0.008806416997686028,45,0.008849959005601704
31669.8484809835,"square checkerboard: colors 21/24, at least 3 same-color edges",True,100000,1,0,1,0,31669.8484809835,0,31669.8484809835,immune,square700,True,31669.8484809835,45,0.008765000035054982,45,0.008803041011560708
31669.8484809835,"square checkerboard: colors 21/24, at least 3 same-color edges",True,100000,1,0,1,0,31669.8484809835,0,31669.8484809835,immune,square700,True,31669.8484809835,46,0.008634958998300135,45,0.00866470899200067
31669.8484809835,"square checkerboard: colors 21/24, at least 3 same-color edges",True,100000,1,0,1,0,31669.8484809835,0,31669.8484809835,ant_colony,square700,True,31669.8484809835,42,0.008844708965625614,45,0.008921208966057748
31669.8484809835,"square checkerboard: colors 21/24, at least 3 same-color edges",True,100000,1,0,1,0,31669.8484809835,0,31669.8484809835,ant_colony,square700,True,31669.8484809835,43,0.008927249989937991,45,0.008978624944575131
31669.8484809835,"square checkerboard: colors 21/24, at least 3 same-color edges",True,100000,1,0,1,0,31669.8484809835,0,31669.8484809835,ant_colony,square700,True,31669.8484809835,44,0.008796874957624823,45,0.008848249970469624
31669.8484809835,"square checkerboard: colors 21/24, at least 3 same-color edges",True,100000,1,0,1,0,31669.8484809835,0,31669.8484809835,ant_colony,square700,True,31669.8484809835,45,0.008658625010866672,45,0.008704249979928136
31669.8484809835,"square checkerboard: colors 21/24, at least 3 same-color edges",True,100000,1,0,1,0,31669.8484809835,0,31669.8484809835,ant_colony,square700,True,31669.8484809835,46,0.00881458300864324,45,0.008882375026587397
31669.8484809835,"square checkerboard: colors 21/24, at least 3 same-color edges",True,100000,1,0,1,0,31669.8484809835,0,31669.8484809835,particle_swarm,square700,True,31669.8484809835,42,0.008889249991625547,45,0.008927874965593219
