bootstrap_gain_pct_high,bootstrap_gain_pct_low,faster_cases,gain_per_source_pct,layout_blocks,mean_delta_total_s,method,n,slower_cases,split,task,tied_cases,worst_regression_case,worst_regression_s
6.155404533495627,0.48798224813710017,50,3.082857272768802,15,-409.6265841733334,adaptive_greedy,75,25,ordinary,q4_conservative,0,edge__adversarial-spatial__54,1531.1100050000005
,,13,5.243763114359956,,-673.9012661111107,adaptive_greedy,18,5,stress,q4_conservative,0,boundary_outward_min__n16__positive,1083.2629940000006
7.160132552863462,2.140608654957451,59,4.545396688541792,15,-567.8256550933334,adaptive_two_opt,75,16,ordinary,q4_conservative,0,edge__adversarial-spatial__54,995.3860989999994
,,14,6.175473536342702,,-804.383354333333,adaptive_two_opt,18,4,stress,q4_conservative,0,boundary_outward_min__n16__positive,665.8916140000001
0.0,0.0,0,0.0,15,0.0,ant_colony,75,0,ordinary,q4_conservative,75,uniform__iid__52,0.0
,,0,0.0,,0.0,ant_colony,18,0,stress,q4_conservative,18,boundary_outward_min__n10__positive,0.0
0.0,0.0,0,0.0,15,0.0,fireworks,75,0,ordinary,q4_conservative,75,uniform__iid__52,0.0
,,0,0.0,,0.0,fireworks,18,0,stress,q4_conservative,18,boundary_outward_min__n10__positive,0.0
0.0,0.0,0,0.0,15,0.0,genetic,75,0,ordinary,q4_conservative,75,uniform__iid__52,0.0
,,0,0.0,,0.0,genetic,18,0,stress,q4_conservative,18,boundary_outward_min__n10__positive,0.0
-0.30313852069561514,-2.151016285861549,10,-1.24661870608489,15,141.04025718666685,greedy,75,65,ordinary,q4_conservative,0,edge__smooth__52,881.0523990000002
,,4,-0.4640276059744819,,57.62214433333369,greedy,18,14,stress,q4_conservative,0,boundary_outward_min__n10__positive,272.12845600000037
0.0,0.0,0,0.0,15,0.0,immune,75,0,ordinary,q4_conservative,75,uniform__iid__52,0.0
,,0,0.0,,0.0,immune,18,0,stress,q4_conservative,18,boundary_outward_min__n10__positive,0.0
0.376773344579744,-7.924557931417452,25,-3.6174430809475577,15,470.57334238666675,insertion_greedy,75,50,ordinary,q4_conservative,0,clustered__adversarial-spatial__56,3414.4914210000006
,,3,-3.0218946796599644,,347.23858566666706,insertion_greedy,18,15,stress,q4_conservative,0,near_collinear_min__n16__positive,1400.387705000001
0.0,0.0,0,0.0,15,0.0,iterated_search,75,0,ordinary,q4_conservative,75,uniform__iid__52,0.0
,,0,0.0,,0.0,iterated_search,18,0,stress,q4_conservative,18,boundary_outward_min__n10__positive,0.0
0.0,0.0,0,0.0,15,0.0,particle_swarm,75,0,ordinary,q4_conservative,75,uniform__iid__52,0.0
,,0,0.0,,0.0,particle_swarm,18,0,stress,q4_conservative,18,boundary_outward_min__n10__positive,0.0
