all_clear_rate,all_cleared,errors,max_commands,max_wall_s,mean_clear_calls,mean_commands,mean_cpu_s,mean_measurements,mean_move_m,mean_per_source_s,mean_stations,mean_switches,mean_total_s,mean_wall_s,method,n,p95_total_s,p95_wall_s,pooled_per_source_s,role,split,stop_at_16,stop_full_coverage,sum_cpu_s,task,worst_case_id,worst_per_source_s,worst_total_s
1.0,75,0,313,0.31827366701327264,12.6,248.64,0.17529311999999908,234.04,40648.08225100367,786.2082191652714,17.666666666666668,212.72,9575.536449973333,0.176180261161644,greedy,75,11113.0307239,0.2495290919963736,759.9632103153439,,ordinary,15,60,13.14698399999993,q3_active,edge__smooth__53,985.8796554,11211.31815
1.0,93,0,313,0.31827366701327264,12.67741935483871,243.3548387096774,0.17802711827956882,228.67741935483872,39932.86584341124,773.1555137875844,17.27956989247312,207.51612903225808,9400.863491053764,0.17965436744333435,greedy,93,10653.744585999995,0.2722865000250749,741.5439394978795,,all_comparison,24,69,16.5565219999999,q3_active,edge__smooth__53,985.8796554,11211.31815
1.0,75,0,315,0.3031795830465853,12.6,244.25333333333333,0.1715682399999983,229.65333333333334,41142.827319070944,787.7421272099544,18.2,208.25333333333333,9648.085463613332,0.17277710050654907,insertion_greedy,75,10932.0373055,0.2584150374110322,765.7210685407407,,ordinary,15,60,12.867617999999872,q3_active,edge__iid__53,958.148234,11430.894732
1.0,93,0,315,0.3031795830465853,12.67741935483871,238.20430107526883,0.17395197849462246,223.5268817204301,39900.926868717965,768.466747795528,17.483870967741936,202.5268817204301,9363.73376068817,0.17511113436632258,insertion_greedy,93,10823.711069599998,0.26599864999297995,738.615131250212,,all_comparison,24,69,16.177533999999888,q3_active,edge__iid__53,973.0070603,11430.894732
1.0,75,0,313,0.2707477500080131,12.6,248.64,0.17408821333333463,234.04,40648.08225100367,786.2082191652714,17.666666666666668,212.72,9575.536449973333,0.17479893000020336,two_opt,75,11113.0307239,0.2494048337859567,759.9632103153439,,ordinary,15,60,13.056616000000098,q3_active,edge__smooth__53,985.8796554,11211.31815
1.0,93,0,313,0.2772529170033522,12.67741935483871,243.3548387096774,0.17609723655914047,228.67741935483872,39932.86584341124,773.1555137875844,17.27956989247312,207.51612903225808,9400.863491053764,0.17695737365503064,two_opt,93,10653.744585999995,0.260377891617827,741.5439394978795,,all_comparison,24,69,16.377043000000064,q3_active,edge__smooth__53,985.8796554,11211.31815
1.0,75,0,313,0.26834079099353403,12.6,248.64,0.17467160000000084,234.04,40648.08225100367,786.2082191652714,17.666666666666668,212.72,9575.536449973333,0.17548952103747675,genetic,75,11113.0307239,0.2523773250693921,759.9632103153439,,ordinary,15,60,13.100370000000064,q3_active,edge__smooth__53,985.8796554,11211.31815
1.0,93,0,313,0.2842863330151886,12.67741935483871,243.3548387096774,0.17653740860215156,228.67741935483872,39932.86584341124,773.1555137875844,17.27956989247312,207.51612903225808,9400.863491053764,0.17738490403937776,genetic,93,10653.744585999995,0.25500365819316356,741.5439394978795,,all_comparison,24,69,16.417979000000095,q3_active,edge__smooth__53,985.8796554,11211.31815
1.0,75,0,313,0.2704145419993438,12.6,248.64,0.1745024399999986,234.04,40648.08225100367,786.2082191652714,17.666666666666668,212.72,9575.536449973333,0.1753668099998807,immune,75,11113.0307239,0.25088380791130477,759.9632103153439,,ordinary,15,60,13.087682999999895,q3_active,edge__smooth__53,985.8796554,11211.31815
1.0,93,0,313,0.29404545802390203,12.67741935483871,243.3548387096774,0.17663568817204195,228.67741935483872,39932.86584341124,773.1555137875844,17.27956989247312,207.51612903225808,9400.863491053764,0.1776483987003655,immune,93,10653.744585999995,0.2558583836071193,741.5439394978795,,all_comparison,24,69,16.4271189999999,q3_active,edge__smooth__53,985.8796554,11211.31815
1.0,75,0,313,0.2851084999856539,12.6,248.64,0.17415577333333315,234.04,40648.08225100367,786.2082191652714,17.666666666666668,212.72,9575.536449973333,0.1749962133433049,ant_colony,75,11113.0307239,0.2484793206094764,759.9632103153439,,ordinary,15,60,13.061682999999986,q3_active,edge__smooth__53,985.8796554,11211.31815
1.0,93,0,313,0.2851084999856539,12.67741935483871,243.3548387096774,0.1761031720430112,228.67741935483872,39932.86584341124,773.1555137875844,17.27956989247312,207.51612903225808,9400.863491053764,0.17729287544861236,ant_colony,93,10653.744585999995,0.2603291582199745,741.5439394978795,,all_comparison,24,69,16.377595000000042,q3_active,edge__smooth__53,985.8796554,11211.31815
1.0,75,0,313,0.271191917010583,12.6,248.64,0.17410427999999978,234.04,40648.08225100367,786.2082191652714,17.666666666666668,212.72,9575.536449973333,0.17499782881621892,particle_swarm,75,11113.0307239,0.2498256667982787,759.9632103153439,,ordinary,15,60,13.057820999999983,q3_active,edge__smooth__53,985.8796554,11211.31815
1.0,93,0,313,0.28553975000977516,12.67741935483871,243.3548387096774,0.17615631182795644,228.67741935483872,39932.86584341124,773.1555137875844,17.27956989247312,207.51612903225808,9400.863491053764,0.17708517869080728,particle_swarm,93,10653.744585999995,0.25608120800461615,741.5439394978795,,all_comparison,24,69,16.38253699999995,q3_active,edge__smooth__53,985.8796554,11211.31815
1.0,75,0,313,0.2710979160037823,12.6,248.64,0.17454037333333286,234.04,40648.08225100367,786.2082191652714,17.666666666666668,212.72,9575.536449973333,0.1754753227586237,fireworks,75,11113.0307239,0.25452568306936885,759.9632103153439,,ordinary,15,60,13.090527999999964,q3_active,edge__smooth__53,985.8796554,11211.31815
1.0,93,0,313,0.27923366700997576,12.67741935483871,243.3548387096774,0.17655224731182734,228.67741935483872,39932.86584341124,773.1555137875844,17.27956989247312,207.51612903225808,9400.863491053764,0.17752562859033044,fireworks,93,10653.744585999995,0.2576778588001616,741.5439394978795,,all_comparison,24,69,16.419358999999943,q3_active,edge__smooth__53,985.8796554,11211.31815
1.0,75,0,313,0.2930957500357181,12.6,248.64,0.17438794666666582,234.04,40648.08225100367,786.2082191652714,17.666666666666668,212.72,9575.536449973333,0.17518105998712902,iterated_search,75,11113.0307239,0.2529476169438567,759.9632103153439,,ordinary,15,60,13.079095999999936,q3_active,edge__smooth__53,985.8796554,11211.31815
1.0,93,0,313,0.32019608397968113,12.67741935483871,243.3548387096774,0.1767540752688163,228.67741935483872,39932.86584341124,773.1555137875844,17.27956989247312,207.51612903225808,9400.863491053764,0.17778582574163754,iterated_search,93,10653.744585999995,0.2585763835930265,741.5439394978795,,all_comparison,24,69,16.43812899999992,q3_active,edge__smooth__53,985.8796554,11211.31815
1.0,75,0,321,0.25585533399134874,12.6,223.61333333333334,0.1731074400000007,209.01333333333332,37314.729295676596,732.2804157808564,16.546666666666667,188.82666666666665,8759.839192399999,0.17386024778708817,adaptive_greedy,75,11083.7275802,0.24350519630825146,695.2253327301586,,ordinary,15,60,12.983058000000053,q3_active,edge__iid__53,1008.964036909091,11344.536863
1.0,93,0,321,0.28183675004402176,12.67741935483871,219.25806451612902,0.1752221182795702,204.58064516129033,36633.517093589646,721.301035698809,16.021505376344088,184.79569892473117,8597.78944015054,0.1760608727526751,adaptive_greedy,93,11038.1460794,0.2491217330214567,678.1971314113657,,all_comparison,24,69,16.29565700000003,q3_active,edge__iid__53,1008.964036909091,11344.536863
1.0,75,0,313,0.25320770801045,12.6,222.90666666666667,0.1736814666666667,208.30666666666667,36150.024903688354,711.9411625590419,16.56,188.2,8522.738313986665,0.17439328658549735,adaptive_two_opt,75,10473.8608453,0.24474797080620192,676.4078026973544,,ordinary,15,60,13.026110000000003,q3_active,edge__adversarial-spatial__53,959.025245,10678.48563
1.0,93,0,313,0.27875895804027095,12.67741935483871,219.23655913978496,0.17612041935483824,204.55913978494624,35741.37063883125,704.4480157855177,16.13978494623656,184.7311827956989,8419.188106182795,0.17692681221586842,adaptive_two_opt,93,10405.140382,0.2523813334177248,664.1089854749788,,all_comparison,21,72,16.379198999999957,q3_active,edge__adversarial-spatial__53,970.1127899999999,10678.48563
1.0,18,0,301,0.286640208971221,13.0,221.33333333333334,0.18941877777777608,206.33333333333334,36952.79747844272,718.7692413805556,15.666666666666666,185.83333333333334,8673.059495555557,0.19412981028371076,greedy,18,9803.142318350001,0.27999993757985064,667.1584227350429,,stress,9,9,3.4095379999999693,q3_active,unknown_count_late__n10__negative,985.6535705,9856.535705
1.0,18,0,310,0.2772746250266209,13.0,213.0,0.1838842222222231,198.0,34726.3416589139,688.1526669020833,14.5,178.66666666666666,8178.934998499999,0.1848362754487122,insertion_greedy,18,9728.0689431,0.27580731248599477,629.1488460384614,,stress,9,9,3.3099160000000154,q3_active,unknown_count_late__n10__negative,973.0070603,9730.070603
1.0,18,0,301,0.2772529170033522,13.0,221.33333333333334,0.18446816666666482,206.33333333333334,36952.79747844272,718.7692413805556,15.666666666666666,185.83333333333334,8673.059495555557,0.1859508888834777,two_opt,18,9803.142318350001,0.27312088938779194,667.1584227350429,,stress,9,9,3.3204269999999667,q3_active,unknown_count_late__n10__negative,985.6535705,9856.535705
1.0,18,0,301,0.2842863330151886,13.0,221.33333333333334,0.18431161111111294,206.33333333333334,36952.79747844272,718.7692413805556,15.666666666666666,185.83333333333334,8673.059495555557,0.1852823332139653,genetic,18,9803.142318350001,0.2750137892377097,667.1584227350429,,stress,9,9,3.317609000000033,q3_active,unknown_count_late__n10__negative,985.6535705,9856.535705
1.0,18,0,301,0.29404545802390203,13.0,221.33333333333334,0.18552422222222256,206.33333333333334,36952.79747844272,718.7692413805556,15.666666666666666,185.83333333333334,8673.059495555557,0.18715501828571884,immune,18,9803.142318350001,0.2824844660644885,667.1584227350429,,stress,9,9,3.3394360000000063,q3_active,unknown_count_late__n10__negative,985.6535705,9856.535705
1.0,18,0,301,0.27822512498823926,13.0,221.33333333333334,0.18421733333333634,206.33333333333334,36952.79747844272,718.7692413805556,15.666666666666666,185.83333333333334,8673.059495555557,0.18686230088739345,ant_colony,18,9803.142318350001,0.2759325687220553,667.1584227350429,,stress,9,9,3.315912000000054,q3_active,unknown_count_late__n10__negative,985.6535705,9856.535705
1.0,18,0,301,0.28553975000977516,13.0,221.33333333333334,0.1847064444444426,206.33333333333334,36952.79747844272,718.7692413805556,15.666666666666666,185.83333333333334,8673.059495555557,0.1857824698349254,particle_swarm,18,9803.142318350001,0.276068447358557,667.1584227350429,,stress,9,9,3.3247159999999667,q3_active,unknown_count_late__n10__negative,985.6535705,9856.535705
1.0,18,0,301,0.27923366700997576,13.0,221.33333333333334,0.18493505555555442,206.33333333333334,36952.79747844272,718.7692413805556,15.666666666666666,185.83333333333334,8673.059495555557,0.18606856955577517,fireworks,18,9803.142318350001,0.2786818750173552,667.1584227350429,,stress,9,9,3.3288309999999797,q3_active,unknown_count_late__n10__negative,985.6535705,9856.535705
1.0,18,0,301,0.32019608397968113,13.0,221.33333333333334,0.18661294444444346,206.33333333333334,36952.79747844272,718.7692413805556,15.666666666666666,185.83333333333334,8673.059495555557,0.18863901638542302,iterated_search,18,9803.142318350001,0.28678945451683824,667.1584227350429,,stress,9,9,3.3590329999999824,q3_active,unknown_count_late__n10__negative,985.6535705,9856.535705
1.0,18,0,302,0.28183675004402176,13.0,201.11111111111111,0.18403327777777653,186.11111111111111,33795.132918227384,675.5536186902777,13.833333333333334,168.0,7922.582139111109,0.18523014344262062,adaptive_greedy,18,9921.99690665,0.2761430249811383,609.4293953162392,,stress,9,9,3.3125989999999774,q3_active,near_collinear_min__n10__negative,1004.5376438999999,10045.376439
1.0,18,0,309,0.27875895804027095,13.0,203.94444444444446,0.1862827222222197,188.94444444444446,34038.64453525998,673.2265708958333,14.38888888888889,170.27777777777777,7987.728906999999,0.18748316900908119,adaptive_two_opt,18,9894.938378249999,0.27811249729420523,614.4406851538461,,stress,6,12,3.3530889999999545,q3_active,boundary_outward_min__n16__positive,970.1127899999999,9913.506964
1.0,75,0,701,0.6771226250566542,97.34666666666666,446.6,0.413757853333337,347.25333333333333,47393.75333685146,973.9160244028049,29.0,312.6,11844.857335186667,0.41866063218719013,greedy,75,13580.2710077,0.6039246623055078,940.0680424751323,,ordinary,15,60,31.031839000000275,q4_active,clustered__smooth__55,1404.1788409,14041.788409
1.0,93,0,915,0.7516022500349209,124.16129032258064,480.7204301075269,0.4078034408602164,354.55913978494624,48068.62539244187,992.709958829144,28.967741935483872,321.1720430107527,12105.531529129032,0.415769194410513,greedy,93,13975.939059999999,0.6042812164057977,954.8892554783715,,all_comparison,24,69,37.925720000000126,q4_active,boundary_outward_min__n10__negative,1555.645,15556.45
1.0,75,0,673,1.1068562499713153,90.36,479.06666666666666,0.42591772000000144,386.70666666666665,46056.60202555819,963.3874878943991,29.933333333333334,351.05333333333334,11792.187072613331,0.4331988733719724,insertion_greedy,75,12816.9209505,0.6500418999930844,935.8878629058199,,ordinary,15,60,31.943829000000107,q4_active,uniform__adversarial-spatial__56,1280.6324772,13018.441856
1.0,93,0,788,1.1068562499713153,108.19354838709677,497.741935483871,0.41667101075269003,387.5483870967742,45702.98112461942,962.6343590991119,29.462365591397848,353.6559139784946,11781.929559010752,0.4237148150099411,insertion_greedy,93,12908.8908644,0.6444542751996778,929.3634003290924,,all_comparison,24,69,38.750404000000174,q4_active,near_collinear_min__n16__negative,1292.162513,14497.757715
1.0,75,0,746,0.7372562080272473,83.17333333333333,454.41333333333336,0.43269970666666796,369.24,45301.520844836305,944.3174536826307,29.333333333333332,333.3333333333333,11514.557503760001,0.43737317610764875,two_opt,75,12875.6592055,0.605986962490715,913.8537701396826,,ordinary,15,60,32.4524780000001,q4_active,clustered__smooth__55,1399.178339,13991.78339
1.0,93,0,906,0.7372562080272473,112.83870967741936,484.247311827957,0.42103651612903503,369.40860215053766,45392.77617355493,951.9858250130087,28.817204301075268,335.40860215053766,11624.877814290325,0.42567098790576924,two_opt,93,13573.1333542,0.5799700495903377,916.9750947659035,,all_comparison,24,69,39.15639600000026,q4_active,near_collinear_min__n16__spatial,1423.4646034,15332.819974
1.0,75,0,603,0.7783685839967802,79.08,424.93333333333334,0.42823106666666677,343.85333333333335,44636.35549489323,917.1852004265065,29.933333333333334,306.8666666666667,11215.84443732,0.4339764510793611,genetic,75,12341.4036822,0.6658400249143597,890.1463839142857,,ordinary,15,60,32.11733000000001,q4_active,clustered__adversarial-negative__53,1239.9431906,12505.930855
1.0,93,0,922,0.7783685839967802,111.84946236559139,464.3333333333333,0.41820526881720677,350.48387096774195,45170.30184330368,935.1010454389838,29.623655913978496,315.1505376344086,11462.533489043011,0.42360186107551817,genetic,93,13439.5062002,0.6584465252119116,904.1693082960136,,all_comparison,24,69,38.89309000000023,q4_active,boundary_outward_min__n10__negative,1480.4000731,14804.000731
1.0,75,0,600,1.1301535840029828,62.10666666666667,423.02666666666664,0.4446331733333329,358.92,44552.31791462426,923.4351653538868,29.533333333333335,322.38666666666666,11238.970249746666,0.4532282967042799,immune,75,12389.014818299998,0.6617455285857431,891.98176585291,,ordinary,15,60,33.34748799999997,q4_active,uniform__adversarial-negative__55,1285.1220337999998,12851.220338
1.0,93,0,984,1.1301535840029828,102.88172043010752,470.81720430107526,0.4327165913978484,365.93548387096774,45274.57305476511,944.5414567152312,29.333333333333332,330.97849462365593,11549.570522860216,0.44061642610568114,immune,93,13835.882184999999,0.6338117413804863,911.0348249584395,,all_comparison,24,69,40.2426429999999,q4_active,near_collinear_min__n16__negative,1459.6549251000001,15569.083294
1.0,75,0,631,0.8871382920187898,86.29333333333334,470.1066666666667,0.419588973333332,381.81333333333333,46172.67785014623,961.1611306693425,30.066666666666666,346.37333333333333,11774.055570813334,0.42880503662163394,ant_colony,75,12854.1319744,0.7132524248154368,934.4488548264551,,ordinary,15,60,31.4691729999999,q4_active,uniform__adversarial-spatial__56,1236.8777956,12981.478185
1.0,93,0,790,0.8871382920187898,104.91397849462365,490.64516129032256,0.4098939247311798,383.73118279569894,46007.45814232318,964.0834631176153,29.666666666666668,350.01075268817203,11810.25507007527,0.4182226751462847,ant_colony,93,12938.183957199999,0.7062280249781906,931.5977281738762,,all_comparison,24,69,38.12013499999972,q4_active,near_collinear_min__n16__negative,1335.7594001,14925.537874
1.0,75,0,607,1.0565381250344217,59.54666666666667,429.4,0.4700771333333334,367.85333333333335,44429.02476345262,921.6675563062004,30.0,329.12,11258.031619026666,0.48089241670367,particle_swarm,75,12158.3213339,0.7099811418971512,893.4945729386243,,ordinary,15,60,35.255785,q4_active,clustered__adversarial-negative__53,1209.7311318,12697.010804
