method,seed,stations,best_m,initial_2opt_m,lower_bound_m,bound_kind,certified_optimal,wall_s,shared_setup_s,comparison_budget,comparisons,full_scores,delta_scores,generated_candidates,local_polishes,polish_enabled,raw_proposal_best_m
genetic,42,31,30424.73029949318,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,False,0.2554580839932896,0.006496166985016316,10000,9999,9999,0,9998,0,False,30424.73029949318
genetic,43,31,30424.73029949318,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,False,0.23865416599437594,0.006125290994532406,10000,9999,9999,0,9998,0,False,30424.73029949318
genetic,44,31,30424.73029949318,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,False,0.2514546670136042,0.006247542041819543,10000,9999,9999,0,9998,0,False,30424.73029949318
genetic,45,31,30424.73029949318,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,False,0.23848129098769277,0.006387541012372822,10000,9999,9999,0,9998,0,False,30424.73029949318
genetic,46,31,30424.73029949318,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,False,0.23948087502503768,0.00653545802924782,10000,9999,9999,0,9998,0,False,30424.73029949318
genetic,42,31,29700.0,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,True,0.007882790989242494,0.0065517909824848175,10000,1343,38,1305,36,1,True,30424.73029949318
genetic,43,31,29699.999999999996,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,True,0.010015125037170947,0.006388292007613927,10000,4420,70,4350,65,4,True,30424.73029949318
genetic,44,31,29699.999999999996,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,True,0.008041249995585531,0.006049832969438285,10000,2222,47,2175,44,2,True,30424.73029949318
genetic,45,31,29700.0,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,True,0.0075722080073319376,0.006219333037734032,10000,1343,38,1305,36,1,True,30424.73029949318
genetic,46,31,29699.999999999996,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,True,0.009088833990972489,0.006268042023293674,10000,3536,56,3480,52,3,True,30424.73029949318
immune,42,31,30424.73029949318,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,False,0.15867287496803328,0.00613470800453797,10000,9999,9999,0,9998,0,False,30424.73029949318
immune,43,31,30424.73029949318,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,False,0.1590190000133589,0.00623229198390618,10000,9999,9999,0,9998,0,False,30424.73029949318
immune,44,31,30424.73029949318,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,False,0.15837408299557865,0.006312916986644268,10000,9999,9999,0,9998,0,False,30424.73029949318
immune,45,31,30424.73029949318,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,False,0.1578715419746004,0.006527374964207411,10000,9999,9999,0,9998,0,False,30424.73029949318
immune,46,31,30424.73029949318,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,False,0.1588157499791123,0.006180958996992558,10000,9999,9999,0,9998,0,False,30424.73029949318
immune,42,31,29700.0,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,True,0.009219540981575847,0.006346124981064349,10000,4400,50,4350,45,4,True,30424.73029949318
immune,43,31,29700.0,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,True,0.011720333015546203,0.006235458014998585,10000,7021,61,6960,54,6,True,30424.73029949318
immune,44,31,29699.999999999993,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,True,0.008246041950769722,0.006543416995555162,10000,2210,35,2175,32,2,True,30424.73029949318
immune,45,31,29699.999999999996,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,True,0.010727999964728951,0.007070416992064565,10000,4835,50,4785,45,4,True,30424.73029949318
immune,46,31,29700.0,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,True,0.011228582996409386,0.00657416699687019,10000,7456,61,7395,54,6,True,30424.73029949318
ant_colony,42,31,30424.73029949318,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,False,1.4474466249812394,0.006151333975140005,10000,9999,9999,0,9998,0,False,30424.73029949318
ant_colony,43,31,30424.73029949318,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,False,1.451421667006798,0.006689542031381279,10000,9999,9999,0,9998,0,False,30424.73029949318
ant_colony,44,31,29699.999999999996,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,True,0.017571750038769096,0.006141667021438479,10000,82,82,0,81,0,False,29699.999999999996
ant_colony,45,31,29700.0,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,True,0.029336458013858646,0.00613770802738145,10000,161,161,0,160,0,False,29700.0
ant_colony,46,31,30424.73029949318,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,False,1.4550720830447972,0.006289958022534847,10000,9999,9999,0,9998,0,False,30424.73029949318
ant_colony,42,31,29700.0,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,True,0.018031374958809465,0.006152207963168621,10000,8760,60,8700,51,8,True,30424.73029949318
ant_colony,43,31,30424.73029949318,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,False,0.01879837497835979,0.006193250010255724,10000,10000,60,9940,51,8,True,30424.73029949318
ant_colony,44,31,29700.0,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,True,0.008991500013507903,0.00626537500647828,10000,2622,12,2610,9,2,True,30424.73029949318
ant_colony,45,31,29700.0,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,True,0.010660875006578863,0.00637491699308157,10000,3501,21,3480,17,3,True,30424.73029949318
ant_colony,46,31,29700.0,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,True,0.008745541970711201,0.006031249999068677,10000,2622,12,2610,9,2,True,30424.73029949318
particle_swarm,42,31,30424.73029949318,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,False,0.3441841669846326,0.006372457952238619,10000,9999,9999,0,9998,0,False,30424.73029949318
particle_swarm,43,31,30424.73029949318,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,False,0.3197105419822037,0.0063733329880051315,10000,9999,9999,0,9998,0,False,30424.73029949318
particle_swarm,44,31,30424.73029949318,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,False,0.31711558398092166,0.006834917003288865,10000,9999,9999,0,9998,0,False,30424.73029949318
particle_swarm,45,31,30424.73029949318,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,False,0.32843045803019777,0.006367833004333079,10000,9999,9999,0,9998,0,False,30424.73029949318
particle_swarm,46,31,30424.73029949318,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,False,0.3202325829770416,0.006281541951466352,10000,9999,9999,0,9998,0,False,30424.73029949318
particle_swarm,42,31,30424.73029949318,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,False,0.014335124986246228,0.006746417027898133,10000,10000,100,9900,90,9,True,30424.73029949318
particle_swarm,43,31,29700.0,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,True,0.0086231249733828,0.006094083015341312,10000,3524,44,3480,40,3,True,30424.73029949318
particle_swarm,44,31,29700.0,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,True,0.009175791987217963,0.006381666986271739,10000,3959,44,3915,40,3,True,30424.73029949318
particle_swarm,45,31,29699.999999999996,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,True,0.010072915989439934,0.006329874973744154,10000,5274,54,5220,49,4,True,30424.73029949318
particle_swarm,46,31,29700.0,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,True,0.011516832979395986,0.006245874974410981,10000,7902,72,7830,65,6,True,30424.73029949318
