active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,certified_range_scan_skips,clear_calls,cleared,commands,completion_proxy_weight,configured_angle_schedule,configured_probe_angle_deg,coupled_dispatch_model,coupled_route_plans,cpu_s,discovered_channels,dispatch_implementation,early_optical_success,early_optical_trials,expanded_sensing_candidates,failure,faithful_attempt_memory_updates,faithful_nonstationary_retained,faithful_stationary_skips,fixed_scan_order,forced_continuations,historical_anchor_mode,historical_cache_evictions,historical_inconsistent_cuts,historical_negative_limit,historical_pair_checks,historical_pair_cuts,historical_pair_updates,inconsistent_updates,inferred_negative_memory_updates,initialization_s,interrupted_channels,joint_route_solves,known_upper_bound_skips,maximum_source_primary_rf,maximum_source_rounds,measurements,method,missed_channels,move_m,optical_fallback_calls,optical_local_move_saved_m,optical_max_cover_radius,optical_position_adjustments,outer_priority_used,packet_fallbacks,per_source_s,policy_cleared_channels,probe_angle_cap_deg,problem,seed,service_entry_weight,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,switches,total_virtual_s,transverse_target_m,transverse_width_rule,uniform_area_ranking_prior,wall_s
12,0,True,0,0,0,0,0,edge__adversarial-positive__128,edge__adversarial-positive,8,,22,16,155,1.0,,,,,0.032502999999998394,16,,8,14,False,,,,,,,,,,,,,,0,,7.087498670443892e-05,,22,1,,,131,area_return1_7,[],13525.294906279483,0,75.02681141958618,0.0,8,,,223.6911863125,"[1, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 20]",,3,128,,23,,0,,,16,ordinary,6,public_upper_bound_16,121,3579.058981,,,True,0.03251783299492672
12,0,True,0,0,0,0,0,edge__adversarial-positive__128,edge__adversarial-positive,8,4,22,16,151,1.0,,,base,0,0.03213899999999725,16,,8,14,False,,,,,False,,,,,,,,,0,0,8.054100908339024e-05,,22,1,,,127,range_area7,[],13525.294906279483,0,75.02681141958618,0.0,8,,,222.1911863125,"[1, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 20]",,3,128,1.0,23,,0,,,16,ordinary,6,public_upper_bound_16,117,3555.058981,,,True,0.03214662498794496
12,0,True,0,0,0,0,0,edge__adversarial-positive__128,edge__adversarial-positive,8,4,22,16,151,1.0,,,base,0,0.03239800000000059,16,,8,14,False,,4,0,4,False,,,,,,,,,0,0,7.558299694210291e-05,,22,1,,,127,faithful_area7,[],13525.294906279483,0,75.02681141958618,0.0,8,,,222.1911863125,"[1, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 20]",,3,128,1.0,23,,0,,,16,ordinary,6,public_upper_bound_16,117,3555.058981,,,True,0.032410249987151474
23,0,True,,,,,,edge__adversarial-positive__129,edge__adversarial-positive,14,,14,14,159,,,,,,0.2018419999999992,14,,,,,,,,,,,,,,,,,,0,,7.333303801715374e-05,,,,,,143,peer_layout9_proxy,[],15821.98816365362,0,,0.0,,,,291.52840249999997,"[2, 3, 4, 5, 6, 8, 9, 10, 13, 14, 16, 17, 18, 19]",,3,129,,,,,,,14,ordinary,9,full_coverage_and_all_discovered_cleared,132,4081.397635,,,,0.20196174999000505
8,0,True,0,0,0,0,0,edge__adversarial-positive__129,edge__adversarial-positive,6,,16,14,138,1.0,,,,,0.026351999999999265,14,,8,10,False,,,,,,,,,,,,,,0,,7.250002818182111e-05,,21,0,,,120,area_return1_7,[],12451.711339125077,0,34.30892624679697,0.0,6,,,233.95301921428572,"[2, 3, 4, 5, 6, 8, 9, 10, 13, 14, 16, 17, 18, 19]",,3,129,,18,,0,,,14,ordinary,7,full_coverage_and_all_discovered_cleared,109,3275.342269,,,True,0.02635404100874439
8,0,True,0,0,0,0,0,edge__adversarial-positive__129,edge__adversarial-positive,6,0,16,14,138,1.0,,,base,0,0.02645000000000053,14,,8,10,False,,,,,False,,,,,,,,,0,0,0.0001502920058555901,,21,0,,,120,range_area7,[],12451.711339125077,0,34.30892624679697,0.0,6,,,233.95301921428572,"[2, 3, 4, 5, 6, 8, 9, 10, 13, 14, 16, 17, 18, 19]",,3,129,1.0,18,,0,,,14,ordinary,7,full_coverage_and_all_discovered_cleared,109,3275.342269,,,True,0.026449459022842348
8,0,True,0,0,0,0,0,edge__adversarial-positive__129,edge__adversarial-positive,6,0,16,14,138,1.0,,,base,0,0.02659500000000037,14,,8,10,False,,0,0,0,False,,,,,,,,,0,0,7.245800225064158e-05,,21,0,,,120,faithful_area7,[],12451.711339125077,0,34.30892624679697,0.0,6,,,233.95301921428572,"[2, 3, 4, 5, 6, 8, 9, 10, 13, 14, 16, 17, 18, 19]",,3,129,1.0,18,,0,,,14,ordinary,7,full_coverage_and_all_discovered_cleared,109,3275.342269,,,True,0.026616375020239502
25,0,True,,,,,,edge__adversarial-positive__130,edge__adversarial-positive,14,,14,14,151,,,,,,0.2347520000000003,14,,,,,,,,,,,,,,,,,,0,,6.487499922513962e-05,,,,,,135,peer_layout9_proxy,[],18080.0633879699,0,,0.0,,,,320.14376285714286,"[1, 2, 4, 5, 6, 9, 10, 12, 14, 15, 17, 18, 19, 20]",,3,130,,,,,,,14,ordinary,9,full_coverage_and_all_discovered_cleared,121,4482.01268,,,,0.23611854104092345
9,0,True,0,0,0,0,0,edge__adversarial-positive__130,edge__adversarial-positive,8,,16,14,157,1.0,,,,,0.02738599999999991,14,,6,8,False,,,,,,,,,,,,,,0,,8.833303581923246e-05,,21,0,,,139,area_return1_7,[],13355.925476524159,0,55.792131697330156,0.0,8,,,255.01322092857143,"[1, 2, 4, 5, 6, 9, 10, 12, 14, 15, 17, 18, 19, 20]",,3,130,,18,,0,,,14,ordinary,7,full_coverage_and_all_discovered_cleared,128,3570.185093,,,True,0.02742512500844896
9,0,True,0,0,0,0,0,edge__adversarial-positive__130,edge__adversarial-positive,8,2,16,14,155,1.0,,,base,0,0.027903999999999485,14,,6,8,False,,,,,False,,,,,,,,,0,0,8.470797911286354e-05,,21,0,,,137,range_area7,[],13355.925476524159,0,55.792131697330156,0.0,8,,,254.15607807142857,"[1, 2, 4, 5, 6, 9, 10, 12, 14, 15, 17, 18, 19, 20]",,3,130,1.0,18,,0,,,14,ordinary,7,full_coverage_and_all_discovered_cleared,126,3558.185093,,,True,0.027919832966290414
9,0,True,0,0,0,0,0,edge__adversarial-positive__130,edge__adversarial-positive,8,2,16,14,155,1.0,,,base,0,0.02768599999999921,14,,6,8,False,,2,0,2,False,,,,,,,,,0,0,8.020899258553982e-05,,21,0,,,137,faithful_area7,[],13355.925476524159,0,55.792131697330156,0.0,8,,,254.15607807142857,"[1, 2, 4, 5, 6, 9, 10, 12, 14, 15, 17, 18, 19, 20]",,3,130,1.0,18,,0,,,14,ordinary,7,full_coverage_and_all_discovered_cleared,126,3558.185093,,,True,0.02772566699422896
21,0,True,,,,,,edge__adversarial-positive__131,edge__adversarial-positive,12,,12,12,162,,,,,,0.19212000000000273,12,,,,,,,,,,,,,,,,,,0,,6.912503158673644e-05,,,,,,148,peer_layout9_proxy,[],16378.497777307377,0,,0.0,,,,350.89162983333335,"[1, 2, 3, 6, 7, 10, 12, 13, 16, 17, 19, 20]",,3,131,,,,,,,12,ordinary,9,full_coverage_and_all_discovered_cleared,135,4210.699558,,,,0.19224433304043487
7,0,True,0,0,0,0,0,edge__adversarial-positive__131,edge__adversarial-positive,4,,13,12,137,1.0,,,,,0.021105999999999625,12,,8,9,False,,,,,,,,,,,,,,0,,6.929103983566165e-05,,19,0,,,122,area_return1_7,[],12561.999239457706,0,32.81471052092684,0.0,4,,,274.9499870833333,"[1, 2, 3, 6, 7, 10, 12, 13, 16, 17, 19, 20]",,3,131,,11,,0,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,114,3299.399845,,,True,0.021110625006258488
7,0,True,0,0,0,0,0,edge__adversarial-positive__131,edge__adversarial-positive,4,0,13,12,137,1.0,,,base,0,0.021092000000002997,12,,8,9,False,,,,,False,,,,,,,,,0,0,7.087498670443892e-05,,19,0,,,122,range_area7,[],12561.999239457706,0,32.81471052092684,0.0,4,,,274.9499870833333,"[1, 2, 3, 6, 7, 10, 12, 13, 16, 17, 19, 20]",,3,131,1.0,11,,0,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,114,3299.399845,,,True,0.02109875000314787
7,0,True,0,0,0,0,0,edge__adversarial-positive__131,edge__adversarial-positive,4,0,13,12,137,1.0,,,base,0,0.021226000000002188,12,,8,9,False,,0,0,0,False,,,,,,,,,0,0,7.129099685698748e-05,,19,0,,,122,faithful_area7,[],12561.999239457706,0,32.81471052092684,0.0,4,,,274.9499870833333,"[1, 2, 3, 6, 7, 10, 12, 13, 16, 17, 19, 20]",,3,131,1.0,11,,0,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,114,3299.399845,,,True,0.02122562500881031
24,0,True,,,,,,edge__adversarial-positive__132,edge__adversarial-positive,13,,13,13,154,,,,,,0.21399599999999808,13,,,,,,,,,,,,,,,,,,0,,6.283301627263427e-05,,,,,,139,peer_layout9_proxy,[],18298.77128596046,0,,0.0,,,,349.5964813846154,"[1, 2, 4, 5, 6, 8, 9, 13, 14, 15, 16, 18, 20]",,3,132,,,,,,,13,ordinary,9,full_coverage_and_all_discovered_cleared,125,4544.754258,,,,0.2140818330226466
11,0,True,0,0,0,0,0,edge__adversarial-positive__132,edge__adversarial-positive,6,,17,13,150,1.0,,,,,0.02812899999999985,13,,7,11,False,,,,,,,,,,,,,,0,,7.437501335516572e-05,,20,0,,,131,area_return1_7,[],12959.202344482084,0,46.29938310172173,0.0,6,,,265.21849746153845,"[1, 2, 4, 5, 6, 8, 9, 13, 14, 15, 16, 18, 20]",,3,132,,15,,0,,,13,ordinary,7,full_coverage_and_all_discovered_cleared,124,3447.840467,,,True,0.02814137499080971
11,0,True,0,0,0,0,0,edge__adversarial-positive__132,edge__adversarial-positive,6,8,17,13,142,1.0,,,base,0,0.027828000000003073,13,,7,11,False,,,,,False,,,,,,,,,0,0,7.358298171311617e-05,,20,0,,,123,range_area7,[],12959.202344482084,0,46.29938310172173,0.0,6,,,261.52618976923077,"[1, 2, 4, 5, 6, 8, 9, 13, 14, 15, 16, 18, 20]",,3,132,1.0,15,,0,,,13,ordinary,7,full_coverage_and_all_discovered_cleared,116,3399.840467,,,True,0.027832082996610552
11,0,True,0,0,0,0,0,edge__adversarial-positive__132,edge__adversarial-positive,6,8,17,13,142,1.0,,,base,0,0.027967999999997772,13,,7,11,False,,8,0,8,False,,,,,,,,,0,0,7.025001104921103e-05,,20,0,,,123,faithful_area7,[],12959.202344482084,0,46.29938310172173,0.0,6,,,261.52618976923077,"[1, 2, 4, 5, 6, 8, 9, 13, 14, 15, 16, 18, 20]",,3,132,1.0,15,,0,,,13,ordinary,7,full_coverage_and_all_discovered_cleared,116,3399.840467,,,True,0.028029875014908612
22,0,True,,,,,,edge__adversarial-positive__133,edge__adversarial-positive,13,,13,13,158,,,,,,0.2111040000000024,13,,,,,,,,,,,,,,,,,,0,,0.00017804198432713747,,,,,,143,peer_layout9_proxy,[],15127.499097939432,0,,0.0,,,,302.8076783846154,"[1, 2, 4, 5, 11, 12, 13, 15, 16, 17, 18, 19, 20]",,3,133,,,,,,,13,ordinary,9,full_coverage_and_all_discovered_cleared,131,3936.499819,,,,0.2113398340297863
8,0,True,0,0,0,0,0,edge__adversarial-positive__133,edge__adversarial-positive,5,,14,13,138,1.0,,,,,0.025513999999997594,13,,8,9,False,,,,,,,,,,,,,,0,,8.312496356666088e-05,,20,0,,,122,area_return1_7,[],13013.47550386577,0,51.24513848248375,0.0,5,,,260.97654630769233,"[1, 2, 4, 5, 11, 12, 13, 15, 16, 17, 18, 19, 20]",,3,133,,14,,0,,,13,ordinary,7,full_coverage_and_all_discovered_cleared,112,3392.695102,,,True,0.025527333025820553
8,0,True,0,0,0,0,0,edge__adversarial-positive__133,edge__adversarial-positive,5,0,14,13,138,1.0,,,base,0,0.02504599999999968,13,,8,9,False,,,,,False,,,,,,,,,0,0,0.0001479170168749988,,20,0,,,122,range_area7,[],13013.47550386577,0,51.24513848248375,0.0,5,,,260.97654630769233,"[1, 2, 4, 5, 11, 12, 13, 15, 16, 17, 18, 19, 20]",,3,133,1.0,14,,0,,,13,ordinary,7,full_coverage_and_all_discovered_cleared,112,3392.695102,,,True,0.02506579097826034
8,0,True,0,0,0,0,0,edge__adversarial-positive__133,edge__adversarial-positive,5,0,14,13,138,1.0,,,base,0,0.025554000000003185,13,,8,9,False,,0,0,0,False,,,,,,,,,0,0,7.758400170132518e-05,,20,0,,,122,faithful_area7,[],13013.47550386577,0,51.24513848248375,0.0,5,,,260.97654630769233,"[1, 2, 4, 5, 11, 12, 13, 15, 16, 17, 18, 19, 20]",,3,133,1.0,14,,0,,,13,ordinary,7,full_coverage_and_all_discovered_cleared,112,3392.695102,,,True,0.025579917011782527
24,0,True,,,,,,edge__adversarial-positive__134,edge__adversarial-positive,13,,13,13,153,,,,,,0.21658299999999997,13,,,,,,,,,,,,,,,,,,0,,6.641598884016275e-05,,,,,,138,peer_layout9_proxy,[],18518.06525011714,0,,0.0,,,,352.50869607692306,"[1, 2, 4, 5, 7, 8, 10, 11, 13, 14, 17, 18, 19]",,3,134,,,,,,,13,ordinary,9,full_coverage_and_all_discovered_cleared,124,4582.613049,,,,0.21673483395716175
14,0,True,0,0,0,0,0,edge__adversarial-positive__134,edge__adversarial-positive,10,,19,13,148,1.0,,,,,0.028044999999998765,13,,3,9,False,,,,,,,,,,,,,,0,,6.883300375193357e-05,,20,0,,,127,area_return1_7,[],13656.56539878117,0,72.466586490815,0.0,10,,,274.40869861538465,"[1, 2, 4, 5, 7, 8, 10, 11, 13, 14, 17, 18, 19]",,3,134,,12,,0,,,13,ordinary,7,full_coverage_and_all_discovered_cleared,118,3567.313082,,,True,0.028069041029084474
14,0,True,0,0,0,0,0,edge__adversarial-positive__134,edge__adversarial-positive,10,0,19,13,148,1.0,,,base,0,0.02781399999999934,13,,3,9,False,,,,,False,,,,,,,,,0,0,7.087498670443892e-05,,20,0,,,127,range_area7,[],13656.56539878117,0,72.466586490815,0.0,10,,,274.40869861538465,"[1, 2, 4, 5, 7, 8, 10, 11, 13, 14, 17, 18, 19]",,3,134,1.0,12,,0,,,13,ordinary,7,full_coverage_and_all_discovered_cleared,118,3567.313082,,,True,0.02782137499889359
14,0,True,0,0,0,0,0,edge__adversarial-positive__134,edge__adversarial-positive,10,0,19,13,148,1.0,,,base,0,0.02777200000000235,13,,3,9,False,,0,0,0,False,,,,,,,,,0,0,7.02909892424941e-05,,20,0,,,127,faithful_area7,[],13656.56539878117,0,72.466586490815,0.0,10,,,274.40869861538465,"[1, 2, 4, 5, 7, 8, 10, 11, 13, 14, 17, 18, 19]",,3,134,1.0,12,,0,,,13,ordinary,7,full_coverage_and_all_discovered_cleared,118,3567.313082,,,True,0.02779137494508177
25,0,True,,,,,,edge__adversarial-positive__135,edge__adversarial-positive,15,,15,15,145,,,,,,0.21164399999999972,15,,,,,,,,,,,,,,,,,,0,,8.575001265853643e-05,,,,,,128,peer_layout9_proxy,[],19643.124895432542,0,,0.0,,,,317.3749986,"[1, 2, 3, 5, 6, 8, 9, 10, 12, 14, 15, 16, 18, 19, 20]",,3,135,,,,,,,15,ordinary,9,full_coverage_and_all_discovered_cleared,117,4760.624979,,,,0.2118177079828456
13,0,True,0,0,0,0,0,edge__adversarial-positive__135,edge__adversarial-positive,11,,21,15,157,1.0,,,,,0.03340199999999882,15,,4,10,False,,,,,,,,,,,,,,0,,0.00016204197891056538,,22,0,,,134,area_return1_7,[],13047.001367023558,0,92.63432075788373,0.0,11,,,233.2933517333333,"[1, 2, 3, 5, 6, 8, 9, 10, 12, 14, 15, 16, 18, 19, 20]",,3,135,,21,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,127,3499.400276,,,True,0.033443332999013364
13,0,True,0,0,0,0,0,edge__adversarial-positive__135,edge__adversarial-positive,11,7,21,15,150,1.0,,,base,0,0.033470999999998696,15,,4,10,False,,,,,False,,,,,,,,,0,0,7.29589955881238e-05,,22,0,,,127,range_area7,[],13047.001367023558,0,92.63432075788373,0.0,11,,,230.49335173333333,"[1, 2, 3, 5, 6, 8, 9, 10, 12, 14, 15, 16, 18, 19, 20]",,3,135,1.0,21,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,120,3457.400276,,,True,0.03348308301065117
13,0,True,0,0,0,0,0,edge__adversarial-positive__135,edge__adversarial-positive,11,7,21,15,150,1.0,,,base,0,0.03347600000000028,15,,4,10,False,,7,0,7,False,,,,,,,,,0,0,7.574999472126365e-05,,22,0,,,127,faithful_area7,[],13047.001367023558,0,92.63432075788373,0.0,11,,,230.49335173333333,"[1, 2, 3, 5, 6, 8, 9, 10, 12, 14, 15, 16, 18, 19, 20]",,3,135,1.0,21,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,120,3457.400276,,,True,0.03348466701572761
24,0,True,,,,,,edge__adversarial-positive__136,edge__adversarial-positive,14,,14,14,162,,,,,,0.21138099999999937,14,,,,,,,,,,,,,,,,,,0,,7.608404848724604e-05,,,,,,146,peer_layout9_proxy,[],17926.858270165714,0,,0.0,,,,322.66940364285716,"[1, 2, 3, 4, 7, 8, 11, 12, 13, 14, 16, 17, 18, 20]",,3,136,,,,,,,14,ordinary,9,full_coverage_and_all_discovered_cleared,132,4517.371651,,,,0.21155912498943508
9,0,True,0,0,0,0,0,edge__adversarial-positive__136,edge__adversarial-positive,7,,17,14,146,1.0,,,,,0.026422000000000168,14,,7,10,False,,,,,,,,,,,,,,0,,7.887498941272497e-05,,21,0,,,127,area_return1_7,[],13385.114060704898,0,66.85416842090066,0.0,7,,,250.71591521428573,"[1, 2, 3, 4, 7, 8, 11, 12, 13, 14, 16, 17, 18, 20]",,3,136,,15,,0,,,14,ordinary,7,full_coverage_and_all_discovered_cleared,119,3510.022813,,,True,0.026443916955031455
9,0,True,0,0,0,0,0,edge__adversarial-positive__136,edge__adversarial-positive,7,4,17,14,142,1.0,,,base,0,0.026157999999998793,14,,7,10,False,,,,,False,,,,,,,,,0,0,7.979199290275574e-05,,21,0,,,123,range_area7,[],13385.114060704898,0,66.85416842090066,0.0,7,,,249.07305807142856,"[1, 2, 3, 4, 7, 8, 11, 12, 13, 14, 16, 17, 18, 20]",,3,136,1.0,15,,0,,,14,ordinary,7,full_coverage_and_all_discovered_cleared,116,3487.022813,,,True,0.02615824999520555
9,0,True,0,0,0,0,0,edge__adversarial-positive__136,edge__adversarial-positive,7,3,17,14,143,1.0,,,base,0,0.02611699999999928,14,,7,10,False,,3,1,3,False,,,,,,,,,0,0,0.00017687503714114428,,21,0,,,124,faithful_area7,[],13385.114060704898,0,66.85416842090066,0.0,7,,,249.43020092857142,"[1, 2, 3, 4, 7, 8, 11, 12, 13, 14, 16, 17, 18, 20]",,3,136,1.0,15,,0,,,14,ordinary,7,full_coverage_and_all_discovered_cleared,116,3492.022813,,,True,0.02614616695791483
20,0,True,,,,,,edge__adversarial-negative__127,edge__adversarial-negative,10,,10,10,175,,,,,,0.19145300000000276,10,,,,,,,,,,,,,,,,,,0,,6.88750296831131e-05,,,,,,163,peer_layout9_proxy,[],14431.198136685167,0,,0.0,,,,389.9239629,"[1, 4, 5, 7, 14, 15, 17, 18, 19, 20]",,3,127,,,,,,,10,ordinary,9,full_coverage_and_all_discovered_cleared,148,3899.239629,,,,0.19158262497512624
8,0,True,0,0,0,0,0,edge__adversarial-negative__127,edge__adversarial-negative,3,,11,10,140,1.0,,,,,0.020297000000002896,10,,7,8,False,,,,,,,,,,,,,,0,,7.108296267688274e-05,,17,0,,,127,area_return1_7,[],12164.323069090693,0,19.98421309379304,0.0,3,,,324.1864614,"[1, 4, 5, 7, 14, 15, 17, 18, 19, 20]",,3,127,,8,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,121,3241.864614,,,True,0.02035016700392589
8,0,True,0,0,0,0,0,edge__adversarial-negative__127,edge__adversarial-negative,3,0,11,10,140,1.0,,,base,0,0.02003000000000199,10,,7,8,False,,,,,False,,,,,,,,,0,0,7.225002627819777e-05,,17,0,,,127,range_area7,[],12164.323069090693,0,19.98421309379304,0.0,3,,,324.1864614,"[1, 4, 5, 7, 14, 15, 17, 18, 19, 20]",,3,127,1.0,8,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,121,3241.864614,,,True,0.020044000004418194
8,0,True,0,0,0,0,0,edge__adversarial-negative__127,edge__adversarial-negative,3,0,11,10,140,1.0,,,base,0,0.020065999999999917,10,,7,8,False,,0,0,0,False,,,,,,,,,0,0,7.25829740986228e-05,,17,0,,,127,faithful_area7,[],12164.323069090693,0,19.98421309379304,0.0,3,,,324.1864614,"[1, 4, 5, 7, 14, 15, 17, 18, 19, 20]",,3,127,1.0,8,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,121,3241.864614,,,True,0.020104040973819792
29,0,True,,,,,,edge__adversarial-negative__128,edge__adversarial-negative,16,,16,16,160,,,,,,0.26514400000000293,16,,,,,,,,,,,,,,,,,,0,,6.324995774775743e-05,,,,,,142,peer_layout9_proxy,[],18703.22004811856,0,,0.0,,,,291.0402505,"[1, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 20]",,3,128,,,,,,,16,ordinary,8,public_upper_bound_16,126,4656.644008,,,,0.265288541035261
11,0,True,0,0,0,0,0,edge__adversarial-negative__128,edge__adversarial-negative,7,,21,16,154,1.0,,,,,0.03210100000000082,16,,9,14,False,,,,,,,,,,,,,,0,,7.937499321997166e-05,,22,1,,,131,area_return1_7,[],13584.020216890209,0,67.53078640600503,0.0,7,,,224.425252625,"[1, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 20]",,3,128,,24,,0,,,16,ordinary,6,public_upper_bound_16,124,3590.804042,,,True,0.03211645799456164
11,0,True,0,0,0,0,0,edge__adversarial-negative__128,edge__adversarial-negative,7,4,21,16,150,1.0,,,base,0,0.03153199999999856,16,,9,14,False,,,,,False,,,,,,,,,0,0,8.258299203589559e-05,,22,1,,,127,range_area7,[],13584.020216890209,0,67.53078640600503,0.0,7,,,222.925252625,"[1, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 20]",,3,128,1.0,24,,0,,,16,ordinary,6,public_upper_bound_16,120,3566.804042,,,True,0.0315321670495905
11,0,True,0,0,0,0,0,edge__adversarial-negative__128,edge__adversarial-negative,7,4,21,16,150,1.0,,,base,0,0.03144600000000253,16,,9,14,False,,4,0,4,False,,,,,,,,,0,0,7.587502477690578e-05,,22,1,,,127,faithful_area7,[],13584.020216890209,0,67.53078640600503,0.0,7,,,222.925252625,"[1, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 20]",,3,128,1.0,24,,0,,,16,ordinary,6,public_upper_bound_16,120,3566.804042,,,True,0.0314642500015907
23,0,True,,,,,,edge__adversarial-negative__129,edge__adversarial-negative,14,,14,14,159,,,,,,0.20270999999999972,14,,,,,,,,,,,,,,,,,,0,,7.145799463614821e-05,,,,,,143,peer_layout9_proxy,[],16438.085035022574,0,,0.0,,,,300.3297861428572,"[2, 3, 4, 5, 6, 8, 9, 10, 13, 14, 16, 17, 18, 19]",,3,129,,,,,,,14,ordinary,9,full_coverage_and_all_discovered_cleared,132,4204.617006,,,,0.20287375000771135
9,0,True,0,0,0,0,0,edge__adversarial-negative__129,edge__adversarial-negative,7,,17,14,138,1.0,,,,,0.02662600000000026,14,,7,10,False,,,,,,,,,,,,,,0,,7.520802319049835e-05,,21,0,,,119,area_return1_7,[],12462.887724500884,0,49.249799030441025,0.0,7,,,233.8269675,"[2, 3, 4, 5, 6, 8, 9, 10, 13, 14, 16, 17, 18, 19]",,3,129,,16,,0,,,14,ordinary,7,full_coverage_and_all_discovered_cleared,107,3273.577545,,,True,0.026633375033270568
9,0,True,0,0,0,0,0,edge__adversarial-negative__129,edge__adversarial-negative,7,0,17,14,138,1.0,,,base,0,0.026664000000000243,14,,7,10,False,,,,,False,,,,,,,,,0,0,0.00017229100922122598,,21,0,,,119,range_area7,[],12462.887724500884,0,49.249799030441025,0.0,7,,,233.8269675,"[2, 3, 4, 5, 6, 8, 9, 10, 13, 14, 16, 17, 18, 19]",,3,129,1.0,16,,0,,,14,ordinary,7,full_coverage_and_all_discovered_cleared,107,3273.577545,,,True,0.026678916008677334
9,0,True,0,0,0,0,0,edge__adversarial-negative__129,edge__adversarial-negative,7,0,17,14,138,1.0,,,base,0,0.026797000000001958,14,,7,10,False,,0,0,0,False,,,,,,,,,0,0,7.466698298230767e-05,,21,0,,,119,faithful_area7,[],12462.887724500884,0,49.249799030441025,0.0,7,,,233.8269675,"[2, 3, 4, 5, 6, 8, 9, 10, 13, 14, 16, 17, 18, 19]",,3,129,1.0,16,,0,,,14,ordinary,7,full_coverage_and_all_discovered_cleared,107,3273.577545,,,True,0.026805499976035208
23,0,True,,,,,,edge__adversarial-negative__130,edge__adversarial-negative,14,,14,14,149,,,,,,0.20062200000000274,14,,,,,,,,,,,,,,,,,,0,,6.858300184831023e-05,,,,,,133,peer_layout9_proxy,[],18051.043048682768,0,,0.0,,,,319.0149006428572,"[1, 2, 4, 5, 6, 9, 10, 12, 14, 15, 17, 18, 19, 20]",,3,130,,,,,,,14,ordinary,9,full_coverage_and_all_discovered_cleared,121,4466.208609,,,,0.20072670798981562
9,0,True,0,0,0,0,0,edge__adversarial-negative__130,edge__adversarial-negative,7,,17,14,158,1.0,,,,,0.026750999999997305,14,,7,10,False,,,,,,,,,,,,,,0,,6.691698217764497e-05,,21,0,,,139,area_return1_7,[],13230.54637488828,0,64.96430842465548,0.0,7,,,253.7220912142857,"[1, 2, 4, 5, 6, 9, 10, 12, 14, 15, 17, 18, 19, 20]",,3,130,,18,,0,,,14,ordinary,7,full_coverage_and_all_discovered_cleared,132,3552.109277,,,True,0.026757500017993152
9,0,True,0,0,0,0,0,edge__adversarial-negative__130,edge__adversarial-negative,7,2,17,14,156,1.0,,,base,0,0.026989000000000374,14,,7,10,False,,,,,False,,,,,,,,,0,0,8.291698759421706e-05,,21,0,,,137,range_area7,[],13230.54637488828,0,64.96430842465548,0.0,7,,,252.86494835714285,"[1, 2, 4, 5, 6, 9, 10, 12, 14, 15, 17, 18, 19, 20]",,3,130,1.0,18,,0,,,14,ordinary,7,full_coverage_and_all_discovered_cleared,130,3540.109277,,,True,0.027013749990146607
9,0,True,0,0,0,0,0,edge__adversarial-negative__130,edge__adversarial-negative,7,2,17,14,156,1.0,,,base,0,0.0270709999999994,14,,7,10,False,,2,0,2,False,,,,,,,,,0,0,7.645803270861506e-05,,21,0,,,137,faithful_area7,[],13230.54637488828,0,64.96430842465548,0.0,7,,,252.86494835714285,"[1, 2, 4, 5, 6, 9, 10, 12, 14, 15, 17, 18, 19, 20]",,3,130,1.0,18,,0,,,14,ordinary,7,full_coverage_and_all_discovered_cleared,130,3540.109277,,,True,0.027089541021268815
21,0,True,,,,,,edge__adversarial-negative__131,edge__adversarial-negative,12,,12,12,162,,,,,,0.18767000000000067,12,,,,,,,,,,,,,,,,,,0,,7.387500954791903e-05,,,,,,148,peer_layout9_proxy,[],16440.99632352484,0,,0.0,,,,351.933272,"[1, 2, 3, 6, 7, 10, 12, 13, 16, 17, 19, 20]",,3,131,,,,,,,12,ordinary,9,full_coverage_and_all_discovered_cleared,135,4223.199264,,,,0.18780020799022168
