active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,certified_range_scan_skips,clear_calls,cleared,commands,completion_proxy_weight,configured_angle_schedule,configured_probe_angle_deg,coupled_dispatch_model,coupled_route_plans,cpu_s,discovered_channels,dispatch_implementation,early_optical_success,early_optical_trials,expanded_sensing_candidates,failure,faithful_attempt_memory_updates,faithful_nonstationary_retained,faithful_stationary_skips,fixed_scan_order,forced_continuations,historical_anchor_mode,historical_cache_evictions,historical_inconsistent_cuts,historical_negative_limit,historical_pair_checks,historical_pair_cuts,historical_pair_updates,inconsistent_updates,inferred_negative_memory_updates,initialization_s,interrupted_channels,joint_route_solves,known_upper_bound_skips,maximum_source_primary_rf,maximum_source_rounds,measurements,method,missed_channels,move_m,optical_fallback_calls,optical_local_move_saved_m,optical_max_cover_radius,optical_position_adjustments,outer_priority_used,packet_fallbacks,per_source_s,policy_cleared_channels,probe_angle_cap_deg,problem,seed,service_entry_weight,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,switches,total_virtual_s,transverse_target_m,transverse_width_rule,uniform_area_ranking_prior,wall_s
6,0,True,0,0,0,0,0,uniform__iid__129,uniform__iid,8,11,17,14,138,1.0,,,base,0,0.028206999999999982,14,,6,9,False,,,,,False,,,,,,,,,0,0,7.358402945101261e-05,,21,0,,,119,range_area7,[],11119.160963655,0,66.65856727368794,0.0,8,,,214.91658535714285,"[2, 3, 4, 5, 6, 8, 9, 10, 13, 14, 16, 17, 18, 19]",,3,129,1.0,26,,1,,,14,ordinary,7,full_coverage_and_all_discovered_cleared,111,3008.832195,,,True,0.028214916994329542
6,0,True,0,0,0,0,0,uniform__iid__129,uniform__iid,8,11,17,14,138,1.0,,,base,0,0.027934000000000014,14,,6,9,False,,11,0,11,False,,,,,,,,,0,0,6.870797369629145e-05,,21,0,,,119,faithful_area7,[],11119.160963655,0,66.65856727368794,0.0,8,,,214.91658535714285,"[2, 3, 4, 5, 6, 8, 9, 10, 13, 14, 16, 17, 18, 19]",,3,129,1.0,26,,1,,,14,ordinary,7,full_coverage_and_all_discovered_cleared,111,3008.832195,,,True,0.027965750021394342
21,0,True,,,,,,uniform__iid__130,uniform__iid,14,,14,14,119,,,,,,0.16477699999999995,14,,,,,,,,,,,,,,,,,,0,,7.033301517367363e-05,,,,,,103,peer_layout9_proxy,[],22202.19875734475,0,,0.0,,,,365.45998242857144,"[1, 2, 4, 5, 6, 9, 10, 12, 14, 15, 17, 18, 19, 20]",,3,130,,,,,,,14,ordinary,9,full_coverage_and_all_discovered_cleared,91,5116.439754,,,,0.16491112497169524
8,0,True,0,0,0,0,0,uniform__iid__130,uniform__iid,11,,17,14,127,1.0,,,,,0.026233000000000173,14,,3,6,False,,,,,,,,,,,,,,0,,6.275001214817166e-05,,21,0,,,108,area_return1_7,[],12629.992039749231,0,63.92341296461115,0.0,11,,,231.571315,"[1, 2, 4, 5, 6, 9, 10, 12, 14, 15, 17, 18, 19, 20]",,3,130,,15,,6,,,14,ordinary,7,full_coverage_and_all_discovered_cleared,97,3241.99841,,,True,0.026265540975145996
8,0,True,0,0,0,0,0,uniform__iid__130,uniform__iid,11,5,17,14,122,1.0,,,base,0,0.026254,14,,3,6,False,,,,,False,,,,,,,,,0,0,6.9500005338341e-05,,21,0,,,103,range_area7,[],12629.992039749231,0,63.92341296461115,0.0,11,,,229.49988642857144,"[1, 2, 4, 5, 6, 9, 10, 12, 14, 15, 17, 18, 19, 20]",,3,130,1.0,15,,6,,,14,ordinary,7,full_coverage_and_all_discovered_cleared,93,3212.99841,,,True,0.02625937497941777
8,0,True,0,0,0,0,0,uniform__iid__130,uniform__iid,11,4,17,14,123,1.0,,,base,0,0.026251000000000024,14,,3,6,False,,4,1,4,False,,,,,,,,,0,0,6.491702515631914e-05,,21,0,,,104,faithful_area7,[],12629.992039749231,0,63.92341296461115,0.0,11,,,229.92845785714286,"[1, 2, 4, 5, 6, 9, 10, 12, 14, 15, 17, 18, 19, 20]",,3,130,1.0,15,,6,,,14,ordinary,7,full_coverage_and_all_discovered_cleared,94,3218.99841,,,True,0.02625329204602167
20,0,True,,,,,,uniform__iid__131,uniform__iid,12,,12,12,145,,,,,,0.1679339999999998,12,,,,,,,,,,,,,,,,,,0,,6.104103522375226e-05,,,,,,131,peer_layout9_proxy,[],20192.881306573592,0,,0.0,,,,406.04802166666667,"[1, 2, 3, 6, 7, 10, 12, 13, 16, 17, 19, 20]",,3,131,,,,,,,12,ordinary,9,full_coverage_and_all_discovered_cleared,119,4872.57626,,,,0.16947520797839388
8,0,True,0,0,0,0,0,uniform__iid__131,uniform__iid,7,,13,12,135,1.0,,,,,0.023719000000000046,12,,5,6,False,,,,,,,,,,,,,,0,,7.291696965694427e-05,,19,0,,,120,area_return1_7,[],13781.788309138667,0,49.215405688346635,0.0,7,,,294.6131384166667,"[1, 2, 3, 6, 7, 10, 12, 13, 16, 17, 19, 20]",,3,131,,12,,4,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,116,3535.357661,,,True,0.023798375041224062
8,0,True,0,0,0,0,0,uniform__iid__131,uniform__iid,7,0,13,12,135,1.0,,,base,0,0.02357100000000001,12,,5,6,False,,,,,False,,,,,,,,,0,0,6.912497337907553e-05,,19,0,,,120,range_area7,[],13781.788309138667,0,49.215405688346635,0.0,7,,,294.6131384166667,"[1, 2, 3, 6, 7, 10, 12, 13, 16, 17, 19, 20]",,3,131,1.0,12,,4,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,116,3535.357661,,,True,0.023591124976519495
8,0,True,0,0,0,0,0,uniform__iid__131,uniform__iid,7,0,13,12,135,1.0,,,base,0,0.023635000000000073,12,,5,6,False,,0,0,0,False,,,,,,,,,0,0,7.154198829084635e-05,,19,0,,,120,faithful_area7,[],13781.788309138667,0,49.215405688346635,0.0,7,,,294.6131384166667,"[1, 2, 3, 6, 7, 10, 12, 13, 16, 17, 19, 20]",,3,131,1.0,12,,4,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,116,3535.357661,,,True,0.023662042047362775
23,0,True,,,,,,uniform__iid__132,uniform__iid,13,,13,13,128,,,,,,0.17954599999999998,13,,,,,,,,,,,,,,,,,,0,,6.266601849347353e-05,,,,,,113,peer_layout9_proxy,[],23150.16594264377,0,,0.0,,,,412.07947615384614,"[1, 2, 4, 5, 6, 8, 9, 13, 14, 15, 16, 18, 20]",,3,132,,,,,,,13,ordinary,9,full_coverage_and_all_discovered_cleared,97,5357.03319,,,,0.17990033299429342
5,0,True,0,0,0,0,0,uniform__iid__132,uniform__iid,9,,14,13,150,1.0,,,,,0.024548999999999932,13,,4,5,False,,,,,,,,,,,,,,0,,6.187503458932042e-05,,20,0,,,134,area_return1_7,[],11700.362413887284,0,52.875119728454465,0.0,9,,,246.54403707692308,"[1, 2, 4, 5, 6, 8, 9, 13, 14, 15, 16, 18, 20]",,3,132,,27,,4,,,13,ordinary,7,full_coverage_and_all_discovered_cleared,127,3205.072482,,,True,0.024583625025115907
5,0,True,0,0,0,0,0,uniform__iid__132,uniform__iid,9,7,14,13,143,1.0,,,base,0,0.024110000000000076,13,,4,5,False,,,,,False,,,,,,,,,0,0,7.7791977673769e-05,,20,0,,,127,range_area7,[],11700.362413887284,0,52.875119728454465,0.0,9,,,243.31326784615385,"[1, 2, 4, 5, 6, 8, 9, 13, 14, 15, 16, 18, 20]",,3,132,1.0,27,,4,,,13,ordinary,7,full_coverage_and_all_discovered_cleared,120,3163.072482,,,True,0.024109541962388903
5,0,True,0,0,0,0,0,uniform__iid__132,uniform__iid,9,7,14,13,143,1.0,,,base,0,0.024550000000000072,13,,4,5,False,,7,0,7,False,,,,,,,,,0,0,7.079204078763723e-05,,20,0,,,127,faithful_area7,[],11700.362413887284,0,52.875119728454465,0.0,9,,,243.31326784615385,"[1, 2, 4, 5, 6, 8, 9, 13, 14, 15, 16, 18, 20]",,3,132,1.0,27,,4,,,13,ordinary,7,full_coverage_and_all_discovered_cleared,120,3163.072482,,,True,0.02459291700506583
