"elapsed_s","root_pid","session_id","root_working_set_bytes","tree_working_set_bytes","tree_private_bytes","webview_count","listener_count"
"59.142","10760","2","52109312","633851904","353005568","7","2"
"59.75","10760","2","52109312","633851904","353005568","7","2"
"60.32","10760","2","51453952","632557568","351522816","7","2"
"60.876","10760","2","51453952","621613056","351584256","7","2"
"61.431","10760","2","51367936","622280704","351379456","7","2"
"62.007","10760","2","51367936","622563328","351678464","7","2"
"62.544","10760","2","51372032","622768128","351789056","7","2"
"63.091","10760","2","51372032","624197632","352772096","7","2"
"63.675","10760","2","51372032","624463872","352903168","7","2"
"64.245","10760","2","51372032","624484352","352858112","7","2"
"64.808","10760","2","51372032","624431104","352747520","7","2"
"65.376","10760","2","51343360","624070656","352358400","7","2"
"66.001","10760","2","51343360","624070656","352358400","7","2"
"66.579","10760","2","51343360","624074752","352333824","7","2"
"67.17","10760","2","51343360","624074752","352333824","7","2"
"67.711","10760","2","51343360","624099328","352354304","7","2"
"68.329","10760","2","51343360","624070656","352296960","7","2"
"68.896","10760","2","51343360","624054272","352280576","7","2"
"69.467","10760","2","51343360","623919104","352075776","7","2"
"70.055","10760","2","51343360","624062464","352256000","7","2"
"70.626","10760","2","51372032","624099328","352317440","7","2"
"71.247","10760","2","51376128","624291840","352444416","7","2"
"71.77","10760","2","51376128","624209920","352354304","7","2"
"72.311","10760","2","51376128","624279552","352419840","7","2"
"72.916","10760","2","51376128","624099328","352235520","7","2"
"73.479","10760","2","51376128","624148480","352296960","7","2"
"74.047","10760","2","51376128","624123904","352272384","7","2"
"74.574","10760","2","51380224","624578560","352698368","7","2"
"75.12","10760","2","51380224","624582656","352702464","7","2"
"75.663","10760","2","51380224","624578560","352698368","7","2"
"76.227","10760","2","51380224","624734208","352854016","7","2"
"76.756","10760","2","51380224","624578560","352698368","7","2"
"77.323","10760","2","51380224","624562176","352681984","7","2"
"77.863","10760","2","51380224","624586752","352706560","7","2"
"78.409","10760","2","51380224","624537600","352600064","7","2"
"78.984","10760","2","51380224","624525312","352587776","7","2"
"79.527","10760","2","51380224","624685056","352747520","7","2"
"80.094","10760","2","51380224","624500736","352563200","7","2"
"80.648","10760","2","51380224","624500736","352563200","7","2"
"81.241","10760","2","51380224","624521216","352583680","7","2"
"81.83","10760","2","51380224","624521216","352583680","7","2"
"82.406","10760","2","51380224","624521216","352583680","7","2"
"83.024","10760","2","51380224","624525312","352587776","7","2"
"83.638","10760","2","51380224","624525312","352587776","7","2"
"84.274","10760","2","51380224","624484352","352546816","7","2"
"84.869","10760","2","51380224","624484352","352546816","7","2"
"85.486","10760","2","51380224","624533504","352595968","7","2"
"86.075","10760","2","51380224","624521216","352583680","7","2"
"86.666","10760","2","51380224","624521216","352583680","7","2"
"87.265","10760","2","51380224","624525312","352587776","7","2"
"87.852","10760","2","51380224","624558080","352620544","7","2"
"88.478","10760","2","51380224","624529408","352591872","7","2"
"89.105","10760","2","51380224","624480256","352542720","7","2"
"89.735","10760","2","51380224","624480256","352542720","7","2"
