active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,certified_range_scan_skips,clear_calls,cleared,commands,completion_proxy_weight,configured_angle_schedule,configured_probe_angle_deg,coupled_dispatch_model,coupled_route_plans,cpu_s,discovered_channels,dispatch_implementation,early_optical_success,early_optical_trials,expanded_sensing_candidates,failure,fixed_scan_order,forced_continuations,inconsistent_updates,inferred_negative_memory_updates,initialization_s,interrupted_channels,joint_route_solves,known_upper_bound_skips,maximum_source_primary_rf,maximum_source_rounds,measurements,method,missed_channels,move_m,negative_history_limit,negative_hull_inconsistent_cuts,negative_hull_updates,negative_shadow_cuts,optical_fallback_calls,optical_local_move_saved_m,optical_max_cover_radius,optical_position_adjustments,outer_priority_used,packet_fallbacks,per_source_s,policy_cleared_channels,probe_angle_cap_deg,problem,seed,service_entry_weight,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,success_history_limit,switches,total_virtual_s,transverse_target_m,transverse_width_rule,uniform_area_ranking_prior,wall_s
7,0,True,0,0,0,0,0,uniform__iid__119,uniform__iid,7,2,13,12,136,1.0,,,base,0,0.022110999999999992,12,,5,6,False,,False,,0,0,6.587500683963299e-05,,19,0,,,121,range_area7,[],12767.470983927831,,,,,0,67.27588309139315,0.0,7,,,277.79118308333335,"[2, 3, 4, 5, 6, 7, 10, 11, 14, 16, 18, 19]",,3,119,1.0,16,,6,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,,112,3333.494197,,,True,0.02211208298103884
7,0,True,0,0,0,0,0,uniform__iid__119,uniform__iid,6,4,13,12,142,1.0,,,locked,19,0.02253000000000005,12,cached_distance_prefix_sum,6,7,False,,True,,0,0,6.387499161064625e-05,,0,0,,,127,fast_locked_area7,[],13689.98421062203,,,,,0,46.68947943264454,0.0,6,,,295.9164035,"[2, 3, 4, 5, 6, 7, 10, 11, 14, 16, 18, 19]",,3,119,1.0,17,,0,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,,115,3550.996842,,,True,0.022533125011250377
25,0,True,,,,,,uniform__iid__120,uniform__iid,14,,14,14,137,,,,,,0.20032799999999995,14,,,,,,,,0,,6.59999786876142e-05,,,,,,121,peer_layout9_proxy,[],18529.139612501156,,,,,0,,0.0,,,,320.55913742857143,"[2, 3, 4, 5, 6, 7, 8, 10, 11, 13, 14, 15, 16, 17]",,3,120,,,,,,,14,ordinary,9,full_coverage_and_all_discovered_cleared,,107,4487.827924,,,,0.2005696669803001
6,0,True,0,0,0,0,0,uniform__iid__120,uniform__iid,5,,16,14,143,1.0,,,,,0.023924000000000056,14,,9,11,False,,,,0,,6.449996726587415e-05,,21,0,,,125,area_return1_7,[],13620.041682077492,,,,,0,38.36016552971574,0.0,5,,,253.14345271428573,"[2, 3, 4, 5, 6, 7, 8, 10, 11, 13, 14, 15, 16, 17]",,3,120,,18,,5,,,14,ordinary,7,full_coverage_and_all_discovered_cleared,,119,3544.008338,,,True,0.023924000037368387
6,0,True,0,0,0,0,0,uniform__iid__120,uniform__iid,5,3,16,14,140,1.0,,,base,0,0.023172999999999888,14,,9,11,False,,False,,0,0,6.874999962747097e-05,,21,0,,,122,range_area7,[],13620.041682077492,,,,,0,38.36016552971574,0.0,5,,,251.85773842857142,"[2, 3, 4, 5, 6, 7, 8, 10, 11, 13, 14, 15, 16, 17]",,3,120,1.0,18,,5,,,14,ordinary,7,full_coverage_and_all_discovered_cleared,,116,3526.008338,,,True,0.023172874993178993
6,0,True,0,0,0,0,0,uniform__iid__120,uniform__iid,7,3,15,14,134,1.0,,,locked,21,0.025515000000000176,14,cached_distance_prefix_sum,7,8,False,,True,,0,0,6.337498780339956e-05,,0,0,,,117,fast_locked_area7,[],13488.622634950701,,,,,0,36.87892649783442,0.0,7,,,247.55175200000002,"[2, 3, 4, 5, 6, 7, 8, 10, 11, 13, 14, 15, 16, 17]",,3,120,1.0,19,,4,,,14,ordinary,7,full_coverage_and_all_discovered_cleared,,110,3465.724528,,,True,0.02552354201907292
17,0,True,,,,,,uniform__iid__121,uniform__iid,10,,10,10,141,,,,,,0.13484499999999988,10,,,,,,,,0,,5.9583981055766344e-05,,,,,,129,peer_layout9_proxy,[],16900.694765060394,,,,,0,,0.0,,,,419.0138954,"[3, 5, 6, 7, 11, 13, 16, 17, 19, 20]",,3,121,,,,,,,10,ordinary,9,full_coverage_and_all_discovered_cleared,,115,4190.138954,,,,0.13495666696690023
4,0,True,0,0,0,0,0,uniform__iid__121,uniform__iid,5,,10,10,129,1.0,,,,,0.01880399999999982,10,,5,5,False,,,,0,,5.34169957973063e-05,,17,0,,,117,area_return1_7,[],11627.771179397128,,,,,0,18.66270129400766,0.0,5,,,307.2554236,"[3, 5, 6, 7, 11, 13, 16, 17, 19, 20]",,3,121,,8,,1,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,,112,3072.554236,,,True,0.01880370796425268
4,0,True,0,0,0,0,0,uniform__iid__121,uniform__iid,5,0,10,10,129,1.0,,,base,0,0.01892500000000008,10,,5,5,False,,False,,0,0,6.358401151373982e-05,,17,0,,,117,range_area7,[],11627.771179397128,,,,,0,18.66270129400766,0.0,5,,,307.2554236,"[3, 5, 6, 7, 11, 13, 16, 17, 19, 20]",,3,121,1.0,8,,1,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,,112,3072.554236,,,True,0.01893558300798759
6,0,True,0,0,0,0,0,uniform__iid__121,uniform__iid,7,0,12,10,141,1.0,,,locked,17,0.019898000000000193,10,cached_distance_prefix_sum,3,5,False,,True,,0,0,6.595801096409559e-05,,0,0,,,127,fast_locked_area7,[],11013.550682623898,,,,,0,31.882545502013993,0.0,7,,,301.3710136,"[3, 5, 6, 7, 11, 13, 16, 17, 19, 20]",,3,121,1.0,17,,2,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,,120,3013.710136,,,True,0.01991149998502806
