all_cleared,largest_slowdown_s,max_total_s,max_wall_s,mean_commands,mean_cpu_s,mean_per_source_s,mean_total_s,mean_wall_s,method,p95_total_s,runs,slower_cases,split
75,0,5421.999966,0.2639512499445118,145.66666666666666,0.18113027999999914,384.38148665844443,4659.61298756,0.18235744677251206,baseline_peer9,5366.3550664,75,0,ordinary
75,241.02601099999993,5241.128142,0.26720375003060326,125.49333333333334,0.1868174666666666,363.36343674333335,4427.641774093334,0.18790068112236138,baseline_ring7,5144.179156599999,75,10,ordinary
75,8.789082000000235,5201.685139,0.26568054099334404,140.58666666666667,0.1791821199999999,353.56938749355555,4285.8134600133335,0.18031960333076616,dynamic_greedy9,4866.685328799999,75,1,ordinary
75,8.789082000000235,5201.685139,0.26753266603918746,140.58666666666667,0.1780383866666666,353.56938749355555,4285.8134600133335,0.17859143725363538,dynamic_two_opt9,4866.685328799999,75,1,ordinary
75,452.0457580000002,4915.481888,0.11618312500650063,180.25333333333333,0.07157135999999997,358.7970776693333,4321.229308919999,0.07185577384273832,deferred9,4900.1659296,75,31,ordinary
75,452.0457580000002,4915.481888,0.11955333402147517,180.25333333333333,0.07140684,358.81597476733333,4322.028929173333,0.0718096078125139,opportunistic200_9,4900.1659296,75,31,ordinary
75,653.4935180000002,4999.066987,0.11457108298782259,180.25333333333333,0.07149202666666692,361.74524684288895,4357.853743906667,0.07189118333238488,opportunistic600_9,4980.8532279,75,32,ordinary
75,45.21699400000034,5414.648664,0.16977433301508427,147.30666666666667,0.10979751999999986,383.04945571266666,4642.373915653334,0.11025052940861012,trial80_9,5338.4811445,75,25,ordinary
75,227.98092799999995,5569.158249,0.058976416010409594,145.76,0.03068950666666679,385.8802767277777,4679.808694413334,0.03091048442525789,cov_mean9,5403.0785509,75,55,ordinary
75,143.84765400000015,5512.526773,0.037105833005625755,147.4,0.024888160000000076,383.42161355933337,4647.637887453334,0.024956052200092622,cov_trial80_9,5343.1802857,75,28,ordinary
75,249.57341799999995,5648.395412,0.035102458961773664,147.34666666666666,0.02454946666666709,385.9826379751111,4680.745685826667,0.024609672256434956,cov_robust80_9,5435.7885488,75,41,ordinary
