all_cleared,errors,max_total_s,max_wall_s,mean_commands,mean_optical_fallbacks,mean_pair_cuts,mean_per_source_s,mean_total_s,mean_wall_s,method,p95_total_s,problem,runs,slower_cases,split
75,0,3802.695455,0.03785620798589662,143.06666666666666,0.0,0.0,253.63205643599997,3060.484263866667,0.025029548977812132,packet_center7,3738.2584122,3,75,0,ordinary
75,0,3743.660541,0.039254500006791204,145.41333333333333,0.0,0.0,266.61775358644445,3213.6512745866667,0.025957582760602237,discover300_7,3643.1575668,3,75,59,ordinary
75,0,4533.64837,0.039390332996845245,147.16,0.0,0.0,296.81973001088886,3569.7532348666664,0.025579565615238,discover900_7,4286.0228615999995,3,75,75,ordinary
75,0,5367.088912,0.03957774996524677,147.64,0.0,0.0,328.06313760622226,3962.546522906668,0.02489556054274241,discover1800_7,5209.9997385,3,75,75,ordinary
75,0,3743.660541,0.04018999997060746,145.42666666666668,0.0,0.0,266.700814564,3214.72768504,0.02602866501004125,discover300_clear7,3643.1575668,3,75,59,ordinary
75,0,3664.31922,0.038777291018050164,142.46666666666667,0.0,0.0,256.2906817191111,3094.00040816,0.02546919781714678,clear_reward7,3614.8616506,3,75,43,ordinary
75,0,4133.401725,0.040574500046204776,144.58666666666667,0.0,0.0,267.1697348788889,3225.924653786667,0.0265031516404512,packet_discover300_7,4050.9316888999997,3,75,63,ordinary
75,0,4474.714324,0.04000512498896569,146.78666666666666,0.0,0.0,298.2527840217777,3589.9831699466667,0.026092188851131747,packet_discover900_7,4426.1313878,3,75,73,ordinary
18,0,4717.088281,0.03289466700516641,135.11111111111111,0.0,0.0,276.1201985138889,3364.9068780555554,0.025090342610686395,packet_center7,4698.8945954,3,18,0,stress
18,0,4701.996444,0.032063124992419034,134.05555555555554,0.0,0.0,278.35698539236114,3378.2038279444446,0.025247805441419285,discover300_7,4698.51566425,3,18,8,stress
18,0,4705.987732,0.031561999989207834,142.61111111111111,0.0,0.0,299.45192840138884,3666.477918055555,0.025735963113321405,discover900_7,4693.4935582,3,18,13,stress
18,0,5349.928027,0.03131716704228893,144.94444444444446,0.0,0.0,319.7135292506944,3902.4613811111103,0.025346379772397794,discover1800_7,5325.8447016,3,18,18,stress
18,0,4701.996444,0.032131124986335635,133.88888888888889,0.0,0.0,277.3302551861111,3368.4483834444445,0.025101106335771166,discover300_clear7,4698.51566425,3,18,9,stress
18,0,4717.088281,0.03347670898074284,128.44444444444446,0.0,0.0,273.01205978888885,3324.7258157222223,0.024767023055270936,clear_reward7,4698.8945954,3,18,6,stress
18,0,4701.996444,0.032992333988659084,138.11111111111111,0.0,0.0,285.07931207986115,3471.1324019444446,0.026934284713610798,packet_discover300_7,4698.51566425,3,18,9,stress
18,0,4705.987732,0.03342083399184048,144.5,0.0,0.0,299.06490963541665,3649.271089166667,0.02688683561023532,packet_discover900_7,4693.4935582,3,18,14,stress
75,0,7200.046023,0.08185208402574062,332.08,0.0,2.3333333333333335,530.937227866,6388.494533346667,0.04970216449272508,packet_action4_22,6882.0286654,4,75,0,ordinary
75,0,7157.731041,0.06759150000289083,326.9866666666667,0.0,1.5866666666666667,539.8104856777777,6478.58983436,0.04490773500020926,discover300_22,7011.2189844,4,75,45,ordinary
75,0,8003.674943,0.05934229196282104,325.0933333333333,0.0,1.3333333333333333,566.2493995171111,6790.6200484266665,0.04339203558784599,discover900_22,7637.2158053,4,75,63,ordinary
75,0,8637.428835,0.05761204200098291,322.85333333333335,0.0,0.8266666666666667,618.3424259117778,7412.2242314000005,0.04023340950952843,discover1800_22,8373.2982435,4,75,73,ordinary
75,0,7780.664027,0.05794999998761341,325.53333333333336,0.0,1.3333333333333333,564.5635985195557,6778.711027373333,0.0432220933221591,discover900_clear22,7649.0577668,4,75,64,ordinary
75,0,6970.57694,0.07214933400973678,330.38666666666666,0.0,1.7733333333333334,539.0887167966666,6465.694570493334,0.04712203602694596,clear_reward22,6919.3222994,4,75,48,ordinary
75,0,7271.526959,0.09379050001734868,330.70666666666665,0.0,2.0533333333333332,537.424829902,6460.592520533333,0.056248268854493896,packet_discover300_22,6953.8488864,4,75,47,ordinary
75,0,7855.75407,0.09488350001629442,327.2,0.0,1.4266666666666667,564.7864456337778,6785.504062306666,0.05246968775987625,packet_discover900_22,7444.0933494,4,75,59,ordinary
75,0,8398.7407,0.0737912500044331,324.36,0.0,1.3866666666666667,617.6099919895555,7417.879702946668,0.04808714558525632,packet_discover1800_22,8313.9567814,4,75,74,ordinary
18,0,8173.383667,0.06702683301409706,334.94444444444446,0.3333333333333333,11.833333333333334,540.2393702666666,6598.8390475,0.04071596522893136,packet_action4_22,7452.381679799999,4,18,0,stress
18,0,8419.859308,0.06326633301796392,345.6111111111111,0.3333333333333333,12.0,558.4990660604167,6798.940465,0.040656877167445295,discover300_22,8407.35338805,4,18,11,stress
18,0,9385.392238,0.05936629103962332,349.6111111111111,0.3333333333333333,10.333333333333334,586.2759314541667,7152.0871720000005,0.03758211339461721,discover900_22,9357.71733535,4,18,11,stress
18,0,10349.832892,0.04243941599270329,340.1666666666667,0.3333333333333333,10.277777777777779,608.4081988854167,7353.487714666666,0.03593360432811702,discover1800_22,10187.52935895,4,18,13,stress
18,0,9385.392238,0.059913374949246645,344.77777777777777,0.3333333333333333,10.38888888888889,580.2456182604168,7075.524653166667,0.03745584955322556,discover900_clear22,9357.71733535,4,18,11,stress
18,0,8387.436014,0.06415695801842958,346.27777777777777,0.3333333333333333,12.166666666666666,557.1775666743056,6776.824338222223,0.04105503006333796,clear_reward22,8309.12547915,4,18,12,stress
18,0,7812.865867,0.05821412499062717,343.1666666666667,0.3333333333333333,11.11111111111111,546.9934595881944,6700.9989936111115,0.04694326150153453,packet_discover300_22,7398.304009799999,4,18,4,stress
18,0,8558.247207,0.05548762500984594,345.3333333333333,0.3333333333333333,10.61111111111111,556.8629913173611,6770.888203611112,0.04575190522397558,packet_discover900_22,8472.70440635,4,18,9,stress
18,0,10144.148441,0.05763916700379923,345.8333333333333,0.3333333333333333,10.222222222222221,586.4215305333332,7045.255378166667,0.043785599616563156,packet_discover1800_22,9029.954750899997,4,18,12,stress
