active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,certified_range_scan_skips,certified_scan_skips,clear_calls,cleared,commands,completion_proxy_weight,configured_angle_schedule,configured_probe_angle_deg,coupled_dispatch_model,coupled_route_plans,cpu_s,deferred_nonstationary_skips,discovered_channels,dispatch_implementation,early_optical_success,early_optical_trials,expanded_sensing_candidates,failure,faithful_attempt_memory_updates,faithful_nonstationary_retained,faithful_stationary_skips,fixed_scan_order,forced_continuations,inconsistent_updates,inferred_negative_memory_updates,interrupted_channels,joint_route_solves,known_upper_bound_skips,logical_negative_memory_limit,maximum_source_primary_rf,maximum_source_rounds,measurements,method,minimum_actual_unknown_per_station,minimum_unknown_actions_per_station,missed_channels,move_m,optical_fallback_calls,optical_local_move_saved_m,optical_max_cover_radius,optical_position_adjustments,outer_priority_used,packet_fallbacks,pair_prediction_checks,per_source_s,policy_cleared_channels,predicted_pair_skips,probe_angle_cap_deg,problem,public_empty_scan_skips,public_empty_scans,seed,service_entry_weight,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,switches,total_virtual_s,transverse_target_m,transverse_width_rule,uniform_area_ranking_prior,wall_s
9,0,True,0,0,0,0,0,uniform__smooth__67,uniform__smooth,8,3,3,12,10,133,1.0,,,base,0,0.025353999999999988,1,10,,2,4,False,,3,0,2,False,,0,0,,17,0,4,,,119,lean_deferred_area7,10,,[],12540.003423868544,0,78.3020734411675,0.0,8,,,0,327.2000683,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",0,,3,,,67,1.0,8,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,113,3272.000683,,,True,0.02602166699944064
9,0,True,0,0,0,0,0,uniform__smooth__67,uniform__smooth,8,3,3,12,10,133,1.0,,,base,0,0.022372999999999976,1,10,,2,4,False,,3,0,2,False,,0,0,,17,0,4,,,119,count_deferred_area7,10,10,[],12540.003423868544,0,78.3020734411675,0.0,8,,,0,327.2000683,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",0,,3,0,0,67,1.0,8,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,113,3272.000683,,,True,0.022400874993763864
12,0,True,0,0,0,0,0,uniform__smooth__68,uniform__smooth,12,4,4,19,15,158,1.0,,,base,0,0.03587400000000007,0,15,,3,7,False,,4,0,4,False,,0,0,,22,0,4,,,137,lean_deferred_area7,5,,[],12819.328505185638,0,112.15950215678339,0.0,12,,,0,230.6577134,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",0,,3,,,68,1.0,36,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,124,3459.865701,,,True,0.03590758400969207
12,0,True,0,0,0,0,0,uniform__smooth__68,uniform__smooth,12,4,4,19,15,158,1.0,,,base,0,0.034938000000000025,0,15,,3,7,False,,4,0,4,False,,0,0,,22,0,4,,,137,count_deferred_area7,5,5,[],12819.328505185638,0,112.15950215678339,0.0,12,,,0,230.6577134,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",0,,3,0,0,68,1.0,36,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,124,3459.865701,,,True,0.03495166602078825
7,0,True,0,0,0,0,0,uniform__smooth__69,uniform__smooth,7,3,3,16,15,137,1.0,,,base,0,0.028095000000000092,0,15,,8,9,False,,3,0,3,False,,0,0,,22,0,4,,,119,lean_deferred_area7,6,,[],13126.1345818081,0,43.08970576885116,0.0,7,,,0,227.0817944,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",0,,3,,,69,1.0,23,,10,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,108,3406.226916,,,True,0.028144999989308417
7,0,True,0,0,0,0,0,uniform__smooth__69,uniform__smooth,7,3,3,16,15,137,1.0,,,base,0,0.028106000000000075,0,15,,8,9,False,,3,0,3,False,,0,0,,22,0,4,,,119,count_deferred_area7,6,6,[],13126.1345818081,0,43.08970576885116,0.0,7,,,0,227.0817944,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",0,,3,0,0,69,1.0,23,,10,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,108,3406.226916,,,True,0.028134207997936755
5,0,True,0,0,0,0,0,uniform__smooth__70,uniform__smooth,4,1,1,10,10,135,1.0,,,base,0,0.018159999999999954,0,10,,6,6,False,,1,0,1,False,,0,0,,17,0,4,,,123,lean_deferred_area7,10,,[],11228.036691091005,0,25.521340928374684,0.0,4,,,0,302.760734,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",0,,3,,,70,1.0,9,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,117,3027.60734,,,True,0.018159833969548345
5,0,True,0,0,0,0,0,uniform__smooth__70,uniform__smooth,4,1,1,10,10,135,1.0,,,base,0,0.017594,0,10,,6,6,False,,1,0,1,False,,0,0,,17,0,4,,,123,count_deferred_area7,10,10,[],11228.036691091005,0,25.521340928374684,0.0,4,,,0,302.760734,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",0,,3,0,0,70,1.0,9,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,117,3027.60734,,,True,0.017602042004000396
5,0,True,0,0,0,0,0,uniform__smooth__71,uniform__smooth,6,0,0,13,12,132,1.0,,,base,0,0.02310599999999996,0,12,,6,7,False,,0,0,0,False,,0,0,,19,0,4,,,117,lean_deferred_area7,8,,[],11457.765426791182,0,41.17540470974342,0.0,6,,,0,254.04609025,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",0,,3,,,71,1.0,22,,3,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,109,3048.553083,,,True,0.02312350005377084
5,0,True,0,0,0,0,0,uniform__smooth__71,uniform__smooth,6,0,0,13,12,132,1.0,,,base,0,0.024242999999999904,0,12,,6,7,False,,0,0,0,False,,0,0,,19,0,4,,,117,count_deferred_area7,8,8,[],11457.765426791182,0,41.17540470974342,0.0,6,,,0,254.04609025,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",0,,3,0,0,71,1.0,22,,3,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,109,3048.553083,,,True,0.024261125014163554
